metric	value1	value2	value3
reference_cells	4183
query_cells	3516
reference_features	11889
query_features	11889
shared_named_features	11858
reference_noncontrol_guides	33
query_noncontrol_guides	32
reference_control_cells	922
query_control_cells	1424
target_consensus	target_gene	reference_guide	method	nearest_query_guide	nearest_score	nearest_rank	global_query_guide	global_score
target_consensus	LEO1	LEO1-I2	pearson_all	guide14	0.3072367609127206	1	guide10	0.08074042465854125
target_consensus	NUDT21	NUDT21-I3	pearson_all	guide13	0.6340415236247099	1	guide13	0.6340415236247099
target_consensus	PABPC1	PABPC1-I1	pearson_all	guide18	0.5334451861116686	1	guide18	0.5334451861116686
target_consensus	LEO1	LEO1-I2	cosine_all	guide14	0.3705230735859784	1	guide14	0.3705230735859784
target_consensus	NUDT21	NUDT21-I3	cosine_all	guide13	0.6296719765833828	1	guide13	0.6296719765833828
target_consensus	PABPC1	PABPC1-I1	cosine_all	guide18	0.5230715366699988	1	guide18	0.5230715366699988
target_consensus	LEO1	LEO1-I2	pearson_var250	guide14	0.34882199955256943	1	guide10	0.07286342311254246
target_consensus	NUDT21	NUDT21-I3	pearson_var250	guide13	0.696520006251449	1	guide13	0.696520006251449
target_consensus	PABPC1	PABPC1-I1	pearson_var250	guide18	0.6266648738899201	1	guide18	0.6266648738899201
target_consensus	LEO1	LEO1-I2	pearson_var500	guide14	0.35753656630853836	1	guide14	0.35753656630853836
target_consensus	NUDT21	NUDT21-I3	pearson_var500	guide13	0.7081521252025301	1	guide13	0.7081521252025301
target_consensus	PABPC1	PABPC1-I1	pearson_var500	guide18	0.6145490210828999	1	guide18	0.6145490210828999
target_consensus	LEO1	LEO1-I2	pearson_var1000	guide14	0.3327875785112242	1	guide14	0.3327875785112242
target_consensus	NUDT21	NUDT21-I3	pearson_var1000	guide13	0.6902150992840148	1	guide13	0.6902150992840148
target_consensus	PABPC1	PABPC1-I1	pearson_var1000	guide18	0.5911784343911358	1	guide18	0.5911784343911358
target_consensus	LEO1	LEO1-I2	pearson_var2000	guide14	0.3035580868072106	1	guide8	0.12810698126786166
target_consensus	NUDT21	NUDT21-I3	pearson_var2000	guide13	0.6829364538598223	1	guide13	0.6829364538598223
target_consensus	PABPC1	PABPC1-I1	pearson_var2000	guide18	0.5868657252589679	1	guide18	0.5868657252589679
target_consensus	LEO1	LEO1-I2	pearson_var5000	guide14	0.2817247403536278	1	guide14	0.2817247403536278
target_consensus	NUDT21	NUDT21-I3	pearson_var5000	guide13	0.6542437147613269	1	guide13	0.6542437147613269
target_consensus	PABPC1	PABPC1-I1	pearson_var5000	guide18	0.5653990838365995	1	guide18	0.5653990838365995
target_vote	target_gene	reference_guide	consensus_query_guide	nearest_vote_count	methods
target_vote	LEO1	LEO1-I2	guide14	7	7
target_vote	NUDT21	NUDT21-I3	guide13	7	7
target_vote	PABPC1	PABPC1-I1	guide18	7	7
top_candidates	target_gene	reference_guide	method	rank	query_guide	score
top_candidates	LEO1	LEO1-I2	pearson_all	1	guide14	0.3072367609127206
top_candidates	LEO1	LEO1-I2	pearson_all	2	guide17	0.2166421807959559
top_candidates	LEO1	LEO1-I2	pearson_all	3	guide20	0.200621040995019
top_candidates	LEO1	LEO1-I2	pearson_all	4	guide9	0.1751880243240001
top_candidates	LEO1	LEO1-I2	pearson_all	5	guide28	0.16565328333051357
top_candidates	NUDT21	NUDT21-I3	pearson_all	1	guide13	0.6340415236247099
top_candidates	NUDT21	NUDT21-I3	pearson_all	2	guide19	0.5105169294301822
top_candidates	NUDT21	NUDT21-I3	pearson_all	3	guide16	0.33135286831793004
top_candidates	NUDT21	NUDT21-I3	pearson_all	4	guide27	0.3151081298968371
top_candidates	NUDT21	NUDT21-I3	pearson_all	5	guide12	0.3133311789578733
top_candidates	PABPC1	PABPC1-I1	pearson_all	1	guide18	0.5334451861116686
top_candidates	PABPC1	PABPC1-I1	pearson_all	2	guide16	0.33742116819097984
top_candidates	PABPC1	PABPC1-I1	pearson_all	3	guide15	0.26764870203436375
top_candidates	PABPC1	PABPC1-I1	pearson_all	4	guide17	0.2586077954769366
top_candidates	PABPC1	PABPC1-I1	pearson_all	5	guide28	0.2518399146757379
top_candidates	LEO1	LEO1-I2	cosine_all	1	guide14	0.3705230735859784
top_candidates	LEO1	LEO1-I2	cosine_all	2	guide17	0.30605980258221943
top_candidates	LEO1	LEO1-I2	cosine_all	3	guide20	0.29533411672120563
top_candidates	LEO1	LEO1-I2	cosine_all	4	guide16	0.25791167532250503
top_candidates	LEO1	LEO1-I2	cosine_all	5	guide22	0.24247830596776
top_candidates	NUDT21	NUDT21-I3	cosine_all	1	guide13	0.6296719765833828
top_candidates	NUDT21	NUDT21-I3	cosine_all	2	guide19	0.4958979875339679
top_candidates	NUDT21	NUDT21-I3	cosine_all	3	guide27	0.29906293458053673
top_candidates	NUDT21	NUDT21-I3	cosine_all	4	guide12	0.293724316921974
top_candidates	NUDT21	NUDT21-I3	cosine_all	5	guide16	0.29097731146295946
top_candidates	PABPC1	PABPC1-I1	cosine_all	1	guide18	0.5230715366699988
top_candidates	PABPC1	PABPC1-I1	cosine_all	2	guide16	0.2798813234757223
top_candidates	PABPC1	PABPC1-I1	cosine_all	3	guide15	0.23880177023956461
top_candidates	PABPC1	PABPC1-I1	cosine_all	4	guide5	0.22885723132369654
top_candidates	PABPC1	PABPC1-I1	cosine_all	5	guide13	0.22876314400447534
top_candidates	LEO1	LEO1-I2	pearson_var250	1	guide14	0.34882199955256943
top_candidates	LEO1	LEO1-I2	pearson_var250	2	guide8	0.1322776219074923
top_candidates	LEO1	LEO1-I2	pearson_var250	3	guide20	0.11416888143354023
top_candidates	LEO1	LEO1-I2	pearson_var250	4	guide18	0.09648003813655147
