metric	value1	value2	value3	value4
common_feature_count	11858	
same_position_count	2558	
ref_control_count	922	
query_control_count	1424	
ref_noncontrol_count	33	
query_noncontrol_count	32	
ref_guide_target	guide	target	cell_count
ref_guide_target	CDC73-I2	CDC73	77
ref_guide_target	CPSF1-I3	CPSF1	306
ref_guide_target	CPSF2-I1	CPSF2	151
ref_guide_target	CPSF3-I3	CPSF3	125
ref_guide_target	CPSF3L-I8	CPSF3L	33
ref_guide_target	CPSF4-I8	CPSF4	63
ref_guide_target	CPSF6-I5	CPSF6	107
ref_guide_target	CPSF7-I1	CPSF7	156
ref_guide_target	CSTF1-I5	CSTF1	31
ref_guide_target	CSTF2-I4	CSTF2	93
ref_guide_target	CSTF3-I5	CSTF3	116
ref_guide_target	CTR9-I7	CTR9	108
ref_guide_target	FIP1L1-I1	FIP1L1	74
ref_guide_target	LEO1-I2	LEO1	246
ref_guide_target	NUDT21-I3	NUDT21	178
ref_guide_target	PABPC1-I1	PABPC1	67
ref_guide_target	PABPN1-I2	PABPN1	29
ref_guide_target	PAF1-I6	PAF1	28
ref_guide_target	PAPOLA-I3	PAPOLA	164
ref_guide_target	PCF11-I5	PCF11	43
ref_guide_target	PHF3-I5	PHF3	158
ref_guide_target	RBBP6-I4	RBBP6	83
ref_guide_target	RPAP2-I2	RPAP2	5
ref_guide_target	RPRD1A-I5	RPRD1A	89
ref_guide_target	RPRD1B-I1	RPRD1B	120
ref_guide_target	SCAF1-I2	SCAF1	61
ref_guide_target	SCAF11-I3	SCAF11	144
ref_guide_target	SCAF4-I4	SCAF4	139
ref_guide_target	SCAF8-I3	SCAF8	199
ref_guide_target	SF3A1-I5	SF3A1	12
ref_guide_target	SRSF3-I1	SRSF3	27
ref_guide_target	SYMPK-I3	SYMPK	8
ref_guide_target	THOC5-I1	THOC5	21
match	ref_guide	target	method	query_guide	score	rank
match	CDC73-I2	CDC73	pearson_all	guide14	0.3407170799216933	1
match	CDC73-I2	CDC73	pearson_all	guide28	0.2727963652296958	2
match	CDC73-I2	CDC73	pearson_all	guide30	0.2674802229577713	3
match	CDC73-I2	CDC73	pearson_all	guide16	0.2593183545100273	4
match	CDC73-I2	CDC73	pearson_all	guide4	0.2515053836357782	5
match	CDC73-I2	CDC73	cosine_all	guide14	0.3953312328303847	1
match	CDC73-I2	CDC73	cosine_all	guide16	0.33487024293200424	2
match	CDC73-I2	CDC73	cosine_all	guide28	0.31496955909648483	3
match	CDC73-I2	CDC73	cosine_all	guide4	0.3100997055548071	4
match	CDC73-I2	CDC73	cosine_all	guide20	0.30841814660690553	5
match	CDC73-I2	CDC73	pearson_var100	guide14	0.3681884075408756	1
match	CDC73-I2	CDC73	pearson_var100	guide30	0.24794175321799453	2
match	CDC73-I2	CDC73	pearson_var100	guide28	0.23913912879008972	3
match	CDC73-I2	CDC73	pearson_var100	guide3	0.2141772878543829	4
match	CDC73-I2	CDC73	pearson_var100	guide27	0.21409573901418627	5
match	CDC73-I2	CDC73	pearson_var250	guide14	0.3935884911769642	1
match	CDC73-I2	CDC73	pearson_var250	guide28	0.24464385179153134	2
match	CDC73-I2	CDC73	pearson_var250	guide30	0.2389428943196182	3
match	CDC73-I2	CDC73	pearson_var250	guide13	0.23166837009436597	4
match	CDC73-I2	CDC73	pearson_var250	guide19	0.2120156944644234	5
match	CDC73-I2	CDC73	pearson_var500	guide14	0.39299142290171263	1
match	CDC73-I2	CDC73	pearson_var500	guide30	0.2369831119294288	2
match	CDC73-I2	CDC73	pearson_var500	guide28	0.23396415603255782	3
match	CDC73-I2	CDC73	pearson_var500	guide13	0.23025870438716348	4
match	CDC73-I2	CDC73	pearson_var500	guide19	0.21794401663560575	5
match	CDC73-I2	CDC73	pearson_var1000	guide14	0.3382208194245014	1
match	CDC73-I2	CDC73	pearson_var1000	guide28	0.22902776776006847	2
match	CDC73-I2	CDC73	pearson_var1000	guide30	0.22139284164781417	3
match	CDC73-I2	CDC73	pearson_var1000	guide13	0.21006371213702862	4
match	CDC73-I2	CDC73	pearson_var1000	guide12	0.19425989812727076	5
match	CDC73-I2	CDC73	pearson_var2000	guide14	0.3195692007926143	1
match	CDC73-I2	CDC73	pearson_var2000	guide28	0.22828101951656518	2
match	CDC73-I2	CDC73	pearson_var2000	guide30	0.22262804248519097	3
match	CDC73-I2	CDC73	pearson_var2000	guide13	0.1965864114694095	4
match	CDC73-I2	CDC73	pearson_var2000	guide4	0.17535844486661584	5
match	CDC73-I2	CDC73	pearson_var5000	guide14	0.3110389288000482	1
match	CDC73-I2	CDC73	pearson_var5000	guide28	0.2451500842408226	2
match	CDC73-I2	CDC73	pearson_var5000	guide30	0.24376156293999263	3
match	CDC73-I2	CDC73	pearson_var5000	guide13	0.21178837466135572	4
match	CDC73-I2	CDC73	pearson_var5000	guide4	0.20516484371307805	5
match	CPSF1-I3	CPSF1	pearson_all	guide4	0.6686502577724541	1
match	CPSF1-I3	CPSF1	pearson_all	guide29	0.5439735977863378	2
match	CPSF1-I3	CPSF1	pearson_all	guide22	0.5315700552122133	3
match	CPSF1-I3	CPSF1	pearson_all	guide3	0.5303835725627407	4
match	CPSF1-I3	CPSF1	pearson_all	guide17	0.48402872220433524	5
match	CPSF1-I3	CPSF1	cosine_all	guide4	0.6978646027331465	1
match	CPSF1-I3	CPSF1	cosine_all	guide29	0.587309147758815	2
match	CPSF1-I3	CPSF1	cosine_all	guide22	0.5818327537475708	3
match	CPSF1-I3	CPSF1	cosine_all	guide3	0.5702298750665644	4
match	CPSF1-I3	CPSF1	cosine_all	guide17	0.5459997988615067	5
match	CPSF1-I3	CPSF1	pearson_var100	guide4	0.7049512808112405	1
match	CPSF1-I3	CPSF1	pearson_var100	guide3	0.6800223461811157	2
match	CPSF1-I3	CPSF1	pearson_var100	guide29	0.6527820863658037	3
match	CPSF1-I3	CPSF1	pearson_var100	guide25	0.5997672030069932	4
match	CPSF1-I3	CPSF1	pearson_var100	guide22	0.5666396717284176	5
match	CPSF1-I3	CPSF1	pearson_var250	guide4	0.7022211938151426	1
match	CPSF1-I3	CPSF1	pearson_var250	guide3	0.650909370274435	2
match	CPSF1-I3	CPSF1	pearson_var250	guide29	0.6330231013929531	3
match	CPSF1-I3	CPSF1	pearson_var250	guide22	0.5595227266373202	4
match	CPSF1-I3	CPSF1	pearson_var250	guide25	0.5319268587462487	5
match	CPSF1-I3	CPSF1	pearson_var500	guide4	0.7023627273915221	1
match	CPSF1-I3	CPSF1	pearson_var500	guide29	0.6258224382227292	2
match	CPSF1-I3	CPSF1	pearson_var500	guide3	0.6137317611054258	3
match	CPSF1-I3	CPSF1	pearson_var500	guide22	0.5462528244978047	4
match	CPSF1-I3	CPSF1	pearson_var500	guide25	0.5021942125304057	5
match	CPSF1-I3	CPSF1	pearson_var1000	guide4	0.6751069055178207	1
match	CPSF1-I3	CPSF1	pearson_var1000	guide29	0.5841104917726966	2
match	CPSF1-I3	CPSF1	pearson_var1000	guide3	0.5530538741061698	3
match	CPSF1-I3	CPSF1	pearson_var1000	guide22	0.5225043413431327	4
match	CPSF1-I3	CPSF1	pearson_var1000	guide21	0.46092702023591847	5
match	CPSF1-I3	CPSF1	pearson_var2000	guide4	0.6507740571973024	1
match	CPSF1-I3	CPSF1	pearson_var2000	guide29	0.540436160967663	2
match	CPSF1-I3	CPSF1	pearson_var2000	guide3	0.5128432976320122	3
match	CPSF1-I3	CPSF1	pearson_var2000	guide22	0.5012032137265745	4
match	CPSF1-I3	CPSF1	pearson_var2000	guide21	0.42838378475412975	5
match	CPSF1-I3	CPSF1	pearson_var5000	guide4	0.649573740323312	1
match	CPSF1-I3	CPSF1	pearson_var5000	guide29	0.5221885476649052	2
match	CPSF1-I3	CPSF1	pearson_var5000	guide3	0.5066344121887707	3
match	CPSF1-I3	CPSF1	pearson_var5000	guide22	0.49940977541512543	4
match	CPSF1-I3	CPSF1	pearson_var5000	guide17	0.43188720945702697	5
match	CPSF2-I1	CPSF2	pearson_all	guide4	0.6100332048131044	1
match	CPSF2-I1	CPSF2	pearson_all	guide3	0.5337324680355117	2
match	CPSF2-I1	CPSF2	pearson_all	guide29	0.49939874376426074	3
match	CPSF2-I1	CPSF2	pearson_all	guide22	0.47161555773651564	4
match	CPSF2-I1	CPSF2	pearson_all	guide21	0.47010996970179497	5
match	CPSF2-I1	CPSF2	cosine_all	guide4	0.640017308699923	1
match	CPSF2-I1	CPSF2	cosine_all	guide3	0.5680480147174775	2
match	CPSF2-I1	CPSF2	cosine_all	guide29	0.5398656990187055	3
match	CPSF2-I1	CPSF2	cosine_all	guide22	0.5188372782961622	4
match	CPSF2-I1	CPSF2	cosine_all	guide17	0.5134497349943439	5
match	CPSF2-I1	CPSF2	pearson_var100	guide3	0.6597485988829868	1
match	CPSF2-I1	CPSF2	pearson_var100	guide4	0.633481712127987	2
match	CPSF2-I1	CPSF2	pearson_var100	guide29	0.6119560412449233	3
match	CPSF2-I1	CPSF2	pearson_var100	guide21	0.5968042939794764	4
match	CPSF2-I1	CPSF2	pearson_var100	guide25	0.5308528770004414	5
match	CPSF2-I1	CPSF2	pearson_var250	guide3	0.6508256102727675	1
match	CPSF2-I1	CPSF2	pearson_var250	guide4	0.63700470251421	2
match	CPSF2-I1	CPSF2	pearson_var250	guide21	0.5978332632766065	3
match	CPSF2-I1	CPSF2	pearson_var250	guide29	0.5766657864741858	4
match	CPSF2-I1	CPSF2	pearson_var250	guide25	0.5114253273486546	5
match	CPSF2-I1	CPSF2	pearson_var500	guide4	0.6445390560708979	1
match	CPSF2-I1	CPSF2	pearson_var500	guide3	0.6403123697639759	2
match	CPSF2-I1	CPSF2	pearson_var500	guide21	0.5728339468381327	3
