query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	9.51351118388231e-10	15183	109	94	0.862385321100917	0.00619113482184022	GO:0008150	GO:BP	biological_process	28241	2984	
query_1	TRUE	1.65067050342236e-09	248	109	14	0.128440366972477	0.0564516129032258	GO:0001666	GO:BP	response to hypoxia	28241	364	GO:0006950,GO:0036293
query_1	TRUE	3.13416200530696e-09	260	109	14	0.128440366972477	0.0538461538461538	GO:0036293	GO:BP	response to decreased oxygen levels	28241	8921	GO:0070482
query_1	TRUE	4.07079623461353e-09	14824	109	92	0.844036697247706	0.0062061521856449	GO:0009987	GO:BP	cellular process	28241	3649	GO:0008150
query_1	TRUE	1.03107635340498e-08	284	109	14	0.128440366972477	0.0492957746478873	GO:0070482	GO:BP	response to oxygen levels	28241	15030	GO:0009628
query_1	TRUE	2.0059015666252e-07	10075	109	72	0.660550458715596	0.00714640198511166	GO:0065007	GO:BP	biological regulation	28241	14784	GO:0008150
query_1	TRUE	2.04410178391056e-07	7122	109	59	0.541284403669725	0.0082841898343162	GO:0050896	GO:BP	response to stimulus	28241	12476	GO:0008150
query_1	TRUE	1.44994387307587e-06	9736	109	69	0.63302752293578	0.00708709942481512	GO:0050789	GO:BP	regulation of biological process	28241	12397	GO:0008150,GO:0065007
query_1	TRUE	1.86830780235797e-06	501	109	15	0.137614678899083	0.029940119760479	GO:0005975	GO:BP	carbohydrate metabolic process	28241	1760	GO:0044238
query_1	TRUE	2.91132645216234e-06	9399	109	67	0.614678899082569	0.00712841791679966	GO:0050794	GO:BP	regulation of cellular process	28241	12401	GO:0009987,GO:0050789
query_1	TRUE	4.79332964594611e-06	2942	109	34	0.311926605504587	0.0115567641060503	GO:0042221	GO:BP	response to chemical	28241	9400	GO:0050896
query_1	TRUE	1.25174445129093e-05	980	109	19	0.174311926605505	0.0193877551020408	GO:0009628	GO:BP	response to abiotic stimulus	28241	3392	GO:0050896
query_1	TRUE	2.91831168076094e-05	5317	109	46	0.422018348623853	0.00865149520406244	GO:0048518	GO:BP	positive regulation of biological process	28241	11952	GO:0008150,GO:0050789
query_1	TRUE	4.46017133510976e-05	231	109	10	0.0917431192660551	0.0432900432900433	GO:0005996	GO:BP	monosaccharide metabolic process	28241	1780	GO:0005975,GO:0044281
query_1	TRUE	4.9314666855232e-05	4455	109	41	0.376146788990826	0.00920314253647587	GO:0048523	GO:BP	negative regulation of cellular process	28241	11957	GO:0009987,GO:0048519,GO:0050794
query_1	TRUE	5.34165364525322e-05	4653	109	42	0.385321100917431	0.00902643455834945	GO:0048519	GO:BP	negative regulation of biological process	28241	11953	GO:0008150,GO:0050789
query_1	TRUE	5.38486498354519e-05	3405	109	35	0.321100917431193	0.0102790014684288	GO:0006950	GO:BP	response to stress	28241	2451	GO:0050896
query_1	TRUE	6.33031743426191e-05	5845	109	48	0.440366972477064	0.00821214713430282	GO:0032501	GO:BP	multicellular organismal process	28241	7116	GO:0008150
query_1	TRUE	0.000110928318908661	1504	109	22	0.201834862385321	0.0146276595744681	GO:0044281	GO:BP	small molecule metabolic process	28241	10246	GO:0008152
query_1	TRUE	0.000128717379604577	4986	109	43	0.394495412844037	0.00862414761331729	GO:0048522	GO:BP	positive regulation of cellular process	28241	11956	GO:0009987,GO:0048518,GO:0050794
query_1	TRUE	0.000202830756003391	1835	109	24	0.220183486238532	0.0130790190735695	GO:0070887	GO:BP	cellular response to chemical stimulus	28241	15231	GO:0042221,GO:0051716
query_1	TRUE	0.000425035123502106	5995	109	47	0.431192660550459	0.00783986655546288	GO:0051716	GO:BP	cellular response to stimulus	28241	12983	GO:0009987,GO:0050896
query_1	TRUE	0.000545385432531739	230	109	9	0.0825688073394495	0.0391304347826087	GO:1901136	GO:BP	carbohydrate derivative catabolic process	28241	19877	GO:0009056,GO:1901135
query_1	TRUE	0.000888163094565914	121	109	7	0.0642201834862385	0.0578512396694215	GO:0006090	GO:BP	pyruvate metabolic process	28241	1852	GO:0032787
query_1	TRUE	0.000992792253131954	123	109	7	0.0642201834862385	0.0569105691056911	GO:0071456	GO:BP	cellular response to hypoxia	28241	15552	GO:0001666,GO:0033554,GO:0036294
query_1	TRUE	0.00112821057533564	503	109	12	0.110091743119266	0.0238568588469185	GO:0044283	GO:BP	small molecule biosynthetic process	28241	10248	GO:0009058,GO:0044281
query_1	TRUE	0.00130057313926344	128	109	7	0.0642201834862385	0.0546875	GO:0009261	GO:BP	ribonucleotide catabolic process	28241	3270	GO:0009166,GO:0009259,GO:1901136
query_1	TRUE	0.00147499143693716	516	109	12	0.110091743119266	0.0232558139534884	GO:0032787	GO:BP	monocarboxylic acid metabolic process	28241	7321	GO:0019752
