sample	cells	median_umis	median_genes
1	6295	1999	1166
2	5004	3197	1671.5
marker_panel	present	total	present_symbols
astrocyte	6	6	GFAP,AQP4,ALDH1L1,SLC1A3,GJA1,S100B
microglial_cell	7	7	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,TREM2
RPE_cell	7	7	RPE65,BEST1,LRAT,RDH5,PMEL,TYR,MITF
cone_cell	6	6	ARR3,GNAT2,PDE6H,OPN1LW,OPN1MW,OPN1SW
rod_cell	6	6	RHO,NRL,GNAT1,PDE6A,PDE6B,SAG
horizontal_cell	5	5	ONECUT1,ONECUT2,PROX1,CALB1,LHX1
bipolar_cell	6	6	VSX2,TRPM1,GRM6,PRKCA,OTX2,CABP5
RGC	6	6	RBPMS,POU4F1,POU4F2,SNCG,NEFL,NEFM
T_cells	6	6	CD3D,CD3E,TRAC,TRBC1,TRBC2,IL7R
macrophage	6	6	CD68,LYZ,FCGR3A,LPL,CTSD,APOE
Schwann_cell	6	6	SOX10,MPZ,PMP22,PLP1,S100B,S100A1
Pericyte	6	6	RGS5,PDGFRB,CSPG4,MCAM,KCNJ8,ABCC9
B_cell	6	6	MS4A1,CD79A,CD79B,CD19,CD22,CD74
fibroblast	6	6	COL1A1,COL1A2,DCN,LUM,COL3A1,PDGFRA
endothelial_cell	6	6	PECAM1,VWF,KDR,EMCN,CLDN5,RAMP2
muller_glia_cell	6	6	RLBP1,GLUL,SLC1A3,AQP4,CRYAB,DCLK1
