method	cell_type	individual_1_cells	individual_2_cells	individual_1_proportion	individual_2_proportion	log2_ratio	absolute_log2_ratio	depleted_in
anchor_panel	B_cell	893	97	0.141858617950755	0.0193844924060751	2.86492813350775	2.86492813350775	individual_2
anchor_panel	horizontal_cell	346	88	0.0549642573471009	0.017585931254996	1.63804052027009	1.63804052027009	individual_2
anchor_panel	T_cells	188	54	0.0298649722001589	0.0107913669064748	1.45917091670761	1.45917091670761	individual_2
anchor_panel	macrophage	24	52	0.00381254964257347	0.0103916866506795	-1.43060114533504	1.43060114533504	individual_1
anchor_panel	rod_cell	1545	2458	0.245432883240667	0.491207034372502	-1.00077017274652	1.00077017274652	individual_1
anchor_panel	fibroblast	9	14	0.00142970611596505	0.00279776179056755	-0.941118953468117	0.941118953468117	individual_1
anchor_panel	astrocyte	108	45	0.0171564733915806	0.00899280575539568	0.922691120461653	0.922691120461653	individual_2
anchor_panel	bipolar_cell	1103	598	0.175218427323272	0.119504396482814	0.551598005551981	0.551598005551981	individual_2
anchor_panel	Schwann_cell	61	66	0.00969023034154091	0.013189448441247	-0.44383340194608	0.44383340194608	individual_1
anchor_panel	RPE_cell	295	317	0.0468625893566322	0.0633493205435652	-0.434663933266126	0.434663933266126	individual_1
anchor_panel	muller_glia_cell	817	490	0.129785544082605	0.0979216626698641	0.405900122382076	0.405900122382076	individual_2
anchor_panel	microglial_cell	43	43	0.0068308181096108	0.00859312549960032	-0.33106547178413	0.33106547178413	individual_1
anchor_panel	Pericyte	73	53	0.0115965051628276	0.0105915267785771	0.127139886651087	0.127139886651087	individual_2
anchor_panel	endothelial_cell	44	36	0.00698967434471803	0.00719424460431655	-0.04515659969775	0.04515659969775	individual_1
anchor_panel	RGC	352	287	0.0559173947577442	0.0573541167066347	-0.037004170329712	0.037004170329712	individual_1
anchor_panel	cone_cell	394	306	0.0625893566322478	0.0611510791366906	0.0330727545385466	0.0330727545385466	individual_2
anchor_panel_high_confidence	T_cells	89	5	0.0339954163483575	0.00171350239890336	4.18084230977863	4.18084230977863	individual_2
anchor_panel_high_confidence	horizontal_cell	265	36	0.10122230710466	0.0123372172721042	3.01920164307581	3.01920164307581	individual_2
anchor_panel_high_confidence	rod_cell	357	1483	0.136363636363636	0.508224811514736	-1.89653162866284	1.89653162866284	individual_1
anchor_panel_high_confidence	Pericyte	41	16	0.0156608097784568	0.00548320767649075	1.48710346314014	1.48710346314014	individual_2
anchor_panel_high_confidence	endothelial_cell	25	10	0.00954927425515661	0.00342700479780672	1.43656607034441	1.43656607034441	individual_2
anchor_panel_high_confidence	astrocyte	66	31	0.0252100840336134	0.0106237148732008	1.23446066315294	1.23446066315294	individual_2
anchor_panel_high_confidence	B_cell	19	10	0.00725744843391902	0.00342700479780672	1.04954294723516	1.04954294723516	individual_2
anchor_panel_high_confidence	RPE_cell	184	100	0.0702826585179526	0.0342700479780672	1.03288346603314	1.03288346603314	individual_2
anchor_panel_high_confidence	RGC	229	134	0.0874713521772345	0.04592186429061	0.927346132008855	0.927346132008855	individual_2
anchor_panel_high_confidence	bipolar_cell	600	436	0.229182582123759	0.149417409184373	0.616640743227866	0.616640743227866	individual_2
anchor_panel_high_confidence	microglial_cell	26	19	0.00993124522536287	0.00651130911583276	0.598976386852622	0.598976386852622	individual_2
anchor_panel_high_confidence	macrophage	17	25	0.00649350649350649	0.00856751199451679	-0.386684173874858	0.386684173874858	individual_1
anchor_panel_high_confidence	muller_glia_cell	422	364	0.161191749427044	0.124742974640164	0.369490677994281	0.369490677994281	individual_2
anchor_panel_high_confidence	cone_cell	242	209	0.092436974789916	0.0716244002741604	0.36749265452681	0.36749265452681	individual_2
anchor_panel_high_confidence	fibroblast	4	5	0.00152788388082506	0.00171350239890336	-0.133048466043313	0.133048466043313	individual_1
anchor_panel_high_confidence	Schwann_cell	32	35	0.0122230710466005	0.0119945167923235	0.0290788446754441	0.0290788446754441	individual_2
anchor_two_marker_detection	Schwann_cell	1	14	0.000158856235107228	0.00279776179056755	-3.60408396619055	3.60408396619055	individual_1
anchor_two_marker_detection	fibroblast	1	5	0.000158856235107228	0.000999200639488409	-2.20553458970027	2.20553458970027	individual_1
anchor_two_marker_detection	B_cell	0	1	0	0.000199840127897682	-1.91602797250529	1.91602797250529	individual_1
anchor_two_marker_detection	horizontal_cell	242	54	0.0384432088959492	0.0107913669064748	1.82259114051343	1.82259114051343	individual_2
anchor_two_marker_detection	RPE_cell	22	59	0.00349483717235902	0.0117905675459632	-1.7340301387624	1.7340301387624	individual_1
anchor_two_marker_detection	Pericyte	20	45	0.00317712470214456	0.00899280575539568	-1.48130810736474	1.48130810736474	individual_1
anchor_two_marker_detection	cone_cell	300	482	0.0476568705321684	0.0963229416466826	-1.01422942322839	1.01422942322839	individual_1
anchor_two_marker_detection	RGC	194	250	0.0308181096108022	0.0499600319744205	-0.696105919993147	0.696105919993147	individual_1
anchor_two_marker_detection	astrocyte	27	14	0.00428911834789516	0.00279776179056755	0.592313246612957	0.592313246612957	individual_2
anchor_two_marker_detection	rod_cell	4196	4360	0.666560762509928	0.871302957633893	-0.386372463169696	0.386372463169696	individual_1
anchor_two_marker_detection	microglial_cell	0	0	0	0	-0.33106547178413	0.33106547178413	individual_1
anchor_two_marker_detection	T_cells	1	1	0.000158856235107228	0.000199840127897682	-0.33106547178413	0.33106547178413	individual_1
anchor_two_marker_detection	macrophage	0	0	0	0	-0.33106547178413	0.33106547178413	individual_1
anchor_two_marker_detection	endothelial_cell	13	9	0.00206513105639396	0.00179856115107914	0.175894516935753	0.175894516935753	individual_2
anchor_two_marker_detection	muller_glia_cell	845	693	0.134233518665608	0.138489208633094	-0.0451565996977502	0.0451565996977502	individual_1
anchor_two_marker_detection	bipolar_cell	881	706	0.139952343129468	0.141087130295763	-0.0117944627978884	0.0117944627978884	individual_1
full_panel	B_cell	867	68	0.137728355837967	0.0135891286970424	3.33162239272097	3.33162239272097	individual_2
full_panel	T_cells	196	17	0.0311358220810167	0.00339728217426059	3.15803701352951	3.15803701352951	individual_2
full_panel	astrocyte	76	17	0.0120730738681493	0.00339728217426059	1.79703935396355	1.79703935396355	individual_2
full_panel	rod_cell	1516	2804	0.240826052422558	0.5603517186251	-1.21806355684174	1.21806355684174	individual_1
full_panel	horizontal_cell	397	139	0.0630659253375695	0.0277777777777778	1.1796242665584	1.1796242665584	individual_2
full_panel	Pericyte	106	44	0.0168387609213662	0.008792965627498	0.92791071747531	0.92791071747531	individual_2
full_panel	RPE_cell	267	117	0.0424146147736299	0.0233812949640288	0.855812662939379	0.855812662939379	individual_2
full_panel	RGC	347	182	0.0551231135822081	0.0363709032773781	0.59805104205936	0.59805104205936	individual_2
full_panel	microglial_cell	54	29	0.00857823669579031	0.00579536370903277	0.554475803630954	0.554475803630954	individual_2
full_panel	bipolar_cell	972	555	0.154408260524226	0.110911270983213	0.476845866700332	0.476845866700332	individual_2
full_panel	Schwann_cell	69	76	0.0109610802223987	0.0151878497202238	-0.469512241753275	0.469512241753275	individual_1
full_panel	muller_glia_cell	703	447	0.111675933280381	0.0893285371702638	0.321597269300783	0.321597269300783	individual_2
full_panel	macrophage	215	140	0.034154090548054	0.0279776179056755	0.286052267084042	0.286052267084042	individual_2
full_panel	endothelial_cell	52	36	0.00826052422557585	0.00719424460431655	0.193355487001975	0.193355487001975	individual_2
full_panel	fibroblast	36	32	0.00571882446386021	0.00639488409272582	-0.163608725932568	0.163608725932568	individual_1
full_panel	cone_cell	422	301	0.0670373312152502	0.0601518784972022	0.155727867485331	0.155727867485331	individual_2
full_panel_high_confidence	T_cells	70	0	0.0314889788573999	0	7.50392223467464	7.50392223467464	individual_2
full_panel_high_confidence	microglial_cell	20	3	0.00899685110211426	0.0010482180293501	2.91456796483632	2.91456796483632	individual_2
full_panel_high_confidence	astrocyte	17	3	0.00764732343679712	0.0010482180293501	2.68629897716321	2.68629897716321	individual_2
full_panel_high_confidence	RPE_cell	98	24	0.0440845704003599	0.00838574423480084	2.37171285761701	2.37171285761701	individual_2
full_panel_high_confidence	horizontal_cell	279	70	0.125506072874494	0.0244584206848358	2.35152400272024	2.35152400272024	individual_2
full_panel_high_confidence	Pericyte	40	10	0.0179937022042285	0.00349406009783368	2.31190346238171	2.31190346238171	individual_2
full_panel_high_confidence	rod_cell	279	1654	0.125506072874494	0.577917540181691	-2.2011042211935	2.2011042211935	individual_1
full_panel_high_confidence	endothelial_cell	21	6	0.00944669365721997	0.00209643605870021	2.09019591883685	2.09019591883685	individual_2
full_panel_high_confidence	B_cell	17	5	0.00764732343679712	0.00174703004891684	2.03422228058351	2.03422228058351	individual_2
full_panel_high_confidence	RGC	190	116	0.0854700854700855	0.0405310971348707	1.07383192511489	1.07383192511489	individual_2
full_panel_high_confidence	macrophage	40	26	0.0179937022042285	0.00908455625436757	0.976300430597271	0.976300430597271	individual_2
full_panel_high_confidence	bipolar_cell	528	359	0.237516869095816	0.125436757512229	0.920282583219231	0.920282583219231	individual_2
full_panel_high_confidence	fibroblast	8	6	0.0035987404408457	0.00209643605870021	0.751394005385093	0.751394005385093	individual_2
full_panel_high_confidence	Schwann_cell	20	16	0.00899685110211426	0.00559049615653389	0.677528767535476	0.677528767535476	individual_2
full_panel_high_confidence	cone_cell	227	209	0.102114260008997	0.073025856044724	0.483287183662553	0.483287183662553	individual_2
full_panel_high_confidence	muller_glia_cell	369	355	0.165991902834008	0.124039133473096	0.420095686802581	0.420095686802581	individual_2
