method	sample	cell_type	cells	denominator	proportion
full_panel	individual_1	astrocyte	76	6295	0.0120730738681493
full_panel	individual_1	microglial_cell	54	6295	0.00857823669579031
full_panel	individual_1	RPE_cell	267	6295	0.0424146147736299
full_panel	individual_1	cone_cell	422	6295	0.0670373312152502
full_panel	individual_1	rod_cell	1516	6295	0.240826052422558
full_panel	individual_1	horizontal_cell	397	6295	0.0630659253375695
full_panel	individual_1	bipolar_cell	972	6295	0.154408260524226
full_panel	individual_1	RGC	347	6295	0.0551231135822081
full_panel	individual_1	T_cells	196	6295	0.0311358220810167
full_panel	individual_1	macrophage	215	6295	0.034154090548054
full_panel	individual_1	Schwann_cell	69	6295	0.0109610802223987
full_panel	individual_1	Pericyte	106	6295	0.0168387609213662
full_panel	individual_1	B_cell	867	6295	0.137728355837967
full_panel	individual_1	fibroblast	36	6295	0.00571882446386021
full_panel	individual_1	endothelial_cell	52	6295	0.00826052422557585
full_panel	individual_1	muller_glia_cell	703	6295	0.111675933280381
full_panel	individual_2	astrocyte	17	5004	0.00339728217426059
full_panel	individual_2	microglial_cell	29	5004	0.00579536370903277
full_panel	individual_2	RPE_cell	117	5004	0.0233812949640288
full_panel	individual_2	cone_cell	301	5004	0.0601518784972022
full_panel	individual_2	rod_cell	2804	5004	0.5603517186251
full_panel	individual_2	horizontal_cell	139	5004	0.0277777777777778
full_panel	individual_2	bipolar_cell	555	5004	0.110911270983213
full_panel	individual_2	RGC	182	5004	0.0363709032773781
full_panel	individual_2	T_cells	17	5004	0.00339728217426059
full_panel	individual_2	macrophage	140	5004	0.0279776179056755
full_panel	individual_2	Schwann_cell	76	5004	0.0151878497202238
full_panel	individual_2	Pericyte	44	5004	0.008792965627498
full_panel	individual_2	B_cell	68	5004	0.0135891286970424
full_panel	individual_2	fibroblast	32	5004	0.00639488409272582
full_panel	individual_2	endothelial_cell	36	5004	0.00719424460431655
full_panel	individual_2	muller_glia_cell	447	5004	0.0893285371702638
anchor_panel	individual_1	astrocyte	108	6295	0.0171564733915806
anchor_panel	individual_1	microglial_cell	43	6295	0.0068308181096108
anchor_panel	individual_1	RPE_cell	295	6295	0.0468625893566322
anchor_panel	individual_1	cone_cell	394	6295	0.0625893566322478
anchor_panel	individual_1	rod_cell	1545	6295	0.245432883240667
anchor_panel	individual_1	horizontal_cell	346	6295	0.0549642573471009
anchor_panel	individual_1	bipolar_cell	1103	6295	0.175218427323272
anchor_panel	individual_1	RGC	352	6295	0.0559173947577442
anchor_panel	individual_1	T_cells	188	6295	0.0298649722001589
anchor_panel	individual_1	macrophage	24	6295	0.00381254964257347
anchor_panel	individual_1	Schwann_cell	61	6295	0.00969023034154091
anchor_panel	individual_1	Pericyte	73	6295	0.0115965051628276
anchor_panel	individual_1	B_cell	893	6295	0.141858617950755
anchor_panel	individual_1	fibroblast	9	6295	0.00142970611596505
anchor_panel	individual_1	endothelial_cell	44	6295	0.00698967434471803
anchor_panel	individual_1	muller_glia_cell	817	6295	0.129785544082605
anchor_panel	individual_2	astrocyte	45	5004	0.00899280575539568
anchor_panel	individual_2	microglial_cell	43	5004	0.00859312549960032
anchor_panel	individual_2	RPE_cell	317	5004	0.0633493205435652
anchor_panel	individual_2	cone_cell	306	5004	0.0611510791366906
anchor_panel	individual_2	rod_cell	2458	5004	0.491207034372502
anchor_panel	individual_2	horizontal_cell	88	5004	0.017585931254996
anchor_panel	individual_2	bipolar_cell	598	5004	0.119504396482814
anchor_panel	individual_2	RGC	287	5004	0.0573541167066347
anchor_panel	individual_2	T_cells	54	5004	0.0107913669064748
anchor_panel	individual_2	macrophage	52	5004	0.0103916866506795
anchor_panel	individual_2	Schwann_cell	66	5004	0.013189448441247
anchor_panel	individual_2	Pericyte	53	5004	0.0105915267785771
anchor_panel	individual_2	B_cell	97	5004	0.0193844924060751
anchor_panel	individual_2	fibroblast	14	5004	0.00279776179056755
anchor_panel	individual_2	endothelial_cell	36	5004	0.00719424460431655
anchor_panel	individual_2	muller_glia_cell	490	5004	0.0979216626698641
full_panel_high_confidence	individual_1	astrocyte	17	2223	0.00764732343679712
full_panel_high_confidence	individual_1	microglial_cell	20	2223	0.00899685110211426
full_panel_high_confidence	individual_1	RPE_cell	98	2223	0.0440845704003599
full_panel_high_confidence	individual_1	cone_cell	227	2223	0.102114260008997
full_panel_high_confidence	individual_1	rod_cell	279	2223	0.125506072874494
full_panel_high_confidence	individual_1	horizontal_cell	279	2223	0.125506072874494
full_panel_high_confidence	individual_1	bipolar_cell	528	2223	0.237516869095816
full_panel_high_confidence	individual_1	RGC	190	2223	0.0854700854700855
full_panel_high_confidence	individual_1	T_cells	70	2223	0.0314889788573999
full_panel_high_confidence	individual_1	macrophage	40	2223	0.0179937022042285
full_panel_high_confidence	individual_1	Schwann_cell	20	2223	0.00899685110211426
full_panel_high_confidence	individual_1	Pericyte	40	2223	0.0179937022042285
full_panel_high_confidence	individual_1	B_cell	17	2223	0.00764732343679712
full_panel_high_confidence	individual_1	fibroblast	8	2223	0.0035987404408457
full_panel_high_confidence	individual_1	endothelial_cell	21	2223	0.00944669365721997
full_panel_high_confidence	individual_1	muller_glia_cell	369	2223	0.165991902834008
full_panel_high_confidence	individual_2	astrocyte	3	2862	0.0010482180293501
full_panel_high_confidence	individual_2	microglial_cell	3	2862	0.0010482180293501
full_panel_high_confidence	individual_2	RPE_cell	24	2862	0.00838574423480084
full_panel_high_confidence	individual_2	cone_cell	209	2862	0.073025856044724
full_panel_high_confidence	individual_2	rod_cell	1654	2862	0.577917540181691
full_panel_high_confidence	individual_2	horizontal_cell	70	2862	0.0244584206848358
full_panel_high_confidence	individual_2	bipolar_cell	359	2862	0.125436757512229
full_panel_high_confidence	individual_2	RGC	116	2862	0.0405310971348707
full_panel_high_confidence	individual_2	T_cells	0	2862	0
full_panel_high_confidence	individual_2	macrophage	26	2862	0.00908455625436757
full_panel_high_confidence	individual_2	Schwann_cell	16	2862	0.00559049615653389
full_panel_high_confidence	individual_2	Pericyte	10	2862	0.00349406009783368
full_panel_high_confidence	individual_2	B_cell	5	2862	0.00174703004891684
full_panel_high_confidence	individual_2	fibroblast	6	2862	0.00209643605870021
full_panel_high_confidence	individual_2	endothelial_cell	6	2862	0.00209643605870021
full_panel_high_confidence	individual_2	muller_glia_cell	355	2862	0.124039133473096
