cell_type	readout	sample	cells	denominator	proportion
Schwann_cell	gene_SOX10	1	47	6295	0.00746624305003971
Schwann_cell	gene_MPZ	1	22	6295	0.00349483717235902
Schwann_cell	gene_PMP22	1	126	6295	0.0200158856235107
Schwann_cell	gene_PLP1	1	4	6295	0.000635424940428912
Schwann_cell	at_least_2	1	1	6295	0.000158856235107228
Schwann_cell	at_least_3	1	0	6295	0
Schwann_cell	gene_SOX10	2	42	5004	0.00839328537170264
Schwann_cell	gene_MPZ	2	37	5004	0.00739408473221423
Schwann_cell	gene_PMP22	2	91	5004	0.018185451638689
Schwann_cell	gene_PLP1	2	49	5004	0.00979216626698641
Schwann_cell	at_least_2	2	14	5004	0.00279776179056755
Schwann_cell	at_least_3	2	0	5004	0
fibroblast	gene_COL1A1	1	27	6295	0.00428911834789516
fibroblast	gene_COL1A2	1	12	6295	0.00190627482128674
fibroblast	gene_DCN	1	7	6295	0.0011119936457506
fibroblast	gene_LUM	1	21	6295	0.00333598093725179
fibroblast	at_least_2	1	1	6295	0.000158856235107228
fibroblast	at_least_3	1	0	6295	0
fibroblast	gene_COL1A1	2	2	5004	0.000399680255795364
fibroblast	gene_COL1A2	2	21	5004	0.00419664268585132
fibroblast	gene_DCN	2	13	5004	0.00259792166266986
fibroblast	gene_LUM	2	115	5004	0.0229816147082334
fibroblast	at_least_2	2	5	5004	0.000999200639488409
fibroblast	at_least_3	2	0	5004	0
Pericyte	gene_RGS5	1	96	6295	0.0152501985702939
Pericyte	gene_PDGFRB	1	126	6295	0.0200158856235107
Pericyte	gene_CSPG4	1	1	6295	0.000158856235107228
Pericyte	gene_KCNJ8	1	8	6295	0.00127084988085782
Pericyte	gene_ABCC9	1	83	6295	0.0131850675138999
Pericyte	at_least_2	1	20	6295	0.00317712470214456
Pericyte	at_least_3	1	1	6295	0.000158856235107228
Pericyte	gene_RGS5	2	97	5004	0.0193844924060751
Pericyte	gene_PDGFRB	2	167	5004	0.0333733013589129
Pericyte	gene_CSPG4	2	3	5004	0.000599520383693046
Pericyte	gene_KCNJ8	2	13	5004	0.00259792166266986
Pericyte	gene_ABCC9	2	70	5004	0.0139888089528377
Pericyte	at_least_2	2	45	5004	0.00899280575539568
Pericyte	at_least_3	2	5	5004	0.000999200639488409
RPE_cell	gene_RPE65	1	102	6295	0.0162033359809373
RPE_cell	gene_BEST1	1	104	6295	0.0165210484511517
RPE_cell	gene_LRAT	1	82	6295	0.0130262112787927
RPE_cell	gene_RDH5	1	308	6295	0.0489277204130262
RPE_cell	at_least_2	1	22	6295	0.00349483717235902
RPE_cell	at_least_3	1	2	6295	0.000317712470214456
RPE_cell	gene_RPE65	2	157	5004	0.031374900079936
RPE_cell	gene_BEST1	2	94	5004	0.0187849720223821
RPE_cell	gene_LRAT	2	68	5004	0.0135891286970424
RPE_cell	gene_RDH5	2	630	5004	0.12589928057554
RPE_cell	at_least_2	2	59	5004	0.0117905675459632
RPE_cell	at_least_3	2	5	5004	0.000999200639488409
horizontal_cell	gene_ONECUT1	1	275	6295	0.0436854646544877
horizontal_cell	gene_ONECUT2	1	272	6295	0.043208895949166
horizontal_cell	gene_LHX1	1	122	6295	0.0193804606830818
horizontal_cell	at_least_2	1	192	6295	0.0305003971405878
horizontal_cell	at_least_3	1	98	6295	0.0155679110405083
horizontal_cell	gene_ONECUT1	2	103	5004	0.0205835331734612
horizontal_cell	gene_ONECUT2	2	73	5004	0.0145883293365308
horizontal_cell	gene_LHX1	2	4	5004	0.000799360511590727
horizontal_cell	at_least_2	2	22	5004	0.004396482813749
horizontal_cell	at_least_3	2	0	5004	0
Schwann_cell	individual_2_thinned_at_least_2_mean	2	5.95	5004	0.00118904876099121
Schwann_cell	individual_2_thinned_at_least_2_q05	2	3	5004	0.000599520383693046
Schwann_cell	individual_2_thinned_at_least_2_q95	2	9	5004	0.00179856115107914
Schwann_cell	individual_2_thinned_at_least_3_mean	2	0	5004	0
fibroblast	individual_2_thinned_at_least_2_mean	2	2.43	5004	0.000485611510791367
fibroblast	individual_2_thinned_at_least_2_q05	2	0.95	5004	0.000189848121502798
fibroblast	individual_2_thinned_at_least_2_q95	2	4	5004	0.000799360511590727
fibroblast	individual_2_thinned_at_least_3_mean	2	0	5004	0
Pericyte	individual_2_thinned_at_least_2_mean	2	24.33	5004	0.0048621103117506
Pericyte	individual_2_thinned_at_least_2_q05	2	18	5004	0.00359712230215827
Pericyte	individual_2_thinned_at_least_2_q95	2	30.05	5004	0.00600519584332534
Pericyte	individual_2_thinned_at_least_3_mean	2	1.98	5004	0.00039568345323741
RPE_cell	individual_2_thinned_at_least_2_mean	2	27.33	5004	0.00546163069544364
RPE_cell	individual_2_thinned_at_least_2_q05	2	21.95	5004	0.00438649080735412
RPE_cell	individual_2_thinned_at_least_2_q95	2	34	5004	0.00679456434852118
RPE_cell	individual_2_thinned_at_least_3_mean	2	4.24	5004	0.000847322142286171
horizontal_cell	individual_2_thinned_at_least_2_mean	2	14.84	5004	0.0029656274980016
horizontal_cell	individual_2_thinned_at_least_2_q05	2	12	5004	0.00239808153477218
horizontal_cell	individual_2_thinned_at_least_2_q95	2	18	5004	0.00359712230215827
horizontal_cell	individual_2_thinned_at_least_3_mean	2	0	5004	0
