k	sample	cell_type	cells	denominator	proportion
24	individual_1	astrocyte	0	6295	0
24	individual_1	microglial_cell	0	6295	0
24	individual_1	RPE_cell	243	6295	0.0386020651310564
24	individual_1	cone_cell	234	6295	0.0371723590150913
24	individual_1	rod_cell	2118	6295	0.336457505957109
24	individual_1	horizontal_cell	193	6295	0.030659253375695
24	individual_1	bipolar_cell	1513	6295	0.240349483717236
24	individual_1	RGC	283	6295	0.0449563145353455
24	individual_1	T_cells	0	6295	0
24	individual_1	macrophage	524	6295	0.0832406671961874
24	individual_1	Schwann_cell	53	6295	0.00841938046068308
24	individual_1	Pericyte	0	6295	0
24	individual_1	B_cell	0	6295	0
24	individual_1	fibroblast	0	6295	0
24	individual_1	endothelial_cell	0	6295	0
24	individual_1	muller_glia_cell	1134	6295	0.180142970611597
24	individual_2	astrocyte	0	5004	0
24	individual_2	microglial_cell	0	5004	0
24	individual_2	RPE_cell	476	5004	0.0951239008792966
24	individual_2	cone_cell	209	5004	0.0417665867306155
24	individual_2	rod_cell	2451	5004	0.489808153477218
24	individual_2	horizontal_cell	32	5004	0.00639488409272582
24	individual_2	bipolar_cell	811	5004	0.16207034372502
24	individual_2	RGC	165	5004	0.0329736211031175
24	individual_2	T_cells	0	5004	0
24	individual_2	macrophage	160	5004	0.0319744204636291
24	individual_2	Schwann_cell	61	5004	0.0121902478017586
24	individual_2	Pericyte	0	5004	0
24	individual_2	B_cell	0	5004	0
24	individual_2	fibroblast	0	5004	0
24	individual_2	endothelial_cell	0	5004	0
24	individual_2	muller_glia_cell	639	5004	0.127697841726619
32	individual_1	astrocyte	65	6295	0.0103256552819698
32	individual_1	microglial_cell	0	6295	0
32	individual_1	RPE_cell	287	6295	0.0455917394757744
32	individual_1	cone_cell	258	6295	0.0409849086576648
32	individual_1	rod_cell	1272	6295	0.202065131056394
32	individual_1	horizontal_cell	294	6295	0.046703733121525
32	individual_1	bipolar_cell	1405	6295	0.223193010325655
32	individual_1	RGC	274	6295	0.0435266084193805
32	individual_1	T_cells	0	6295	0
32	individual_1	macrophage	0	6295	0
32	individual_1	Schwann_cell	0	6295	0
32	individual_1	Pericyte	55	6295	0.00873709293089754
