readout	sample	cells	denominator	proportion
horizontal_at_least_2	individual_1	282	6295	0.0447974583002383
horizontal_at_least_2	individual_2	119	5004	0.0237809752198241
horizontal_core_plus_support	individual_1	201	6295	0.0319301032565528
horizontal_core_plus_support	individual_2	68	5004	0.0135891286970424
T_at_least_2	individual_1	1	6295	0.000158856235107228
T_at_least_2	individual_2	1	5004	0.000199840127897682
T_core_plus_receptor	individual_1	1	6295	0.000158856235107228
T_core_plus_receptor	individual_2	0	5004	0
B_at_least_2	individual_1	0	6295	0
B_at_least_2	individual_2	1	5004	0.000199840127897682
B_core_plus_support	individual_1	0	6295	0
B_core_plus_support	individual_2	1	5004	0.000199840127897682
gene_ONECUT1	individual_1	275	6295	0.0436854646544877
gene_ONECUT1	individual_2	103	5004	0.0205835331734612
gene_ONECUT2	individual_1	272	6295	0.043208895949166
gene_ONECUT2	individual_2	73	5004	0.0145883293365308
gene_LHX1	individual_1	122	6295	0.0193804606830818
gene_LHX1	individual_2	4	5004	0.000799360511590727
gene_PROX1	individual_1	829	6295	0.131691818903892
gene_PROX1	individual_2	639	5004	0.127697841726619
gene_CALB1	individual_1	147	6295	0.0233518665607625
gene_CALB1	individual_2	277	5004	0.0553557154276579
gene_CD3D	individual_1	1	6295	0.000158856235107228
gene_CD3D	individual_2	0	5004	0
gene_CD3E	individual_1	1	6295	0.000158856235107228
gene_CD3E	individual_2	0	5004	0
gene_TRAC	individual_1	361	6295	0.0573471008737093
gene_TRAC	individual_2	644	5004	0.128697042366107
gene_TRBC1	individual_1	0	6295	0
gene_TRBC1	individual_2	1	5004	0.000199840127897682
gene_TRBC2	individual_1	0	6295	0
gene_TRBC2	individual_2	14	5004	0.00279776179056755
gene_MS4A1	individual_1	0	6295	0
gene_MS4A1	individual_2	0	5004	0
gene_CD79A	individual_1	0	6295	0
gene_CD79A	individual_2	3	5004	0.000599520383693046
gene_CD79B	individual_1	1	6295	0.000158856235107228
gene_CD79B	individual_2	0	5004	0
gene_CD19	individual_1	0	6295	0
gene_CD19	individual_2	3	5004	0.000599520383693046
gene_CD74	individual_1	58	6295	0.00921366163621922
gene_CD74	individual_2	105	5004	0.0209832134292566
