miRNA	n_patient	n_control	mean_patient_Ct	mean_control_Ct	patient_minus_control_mean_Ct	p_value	p_bonferroni	p_benjamini_yekutieli	significant_bonferroni	significant_benjamini_yekutieli
hsa-let-7a	10	10	28.4230071	29.3248133	-0.901806199999989	0.0660510700148134	1	0.897357172022713	FALSE	FALSE
hsa-let-7b	10	10	25.226087	25.8286492	-0.602562200000001	0.0416025494776501	1	0.721122676518273	FALSE	FALSE
hsa-let-7b*	10	10	31.5712409	33.0887771	-1.5175362	0.101715382121869	1	1	FALSE	FALSE
hsa-let-7c	10	10	30.5741933	31.3344097	-0.760216400000001	0.0800761229769024	1	0.988819563145073	FALSE	FALSE
hsa-let-7d	10	10	29.4189537	30.7600169	-1.34106319999999	0.0108749326559905	1	0.341659733938976	FALSE	FALSE
hsa-let-7d*	10	10	27.5208496	28.2039155	-0.683065899999999	0.0541963826251382	1	0.813228701607221	FALSE	FALSE
hsa-let-7e	10	10	30.5517024	31.4564101	-0.90470770000001	0.00995186075776381	1	0.333503377599659	FALSE	FALSE
hsa-let-7f	10	10	28.0017577	28.8204381	-0.818680399999991	0.0996288594618474	1	1	FALSE	FALSE
hsa-let-7g	10	10	26.3274871	27.4611531	-1.133666	0.0123643122128435	1	0.355155969755687	FALSE	FALSE
hsa-let-7i	10	10	27.5503841	28.5401876	-0.989803500000001	0.00900194449805661	1	0.312072524006969	FALSE	FALSE
hsa-let-7i*	10	10	31.9721099	32.7315408	-0.759430900000002	0.125563057765306	1	1	FALSE	FALSE
hsa-miR-1	10	10	29.660688	31.0828352	-1.4221472	0.274935807561811	1	1	FALSE	FALSE
hsa-miR-101	10	10	26.107469	26.8733568	-0.76588779999998	0.113723966572786	1	1	FALSE	FALSE
hsa-miR-103	10	10	25.3196519	26.87829875	-1.55864685	0.00449861354921257	0.787257371112199	0.240847545799728	FALSE	FALSE
hsa-miR-103-2*	10	10	31.2364086	31.6697452	-0.433336600000001	0.494606703798868	1	1	FALSE	FALSE
hsa-miR-106a	10	10	25.1553631	26.4979861	-1.34262300000002	0.00387779746604439	0.678614556557768	0.240847545799728	FALSE	FALSE
hsa-miR-106b	10	10	28.9312592	29.5246506	-0.593391400000012	0.170142335675942	1	1	FALSE	FALSE
hsa-miR-106b*	10	9	31.4456691	32.7758393555555	-1.33017025555555	0.00167019727393111	0.292284522937945	0.202375263235428	FALSE	FALSE
hsa-miR-107	10	10	26.2249485	27.7445637	-1.5196152	0.00292561447268394	0.51198253271969	0.240847545799728	FALSE	FALSE
hsa-miR-10a	10	9	34.5257041	33.6997492907407	0.825954809259258	0.0480130223123482	1	0.779508336353024	FALSE	FALSE
hsa-miR-10b	10	10	32.8934566	33.3072755	-0.413818900000003	0.420136193849309	1	1	FALSE	FALSE
hsa-miR-122	10	10	25.7276944	25.9965685	-0.268874099999987	0.581165303351477	1	1	FALSE	FALSE
hsa-miR-125a-5p	10	10	29.4319339	29.9510851	-0.51915120000001	0.0699394883377235	1	0.925179623081227	FALSE	FALSE
hsa-miR-125b	10	10	29.7508695	30.7198905	-0.969021000000001	0.0166321589707881	1	0.398122330267661	FALSE	FALSE
hsa-miR-126	10	10	24.6013193	25.3816941	-0.780374799999979	0.035017609540513	1	0.664244285271901	FALSE	FALSE
hsa-miR-127-3p	10	10	31.3660343	32.2475435	-0.8815092	0.0838481197636788	1	1	FALSE	FALSE
hsa-miR-128	10	10	30.1309428	31.3765924	-1.24564960000001	0.00590959275443427	1	0.247550331517746	FALSE	FALSE
hsa-miR-130a	10	10	28.4421423	30.5188783	-2.07673599999999	0.00160722558962776	0.281264478184857	0.202375263235428	FALSE	FALSE
hsa-miR-132	10	10	27.8748485	29.0220916	-1.1472431	0.169443218891333	1	1	FALSE	FALSE
hsa-miR-133a	10	10	29.0239169	30.5312846	-1.50736770000001	0.243466654574362	1	1	FALSE	FALSE
hsa-miR-133b	10	10	29.0501574	29.9527444	-0.902587000000011	0.361447213737299	1	1	FALSE	FALSE
hsa-miR-136	9	10	31.3440264759259	30.0400402	1.30398627592592	0.236046003126455	1	1	FALSE	FALSE
hsa-miR-139-5p	10	10	30.799699	31.1690986	-0.369399600000012	0.208179893588242	1	1	FALSE	FALSE
hsa-miR-140-3p	10	10	26.8918644	27.7806336	-0.888769199999992	0.0149544242446582	1	0.379650107616689	FALSE	FALSE
hsa-miR-140-5p	10	10	29.4822874	29.9607928	-0.4785054	0.291600880274775	1	1	FALSE	FALSE
hsa-miR-142-3p	10	10	25.0588486	25.274205	-0.215356400000008	0.674280123469104	1	1	FALSE	FALSE
hsa-miR-142-5p	10	10	27.5147459	28.9906625	-1.4759166	0.0213946935298966	1	0.488844342914623	FALSE	FALSE
hsa-miR-143	10	10	27.9240357	28.4642467	-0.540210999999978	0.189096716684106	1	1	FALSE	FALSE
hsa-miR-144	10	10	25.1004027	25.8085649	-0.7081622	0.341906388796688	1	1	FALSE	FALSE
hsa-miR-144*	10	10	30.2004461	30.3807551	-0.180309000000001	0.626910540881644	1	1	FALSE	FALSE
hsa-miR-145	10	10	28.8414165	29.8063992	-0.9649827	0.074141637652668	1	0.955618991949854	FALSE	FALSE
hsa-miR-146a	10	10	27.6840699	28.4065274	-0.722457500000001	0.0651665675163594	1	0.897357172022713	FALSE	FALSE
hsa-miR-148a	10	10	27.9229699	28.6326162	-0.70964630000001	0.0578516446045922	1	0.819170985161145	FALSE	FALSE
hsa-miR-148b	10	10	27.7416941	28.5226042	-0.780910099999989	0.074045662211035	1	0.955618991949854	FALSE	FALSE
hsa-miR-150	10	10	26.8979555	26.7436392	0.154316299999998	0.722222098714736	1	1	FALSE	FALSE
hsa-miR-151-3p	10	10	28.969854	29.2305435	-0.260689500000009	0.627065000980714	1	1	FALSE	FALSE
hsa-miR-151-5p	10	10	27.4841213	28.3317011	-0.847579799999998	0.0378859448179618	1	0.70286147417076	FALSE	FALSE
hsa-miR-152	10	10	30.3928604	30.8449455	-0.452085100000001	0.234165043245797	1	1	FALSE	FALSE
hsa-miR-154	10	9	32.2531463	32.8016583092593	-0.548512009259262	0.416320228677193	1	1	FALSE	FALSE
hsa-miR-155	10	10	31.8475406	32.5341181	-0.686577500000002	0.18845804394124	1	1	FALSE	FALSE
hsa-miR-15a	10	10	23.8396506	24.8290786	-0.989427999999997	0.0104277115068005	1	0.338177348013236	FALSE	FALSE
hsa-miR-15b	10	10	26.1035615	26.6645021	-0.560940600000009	0.118520164275333	1	1	FALSE	FALSE
hsa-miR-15b*	10	10	30.5093997	31.5792407	-1.069841	0.012288637637511	1	0.355155969755687	FALSE	FALSE
hsa-miR-16	10	10	21.5455173	22.82977985	-1.28426255	0.0070114458868259	1	0.251748421228245	FALSE	FALSE
hsa-miR-16-2*	10	10	29.6819705	30.4567515	-0.774780999999997	0.0669631826851018	1	0.897618973733414	FALSE	FALSE
hsa-miR-17	10	10	28.7821611	30.2525503	-1.4703892	0.00634607045127492	1	0.251748421228245	FALSE	FALSE
hsa-miR-181a	10	10	27.9586718	28.495659	-0.536987199999988	0.0786210378870105	1	0.988020569366386	FALSE	FALSE
hsa-miR-182	10	9	33.7064609	33.8040618	-0.0976009000000104	0.868578723082985	1	1	FALSE	FALSE
hsa-miR-185	10	10	25.4080005	25.8060417	-0.398041199999991	0.248378725380588	1	1	FALSE	FALSE
hsa-miR-186	10	10	28.1136453	28.5317591	-0.418113800000004	0.261192363842462	1	1	FALSE	FALSE
hsa-miR-18a	10	10	29.2371339	30.0330912	-0.795957299999991	0.0550215865361834	1	0.813469729461235	FALSE	FALSE
hsa-miR-18a*	10	9	32.2687766	33.4638719759259	-1.19509537592592	0.0153977559086391	1	0.379650107616689	FALSE	FALSE
hsa-miR-18b	10	10	28.9818645	29.620296	-0.638431499999999	0.140924340907884	1	1	FALSE	FALSE
hsa-miR-191	10	10	28.4325054	28.76447925	-0.331973850000001	0.525771584720312	1	1	FALSE	FALSE
hsa-miR-192	10	10	28.8161638	29.3194246	-0.5032608	0.238094684766787	1	1	FALSE	FALSE
hsa-miR-193b	10	10	31.5100794	32.1059284	-0.595849000000001	0.255318431015299	1	1	FALSE	FALSE
hsa-miR-194	10	10	30.1212981	30.7291323	-0.607834199999989	0.134005237742045	1	1	FALSE	FALSE
hsa-miR-195	10	10	32.1810724	32.5473647	-0.366292299999991	0.490971498615539	1	1	FALSE	FALSE
hsa-miR-197	10	10	28.9417444	29.6483933	-0.706648900000001	0.0574302463911885	1	0.819170985161145	FALSE	FALSE
hsa-miR-1974	10	10	24.2479707	25.9211977	-1.673227	0.00098803067024472	0.172905367292826	0.202375263235428	FALSE	FALSE
hsa-miR-199a-3p	10	10	27.8810388	29.0895581	-1.20851929999999	0.0118365689235552	1	0.355155969755687	FALSE	FALSE
hsa-miR-199a-5p	10	10	28.5449033	29.8979528	-1.35304949999999	0.0292929317099957	1	0.588992866934457	FALSE	FALSE
hsa-miR-19a	10	10	28.0372602	28.5820808	-0.544820599999991	0.247361115447323	1	1	FALSE	FALSE
hsa-miR-19b	10	10	23.5751747	23.1545785	0.420596199999991	0.597626131829893	1	1	FALSE	FALSE
hsa-miR-200c	10	10	33.2555471	33.4235435	-0.167996400000014	0.7127756134687	1	1	FALSE	FALSE
hsa-miR-205	10	10	32.7183562	32.6016209	0.116735299999988	0.863199164526634	1	1	FALSE	FALSE
hsa-miR-20a	10	10	24.5720383	25.8949452	-1.32290689999999	0.0065275473119098	1	0.251748421228245	FALSE	FALSE
hsa-miR-20a*	9	8	33.187595587037	34.2142888520833	-1.0266932650463	0.0874525339060506	1	1	FALSE	FALSE
hsa-miR-20b	10	10	30.937504	32.6194199	-1.68191590000001	0.000470954811750958	0.0824170920564177	0.202375263235428	FALSE	FALSE
hsa-miR-21	10	10	24.7170778	24.2069079	0.510169900000001	0.194029676340892	1	1	FALSE	FALSE
hsa-miR-210	10	10	29.4090144	29.7769715	-0.367957100000009	0.431574316578661	1	1	FALSE	FALSE
hsa-miR-2110	10	10	30.434404	31.2338141	-0.79941010000001	0.127834822450355	1	1	FALSE	FALSE
hsa-miR-215	10	10	29.7839512	30.2630465	-0.479095300000001	0.279994190546699	1	1	FALSE	FALSE
hsa-miR-22	10	10	26.3210809	26.6164749	-0.295394000000002	0.375053595641513	1	1	FALSE	FALSE
hsa-miR-22*	10	10	29.2067184	30.0793923	-0.872673900000002	0.0142777092706393	1	0.379650107616689	FALSE	FALSE
hsa-miR-221	10	10	26.0645504	27.8106785	-1.7461281	0.00540653978779189	0.946144462863581	0.247066534167612	FALSE	FALSE
hsa-miR-222	10	10	28.1065492	29.6337419	-1.52719270000001	0.00140278786719431	0.245487876759004	0.202375263235428	FALSE	FALSE
hsa-miR-223	10	10	21.7855058	22.2389387	-0.453432899999992	0.214978380588497	1	1	FALSE	FALSE
hsa-miR-223*	10	10	30.7963451	30.3884039	0.4079412	0.740861948200933	1	1	FALSE	FALSE
hsa-miR-23a	10	10	24.4921307	25.0725362	-0.580405499999991	0.0763196744978112	1	0.971240130403101	FALSE	FALSE
hsa-miR-23b	10	10	26.5716433	27.3030243	-0.73138100000001	0.0325379286864587	1	0.641411773380887	FALSE	FALSE
hsa-miR-24	10	10	24.6168924	25.2980373	-0.68114490000001	0.0395126548610159	1	0.709357858590024	FALSE	FALSE
hsa-miR-25	10	10	25.6390976	26.3798827	-0.7407851	0.0384516719171716	1	0.70286147417076	FALSE	FALSE
hsa-miR-26a	10	10	25.6201536	26.4631841	-0.843030499999998	0.0455045270323612	1	0.762466127227924	FALSE	FALSE
hsa-miR-26b	10	10	27.6885265	28.2021266	-0.51360009999998	0.281404098129086	1	1	FALSE	FALSE
hsa-miR-27a	10	10	26.0320323	26.9113108	-0.879278499999998	0.0514342113579487	1	0.793190232930726	FALSE	FALSE
hsa-miR-27b	10	10	27.0734781	27.8260007	-0.752522600000002	0.0858944073508371	1	1	FALSE	FALSE
hsa-miR-28-3p	10	10	30.3705396	31.0197178	-0.649178199999998	0.0806517326830394	1	0.988819563145073	FALSE	FALSE
hsa-miR-28-5p	10	10	30.5942241	31.29509	-0.7008659	0.164479605446299	1	1	FALSE	FALSE
hsa-miR-297	10	10	30.9041807	31.6611013	-0.756920599999997	0.401772143647965	1	1	FALSE	FALSE
hsa-miR-29a	10	10	28.1440218	27.9523165	0.19170530000001	0.606967900477651	1	1	FALSE	FALSE
hsa-miR-29a*	10	10	32.844673	32.3024004	0.542272600000004	0.588686274339189	1	1	FALSE	FALSE
hsa-miR-29b	10	10	29.283785	29.7094942	-0.425709199999989	0.472564401948436	1	1	FALSE	FALSE
hsa-miR-29b-2*	8	8	32.3484274666666	33.4649032270833	-1.11647576041668	0.0254467937834951	1	0.522100598178634	FALSE	FALSE
hsa-miR-29c	10	10	26.6603135	26.971409	-0.31109549999999	0.444393183798301	1	1	FALSE	FALSE
hsa-miR-301a	10	10	30.9028083	32.5906091	-1.6878008	0.022864291890451	1	0.495334905032253	FALSE	FALSE
hsa-miR-30a	10	10	32.1528793	32.6949675	-0.542088200000009	0.191174598857965	1	1	FALSE	FALSE
hsa-miR-30b	10	10	28.3743988	30.1478385	-1.7734397	0.00310173930634169	0.542804378609795	0.240847545799728	FALSE	FALSE
hsa-miR-30c	10	10	27.774114	29.2222953	-1.4481813	0.00479131827069584	0.838480697371773	0.240847545799728	FALSE	FALSE
hsa-miR-30d	10	10	28.4170167	29.581838	-1.16482129999999	0.00433741016662127	0.759046779158723	0.240847545799728	FALSE	FALSE
hsa-miR-30e	10	10	29.5970277	30.879728	-1.28270030000001	0.00172480065931515	0.30184011538015	0.202375263235428	FALSE	FALSE
hsa-miR-30e*	10	10	30.2096937	31.0838989	-0.874205200000013	0.0403132887783255	1	0.711034337511805	FALSE	FALSE
hsa-miR-32	10	10	29.6889336	31.0585411	-1.36960749999999	0.00429362654753285	0.751384645818249	0.240847545799728	FALSE	FALSE
hsa-miR-320a	10	10	25.0283644	25.5514772	-0.5231128	0.0344446464144301	1	0.664244285271901	FALSE	FALSE
hsa-miR-320b	10	10	25.2134596	25.6536263	-0.44016670000001	0.0565158380076114	1	0.819170985161145	FALSE	FALSE
hsa-miR-324-3p	10	10	29.2114847	29.4370034	-0.225518700000002	0.56639749077802	1	1	FALSE	FALSE
hsa-miR-324-5p	10	10	29.9720977	30.4905245	-0.518426799999993	0.218017719683788	1	1	FALSE	FALSE
hsa-miR-326	10	10	29.6771927	30.4785824	-0.801389699999991	0.168263284129415	1	1	FALSE	FALSE
hsa-miR-328	10	10	29.4901032	30.7468272	-1.256724	0.0231568557440671	1	0.495334905032253	FALSE	FALSE
hsa-miR-331-3p	10	10	30.4174267	31.4847702	-1.06734349999999	0.00683124958321152	1	0.251748421228245	FALSE	FALSE
hsa-miR-335	10	10	30.1830718	30.6705339	-0.487462099999998	0.292827437523695	1	1	FALSE	FALSE
hsa-miR-338-3p	10	10	28.6276856	28.3834433	0.2442423	0.624596080952358	1	1	FALSE	FALSE
hsa-miR-339-3p	10	10	32.0136796	32.6035071	-0.589827500000013	0.199662894565373	1	1	FALSE	FALSE
hsa-miR-339-5p	10	10	32.1605978	32.6634626	-0.502864800000012	0.386844018225984	1	1	FALSE	FALSE
hsa-miR-33a	10	10	30.0474361	30.9068054	-0.859369299999997	0.232801225130213	1	1	FALSE	FALSE
hsa-miR-342-3p	10	10	28.7255901	29.2043957	-0.478805599999998	0.250550591407632	1	1	FALSE	FALSE
hsa-miR-346	10	10	32.0739085	32.1605157	-0.0866072000000031	0.758865506325286	1	1	FALSE	FALSE
hsa-miR-34a	10	10	31.7318189	33.50151	-1.7696911	0.00293450541947936	0.513538448408887	0.240847545799728	FALSE	FALSE
hsa-miR-361-3p	10	10	31.3880284	31.987939	-0.599910600000012	0.17966755179157	1	1	FALSE	FALSE
hsa-miR-363	10	10	28.0281993	28.8723141	-0.844114799999989	0.0192570573995658	1	0.450234395569115	FALSE	FALSE
hsa-miR-365	10	10	30.7289753	32.1541013	-1.425126	0.014416421081373	1	0.379650107616689	FALSE	FALSE
hsa-miR-374a	10	10	30.7841239	30.9870652	-0.202941299999999	0.680068248277314	1	1	FALSE	FALSE
hsa-miR-374b	10	10	29.5857148	29.5296376	0.0560771999999901	0.896694264112386	1	1	FALSE	FALSE
hsa-miR-375	10	10	32.9607279	32.4165247	0.544203200000013	0.359641260262321	1	1	FALSE	FALSE
hsa-miR-376a	9	10	31.0224483	31.0722446	-0.0497963000000006	0.974850252855063	1	1	FALSE	FALSE
hsa-miR-378	10	10	28.7239206	29.0154223	-0.291501699999991	0.482300097495656	1	1	FALSE	FALSE
hsa-miR-382	10	10	31.7640054	32.0782852	-0.314279799999998	0.650252675800044	1	1	FALSE	FALSE
hsa-miR-409-3p	10	10	30.8429481	31.5410677	-0.698119599999998	0.323274011969146	1	1	FALSE	FALSE
hsa-miR-421	10	10	31.6209401	32.7586544	-1.1377143	0.00503104158847052	0.880432277982341	0.240855081338907	FALSE	FALSE
hsa-miR-423-3p	10	10	27.6867092	28.709488	-1.02277880000001	0.0153868452844615	1	0.379650107616689	FALSE	FALSE
hsa-miR-423-5p	10	10	27.7977312	28.36213095	-0.56439975	0.0842884472308446	1	1	FALSE	FALSE
hsa-miR-424	10	10	26.9438443	27.0481938	-0.104349500000009	0.789592299761847	1	1	FALSE	FALSE
hsa-miR-425	10	10	27.0611842	27.47326955	-0.412085350000002	0.241191724719706	1	1	FALSE	FALSE
hsa-miR-425*	10	10	29.845291	30.9556893	-1.11039830000001	0.0222032405537995	1	0.495334905032253	FALSE	FALSE
hsa-miR-451	10	10	18.80087665	19.714574	-0.91369735	0.0480723389451692	1	0.779508336353024	FALSE	FALSE
hsa-miR-484	10	10	27.2361761	28.2783758	-1.0421997	0.00351826928833625	0.615697125458843	0.240847545799728	FALSE	FALSE
hsa-miR-485-3p	10	10	22.8704328	24.3963897	-1.5259569	0.187133770301584	1	1	FALSE	FALSE
hsa-miR-486-5p	10	10	23.9843973	25.1592171	-1.17481980000001	0.00181168519644117	0.317044909377206	0.202375263235428	FALSE	FALSE
hsa-miR-495	10	10	30.7301824	32.2039266	-1.4737442	0.0434077816153338	1	0.73966110213185	FALSE	FALSE
hsa-miR-497	10	10	31.3862695	31.8455988	-0.45932929999999	0.412121830308269	1	1	FALSE	FALSE
hsa-miR-500a	9	10	32.9763209574074	33.4520234	-0.475702442592585	0.391978362449629	1	1	FALSE	FALSE
hsa-miR-501-3p	10	10	32.6503937	33.7755339	-1.1251402	0.0253866266664417	1	0.522100598178634	FALSE	FALSE
hsa-miR-502-3p	10	10	31.4066254	32.0712559	-0.664630500000008	0.227300987240676	1	1	FALSE	FALSE
hsa-miR-505	10	10	30.5740145	31.1954817	-0.621467200000012	0.0616679202646997	1	0.861080999424286	FALSE	FALSE
hsa-miR-532-3p	10	10	31.0685622	32.0393547	-0.970792500000002	0.126472027166691	1	1	FALSE	FALSE
hsa-miR-532-5p	10	10	30.5295954	31.6743058	-1.14471040000001	0.00105973348166106	0.185453359290685	0.202375263235428	FALSE	FALSE
hsa-miR-543	10	10	31.3351549	32.2379916	-0.902836699999998	0.116377415873455	1	1	FALSE	FALSE
hsa-miR-551b	10	9	32.7513816	33.6196297537037	-0.868248153703703	0.218731638466982	1	1	FALSE	FALSE
hsa-miR-574-3p	10	10	30.3950857	31.0783243	-0.683238600000003	0.0154828242349894	1	0.379650107616689	FALSE	FALSE
hsa-miR-584	10	10	31.566529	31.947633	-0.381104000000001	0.330979515145626	1	1	FALSE	FALSE
hsa-miR-590-5p	10	10	30.1344839	30.3946004	-0.260116500000002	0.608659416959374	1	1	FALSE	FALSE
hsa-miR-605	10	10	24.1225175	25.5280515	-1.40553400000001	0.203158717349673	1	1	FALSE	FALSE
hsa-miR-629	10	10	31.4303426	31.8143495	-0.384006899999989	0.309961673286528	1	1	FALSE	FALSE
hsa-miR-652	10	10	27.6233827	28.8285314	-1.2051487	0.00361386503793809	0.632426381639165	0.240847545799728	FALSE	FALSE
hsa-miR-660	10	10	30.5626742	31.0560842	-0.493410000000001	0.154643827327152	1	1	FALSE	FALSE
hsa-miR-720	10	9	21.4864664	22.2303648	-0.743898399999999	0.326718117334053	1	1	FALSE	FALSE
hsa-miR-766	10	10	30.5771652	32.2093349	-1.6321697	0.00588958370307921	1	0.247550331517746	FALSE	FALSE
hsa-miR-885-5p	10	10	33.1046164	34.1876636	-1.0830472	0.0500362993890401	1	0.785999751783901	FALSE	FALSE
hsa-miR-92a	10	10	23.3854934	24.5383648	-1.1528714	0.000717637644884998	0.125586587854875	0.202375263235428	FALSE	FALSE
hsa-miR-92b	10	9	32.8266708	33.3860118	-0.559340999999996	0.182864790521505	1	1	FALSE	FALSE
hsa-miR-93	10	10	24.8308548	25.9127709	-1.0819161	0.00470329030410147	0.823075803217758	0.240847545799728	FALSE	FALSE
hsa-miR-93*	10	10	31.212404	31.4501416	-0.237737600000003	0.591231562567118	1	1	FALSE	FALSE
hsa-miR-95	9	7	34.5570462537037	34.8707189071428	-0.313672653439156	0.616518887190267	1	1	FALSE	FALSE
hsa-miR-99a	10	10	30.1362959	30.947456	-0.811160100000009	0.0494960985025502	1	0.785999751783901	FALSE	FALSE
hsa-miR-99b	10	10	30.2684257	31.175507	-0.907081299999987	0.0520719801418178	1	0.793190232930726	FALSE	FALSE
