#plotCorrelation --outFileCorMatrix
	'Convert BedGraph to BigWig on dataset 26_0.bw'	'Convert BedGraph to BigWig on dataset 33_4.bw'	'Convert BedGraph to BigWig on dataset 30_1.bw'	'Convert BedGraph to BigWig on dataset 35_6.bw'	'Convert BedGraph to BigWig on dataset 31_2.bw'	'Convert BedGraph to BigWig on dataset 34_5.bw'	'Convert BedGraph to BigWig on dataset 55_3.bw'	'Convert BedGraph to BigWig on dataset 37_8.bw'	'Convert BedGraph to BigWig on dataset 36_7.bw'	'Convert BedGraph to BigWig on dataset 38_9.bw'
'Convert BedGraph to BigWig on dataset 26_0.bw'	1.0000	0.4203	0.3096	0.3421	0.3089	0.3429	0.3774	0.3238	0.4120	0.3738
'Convert BedGraph to BigWig on dataset 33_4.bw'	0.4203	1.0000	0.3590	0.3722	0.3650	0.3872	0.3751	0.3559	0.4425	0.3885
'Convert BedGraph to BigWig on dataset 30_1.bw'	0.3096	0.3590	1.0000	0.3875	0.3986	0.3906	0.4126	0.3767	0.4056	0.4305
'Convert BedGraph to BigWig on dataset 35_6.bw'	0.3421	0.3722	0.3875	1.0000	0.4777	0.4344	0.4223	0.3779	0.4186	0.4519
'Convert BedGraph to BigWig on dataset 31_2.bw'	0.3089	0.3650	0.3986	0.4777	1.0000	0.4800	0.4315	0.4110	0.4352	0.4904
'Convert BedGraph to BigWig on dataset 34_5.bw'	0.3429	0.3872	0.3906	0.4344	0.4800	1.0000	0.4452	0.4235	0.4614	0.4698
'Convert BedGraph to BigWig on dataset 55_3.bw'	0.3774	0.3751	0.4126	0.4223	0.4315	0.4452	1.0000	0.4211	0.4566	0.4895
'Convert BedGraph to BigWig on dataset 37_8.bw'	0.3238	0.3559	0.3767	0.3779	0.4110	0.4235	0.4211	1.0000	0.4972	0.4974
'Convert BedGraph to BigWig on dataset 36_7.bw'	0.4120	0.4425	0.4056	0.4186	0.4352	0.4614	0.4566	0.4972	1.0000	0.5337
'Convert BedGraph to BigWig on dataset 38_9.bw'	0.3738	0.3885	0.4305	0.4519	0.4904	0.4698	0.4895	0.4974	0.5337	1.0000
