#plotPCA --outFileNameData
Component	Convert BedGraph to BigWig on dataset 26_0.bw	Convert BedGraph to BigWig on dataset 30_1.bw	Convert BedGraph to BigWig on dataset 31_2.bw	Convert BedGraph to BigWig on dataset 55_3.bw	Convert BedGraph to BigWig on dataset 33_4.bw	Convert BedGraph to BigWig on dataset 34_5.bw	Convert BedGraph to BigWig on dataset 35_6.bw	Convert BedGraph to BigWig on dataset 36_7.bw	Convert BedGraph to BigWig on dataset 37_8.bw	Convert BedGraph to BigWig on dataset 38_9.bw	Eigenvalue
1	0.22841769810930657	0.3664778557369208	0.38233025613914623	0.3942921739330524	0.42097541635112484	0.390483134699174	0.39172852460432855	0.16780131280397032	-0.014674255053668057	-0.01885105501929422	5178.718179780483
2	0.2218690256436122	-0.02880971951041557	-0.1333844041692012	0.10133764625329528	0.030089589484636407	-0.1412104505719628	-0.14536060942563012	0.2932612620326636	-0.6293667813074427	-0.630716436250866	1728.2253069171322
3	-0.4535331717913731	0.03354140334807723	0.26590236483755897	-0.220588347303395	-0.11328069171373097	0.2627563951961194	0.2683750099594035	-0.5611121796778259	-0.3218632363346486	-0.3185560301817001	1661.079654570752
4	-0.8050576939769758	0.04823146532370265	0.022215924011790567	0.17708712490429057	0.026035798150475326	-0.01836409855417273	-0.02562721896023301	0.562107266192883	0.007170799567675508	0.003818600356933736	455.95152919018005
5	-0.058168699644191246	0.9140242060349398	-0.2666327475137823	-0.08744895231304789	-0.06956627865764764	-0.1935138373238852	-0.14833977757954667	-0.1333604652865077	-0.01669202219412056	0.008967305933411204	353.69133713012144
6	0.005632204621485143	0.021052289873177265	0.015769575111044248	-0.013402428187411764	-0.025680000824410937	-0.00457318514010146	-0.0030351431490892727	0.006541691814429713	0.7068200796585034	-0.706236339678755	282.43620573031893
7	0.17834188224757508	0.14455831339688022	0.5289296497587812	-0.5589789413750058	-0.3810463922518763	-0.10819822153480659	0.14623258446561166	0.4189244765223552	-0.01219102797441617	0.03375678636974549	153.58682828972826
8	-0.0035641648561025906	0.018087261443405004	0.4883308353903902	0.5944020482226674	-0.359320361117171	-0.4541421430375777	-0.15679065581459511	-0.21860567466761202	-0.002808199453869752	0.011979284202948595	75.71618266980346
9	-0.0583357767541259	-0.06554548445679907	-0.08162699153045634	-0.10314872789218246	0.35518364971696453	-0.6903497198820205	0.6076640302700409	-0.05344528855035777	0.0018045219470451865	-0.012029596275938767	59.42926185009771
10	0.07843691523957488	0.0029610255511786227	-0.41060481558285483	0.264589187258873	-0.6343517226080074	0.16186775653977392	0.5616942246594695	0.10516049826225483	0.001321171825125974	0.00842458145657091	41.1655138713972
