donor	n_cells	interferon	inflammatory_myeloid	cytotoxic	t_cell	b_cell	monocyte
donor1	11264						
donor10	14101						
donor11	5942						
donor12	8704						
donor13	5756						
donor14	15886						
donor15	5857						
donor16	6108						
donor17	8626						
donor18	7557						
donor19	7523						
donor2	10595						
donor20	5868						
donor21	9332						
donor22	5492						
donor23	5762						
donor24	7828						
donor25	6916						
donor26	10801						
donor27	8364						
donor28	6157						
donor29	10745						
donor3	11327						
donor30	5185						
donor31	5851						
donor32	7848						
donor33	5159						
donor4	17134						
donor5	11067						
donor6	6663						
donor7	8490						
donor8	7888						
donor9	7837						
