SampleID	Group
1-1	Untreated
1-2	Untreated
1-3	Untreated
2-1	Serum_starvation
2-2	Serum_starvation
2-3	Serum_starvation
3-1	DMSO
3-2	DMSO
3-3	DMSO
4-1	DMSO_Serum_starvation
4-2	DMSO_Serum_starvation
4-3	DMSO_Serum_starvation
5-1	Cisplatin_IC50
5-2	Cisplatin_IC50
5-3	Cisplatin_IC50
6-1	Cisplatin_IC50_Serum_starvation_16h
6-2	Cisplatin_IC50_Serum_starvation_16h
6-3	Cisplatin_IC50_Serum_starvation_16h
7-1	CBD_IC50
7-2	CBD_IC50
7-3	CBD_IC50
8-1	CBD_IC50_Serum_starvation_16h
8-2	CBD_IC50_Serum_starvation_16h
8-3	CBD_IC50_Serum_starvation_16h
9-1	Cisplatin_IC50_CBD_IC50
9-2	Cisplatin_IC50_CBD_IC50
9-3	Cisplatin_IC50_CBD_IC50
10-1	Cisplatin_IC50_CBD_IC50_Serum_starvation_16h
10-2	Cisplatin_IC50_CBD_IC50_Serum_starvation_16h
10-3	Cisplatin_IC50_CBD_IC50_Serum_starvation_16h
