metric	value
signal_chr1_tags	799062
control_chr1_tags	584748
signal_control_count_ratio	1.36651
signal_read_lengths	15:39,16:125,17:298,18:401,19:530,20:554,21:611,22:616,23:661,24:689,25:761,26:783,27:783,28:897,29:772,30:825,31:811,32:794,33:790,34:873,35:822,36:835,37:847,38:833,39:868,40:792,41:834,42:852,43:837,44:853,45:922,46:872,47:885,48:944,49:2245,50:14788,51:757420
control_read_lengths	50:863,51:582724,52:1161
bin_200_signal_gini	0.633646
bin_200_signal_concentration	top1pct=0.0749717 top5pct=0.234141 top10pct=0.389921
bin_200_log2ratio_quantiles	q50=0 q90=1 q99=2 q999=2.58496
bin_200_adjacent_score_corr	0.0688245
bin_200_enriched_fraction	0.0166816
bin_200_enriched_runs	n=17434 median_bins=1 p90_bins=2 max_bins=17
bin_1000_signal_gini	0.455729
bin_1000_signal_concentration	top1pct=0.0600842 top5pct=0.188989 top10pct=0.302432
bin_1000_log2ratio_quantiles	q50=0 q90=1.3422 q99=2.58496 q999=3.32193
bin_1000_adjacent_score_corr	0.406524
bin_1000_enriched_fraction	0.0764911
bin_1000_enriched_runs	n=13320 median_bins=1 p90_bins=2 max_bins=54
bin_5000_signal_gini	0.382971
bin_5000_signal_concentration	top1pct=0.0488072 top5pct=0.160288 top10pct=0.261943
bin_5000_log2ratio_quantiles	q50=0 q90=1.11442 q99=2.0848 q999=2.733
bin_5000_adjacent_score_corr	0.636037
bin_5000_enriched_fraction	0.114436
bin_5000_enriched_runs	n=3262 median_bins=1 p90_bins=3 max_bins=72
bin_20000_signal_gini	0.336985
bin_20000_signal_concentration	top1pct=0.0386303 top5pct=0.13259 top10pct=0.226215
bin_20000_log2ratio_quantiles	q50=0 q90=0.885961 q99=1.70346 q999=2.34025
bin_20000_adjacent_score_corr	0.715207
bin_20000_enriched_fraction	0.0762371
bin_20000_enriched_runs	n=425 median_bins=1 p90_bins=3 max_bins=57
bin_100000_signal_gini	0.295608
bin_100000_signal_concentration	top1pct=0.0316796 top5pct=0.114756 top10pct=0.201301
bin_100000_log2ratio_quantiles	q50=0 q90=0.7297 q99=1.61561 q999=2.18498
bin_100000_adjacent_score_corr	0.741796
bin_100000_enriched_fraction	0.0522088
bin_100000_enriched_runs	n=36 median_bins=2 p90_bins=6 max_bins=27
