metric	value
annotation_source	UCSC_hg38_ncbiRefSeqCurated
unique_chr1_protein_coding_genes	2011
long_genes_ge20kb	1078
tss_profile_500bp_signal_control_fold	0.84449,0.84427,0.84886,0.82424,0.80755,0.79429,0.80038,0.78455,0.77249,0.78495,0.80822,0.75164,0.78249,0.76124,0.75721,0.73638,0.69586,0.6656,0.60397,0.42248,0.47854,0.53937,0.55247,0.58434,0.61855,0.63756,0.63197,0.66463,0.65146,0.66754,0.68066,0.68776,0.68357,0.70282,0.68834,0.72292,0.70477,0.70566,0.73035,0.71901
gene_body_20bin_signal_control_fold	0.65516,0.79099,0.8427,0.88775,0.85728,0.85603,0.8983,0.84987,0.85916,0.84984,0.83983,0.86669,0.82917,0.81297,0.82353,0.81959,0.80018,0.78139,0.75162,0.70089
tss_center_2kb_mean_fold	0.511091
tss_outer_8kb_mean_fold	0.762879
tss_center_to_outer_ratio	0.66995
gene_body_mean_fold	0.842143
gene_body_last_first_ratio	0.936387
per_gene_promoter_log2fold_quantiles	q10=-1.7694 q25=-1.4013 q50=-0.96948 q75=-0.37095 q90=0.30712
per_gene_shoulder_log2fold_quantiles	q10=-1.3073 q25=-1.0007 q50=-0.63888 q75=-0.0054842 q90=0.47091
per_gene_body_log2fold_quantiles	q10=-1.2941 q25=-1.0706 q50=-0.68162 q75=-0.04619 q90=0.38655
per_gene_body_3prime_vs_5prime_log2ratio_quantiles	q10=-0.87958 q25=-0.44424 q50=-0.045422 q75=0.32594 q90=0.7374
broad_100kb_enrichment_vs_gene_coverage_pearson	-0.437783
broad_100kb_top_decile_mean_gene_coverage	0.1556
broad_100kb_bottom_decile_mean_gene_coverage	0.731837
