leiden	Patient_001	Patient_002	Patient_003	Patient_004	Patient_005	Patient_006	Patient_007	Patient_008	Patient_009	Patient_010	Patient_011	Patient_012	Patient_013	Patient_014	Patient_015	Patient_016	Patient_017	Patient_018	Patient_019	Patient_020	Patient_021	Patient_022	Patient_023	Patient_024	Patient_025	Patient_026	Patient_027	Patient_028	Patient_029	Patient_030	Patient_031	Patient_032	Patient_033	Patient_034	Patient_035	Patient_036	Patient_037	Patient_038	Patient_039	Patient_040	Patient_041	Patient_042	Patient_043	Patient_044	Patient_045	Patient_046	Patient_047	Patient_048	Patient_049	Patient_050	Patient_051	Patient_052	Patient_053	Patient_054	Patient_055	Patient_056	Patient_057	Patient_058	Patient_059	Patient_060	Patient_061	Patient_062	Patient_063	Patient_064	Patient_065	Patient_066	Patient_067
0	16	651	682	980	93	904	28	1082	4	350	641	330	63	170	3	772	118	156	617	51	121	74	13	167	83	46	43	69	0	0	0	309	304	310	306	12	12	11	13	0	39	1	32	46	19	16	21	23	28	8	12	3	40	21	42	30	10	3	9	0	2	2	63	62	86	60	102
1	581	612	481	362	951	34	205	217	39	132	464	620	573	773	700	14	1531	121	399	1106	412	890	42	7	352	345	337	352	42	53	56	10	10	10	10	17	16	17	17	41	43	8	48	45	123	121	125	126	4	137	49	53	31	14	12	43	31	41	13	4	8	3	20	19	27	22	18
2	23	26	59	70	2	37	6	63	1	44	69	31	26	25	1	49	4	14	55	3	4	14	1	5	25	87	82	138	0	0	0	15	14	14	14	210	206	196	205	0	5	0	2	6	197	192	209	219	1	3	1	2	42	9	9	12	0	3	3	0	0	0	2	1	6	37	20
3	62	117	75	28	36	4	0	6	2	7	42	2	25	54	117	5	88	24	4	1	18	7	1	0	2	26	25	33	0	0	0	8	8	8	8	5	5	5	5	0	1	0	1	1	220	214	231	247	8	53	57	33	35	7	8	6	70	64	14	31	64	5	1	2	5	9	59
4	9	83	899	304	9	1284	16	268	5	258	90	107	40	118	8	238	9	95	209	46	15	14	15	33	43	20	22	61	0	0	0	68	69	68	68	79	68	56	64	0	19	0	18	33	25	29	30	31	44	23	42	24	219	36	64	98	7	4	6	78	32	18	11	7	17	6	16
5	12	34	8	38	0	10	6	5	0	7	9	2	110	37	103	36	4	9	5	8	2	9	0	3	571	492	431	875	1	0	0	8	6	6	7	525	519	491	496	1	22	1	22	29	476	454	496	500	6	2	7	2	1168	12	19	40	2	0	8	0	1	1	5	3	4	0	3
6	53	150	143	88	181	9	47	59	23	64	248	111	56	105	96	46	140	97	296	131	106	79	27	18	113	141	143	147	5	9	9	17	17	17	17	291	293	290	288	8	372	205	373	375	9	11	12	11	3	62	51	35	54	19	20	17	21	11	9	27	34	3	13	13	12	9	34
7	37	6	846	136	6	19	57	129	0	123	10	12	22	129	1	79	12	37	10	3	1	93	1	0	54	277	248	402	0	0	0	0	0	0	0	5	5	5	5	0	0	0	0	0	259	248	263	268	0	2	1	1	4	6	2	4	0	1	0	0	0	0	4	3	3	2	0
8	30	47	320	328	15	74	18	311	2	157	419	27	167	192	152	195	17	58	156	12	16	25	2	18	131	194	179	276	0	2	2	16	17	16	17	53	54	52	52	0	58	6	54	70	834	814	871	891	4	104	324	126	44	133	170	210	53	48	25	0	5	6	10	7	11	19	19
9	10	2	0	0	0	0	1	0	0	0	1	1	0	0	1	0	16	4	1	0	4	3	0	0	0	1	1	1	0	0	0	0	0	0	0	916	912	903	910	1	9	12	8	8	0	0	0	0	6	10	2	4	595	6	4	8	0	6	5	0	12	1	0	0	0	0	3
10	29	5	1	0	0	0	0	0	0	0	0	8	114	35	629	0	0	13	0	36	5	2	1	0	94	12	11	12	101	164	190	0	0	0	0	0	0	0	0	94	1	0	1	1	171	169	176	181	7	209	268	41	111	14	19	29	8	25	6	13	22	10	4	0	4	18	81
11	35	1	32	1	0	0	0	1	0	17	0	1	1505	279	24	0	0	205	0	1	0	0	0	0	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	89	90	91	0	1	3	4	0	0	0	2	0	0	0	0	2	0	42	55	34	104	104
12	23	11	34	122	27	2	3	70	0	9	24	4	482	13	132	113	37	122	3	12	2	9	0	2	54	193	190	219	0	1	1	8	7	7	8	0	0	0	0	0	4	1	4	4	221	220	225	226	2	43	48	18	15	54	168	117	19	25	8	163	157	44	15	19	45	21	42
13	31	17	15	6	11	3	6	10	4	3	14	10	33	15	6	0	13	1	3	10	2	10	2	2	21	3	3	5	1	2	2	2	1	1	1	1	1	1	1	2	3	2	2	4	2	3	1	2	51	714	475	976	109	189	497	183	46	62	32	109	79	31	33	31	80	88	262
14	7	121	279	487	6	152	15	828	1	134	252	187	166	14	50	104	7	232	2	7	4	7	0	10	48	176	154	294	0	0	0	29	28	29	29	6	5	5	5	0	1	0	0	0	25	23	27	28	0	154	155	62	87	89	162	134	281	105	75	179	813	119	4	4	23	17	89
15	26	130	70	12	12	9	6	12	24	12	13	200	14	21	13	9	15	28	39	65	37	17	223	23	34	42	42	45	0	0	0	10	9	9	9	12	12	12	12	0	55	9	55	59	3	3	3	3	62	30	19	3	344	15	33	55	88	24	15	15	53	4	6	1	7	6	39
16	10	111	191	55	36	75	36	115	147	40	89	36	53	72	97	9	18	56	75	64	21	46	3	1	7	32	32	35	0	0	0	4	4	4	4	297	301	300	298	0	11	0	5	12	2	2	2	2	21	15	29	12	226	11	17	20	3	3	6	45	39	6	0	0	3	9	14
17	4	63	16	3	1	1	1	1	1	2	6	5	2	1	3	2	9	6	6	15	44	5	42	2	1	2	2	2	0	0	0	3	3	3	3	0	0	0	0	0	138	72	138	141	0	0	0	0	1	13	7	3	30	0	3	1	49	1	2	4	4	0	0	0	0	0	0
18	41	1568	344	936	36	391	51	580	5	252	1508	106	154	252	42	684	76	132	429	28	70	54	6	35	264	161	137	414	0	0	0	65	64	66	64	85	81	79	80	0	24	0	19	36	517	467	602	697	12	12	12	4	89	45	43	58	5	6	9	0	5	4	75	73	135	48	58
19	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	3	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	9	22	0	0	0	0	289	467	169	1	1	0	0	0	1	0	2
