sampleID	n_cells
Patient_001	1076
Patient_002	3838
Patient_003	4672
Patient_004	4060
Patient_005	1454
Patient_006	3055
Patient_007	529
Patient_008	3995
Patient_009	277
Patient_010	1653
Patient_011	4022
Patient_012	1889
Patient_013	3732
Patient_014	2442
Patient_015	2219
Patient_016	2454
Patient_017	5154
Patient_018	1481
Patient_019	2385
Patient_020	2282
Patient_021	4938
Patient_022	2545
Patient_023	424
Patient_024	344
Patient_025	1995
Patient_026	2962
Patient_027	2788
Patient_028	4146
Patient_029	4579
Patient_030	4744
Patient_031	4802
Patient_032	604
Patient_033	594
Patient_034	600
Patient_035	599
Patient_036	2635
Patient_037	2610
Patient_038	2539
Patient_039	2569
Patient_040	4567
Patient_041	2723
Patient_042	1738
Patient_043	2696
Patient_044	2803
Patient_045	3235
Patient_046	3120
Patient_047	3429
Patient_048	3596
Patient_049	279
Patient_050	2632
Patient_051	3974
Patient_052	3088
Patient_053	3760
Patient_054	2732
Patient_055	4154
Patient_056	4402
Patient_057	1389
Patient_058	1186
Patient_059	573
Patient_060	1937
Patient_061	2952
Patient_062	1125
Patient_063	360
Patient_064	334
Patient_065	558
Patient_066	525
Patient_067	1063
