sample	cluster	n
Patient_001	0	16
Patient_001	1	581
Patient_001	10	29
Patient_001	11	35
Patient_001	12	23
Patient_001	13	31
Patient_001	14	7
Patient_001	15	26
Patient_001	16	10
Patient_001	17	4
Patient_001	18	41
Patient_001	19	1
Patient_001	2	23
Patient_001	20	3
Patient_001	21	14
Patient_001	22	4
Patient_001	23	5
Patient_001	24	1
Patient_001	25	4
Patient_001	26	5
Patient_001	3	62
Patient_001	4	9
Patient_001	5	12
Patient_001	6	53
Patient_001	7	37
Patient_001	8	30
Patient_001	9	10
Patient_002	0	651
Patient_002	1	612
Patient_002	10	5
Patient_002	11	1
Patient_002	12	11
Patient_002	13	17
Patient_002	14	121
Patient_002	15	130
Patient_002	16	111
Patient_002	17	63
Patient_002	18	1568
Patient_002	2	26
Patient_002	21	9
Patient_002	22	3
Patient_002	23	13
Patient_002	25	39
Patient_002	26	13
Patient_002	27	1
Patient_002	28	1
Patient_002	29	4
Patient_002	3	117
Patient_002	4	83
Patient_002	5	34
Patient_002	6	150
Patient_002	7	6
Patient_002	8	47
Patient_002	9	2
Patient_003	0	682
Patient_003	1	481
Patient_003	10	1
Patient_003	11	32
Patient_003	12	34
Patient_003	13	15
Patient_003	14	279
Patient_003	15	70
Patient_003	16	191
Patient_003	17	16
Patient_003	18	344
Patient_003	2	59
Patient_003	20	47
Patient_003	21	46
Patient_003	22	4
Patient_003	23	28
Patient_003	25	18
Patient_003	26	2
Patient_003	27	1
Patient_003	3	75
Patient_003	30	16
Patient_003	31	9
Patient_003	32	4
Patient_003	33	1
Patient_003	34	1
Patient_003	4	899
Patient_003	5	8
Patient_003	6	143
Patient_003	7	846
Patient_003	8	320
Patient_004	0	980
Patient_004	1	362
Patient_004	11	1
Patient_004	12	122
Patient_004	13	6
Patient_004	14	487
Patient_004	15	12
Patient_004	16	55
Patient_004	17	3
Patient_004	18	936
Patient_004	2	70
Patient_004	20	36
Patient_004	21	45
Patient_004	22	2
Patient_004	23	9
Patient_004	27	1
Patient_004	3	28
Patient_004	30	10
Patient_004	33	1
Patient_004	4	304
Patient_004	5	38
Patient_004	6	88
Patient_004	7	136
Patient_004	8	328
Patient_005	0	93
Patient_005	1	951
Patient_005	12	27
Patient_005	13	11
Patient_005	14	6
Patient_005	15	12
Patient_005	16	36
Patient_005	17	1
Patient_005	18	36
Patient_005	2	2
