metric	human	mouse	pig	other
sampled_cells	500	.	.	.
sampled_reads	12500	.	.	.
mapped_reads_by_reference	2875	3094	5500	.
decisive_reads_margin_0	1339	2113	4430	4618
cell_calls_margin_0	50	150	300	0
median_decisive_reads_per_cell_margin_0	16.0	.	.	.
decisive_reads_margin_5	1325	2087	4384	4704
cell_calls_margin_5	50	150	300	0
median_decisive_reads_per_cell_margin_5	15.0	.	.	.
decisive_reads_margin_10	1305	2048	4328	4819
cell_calls_margin_10	50	150	300	0
median_decisive_reads_per_cell_margin_10	15.0	.	.	.
