18829	55167	HBB
26856	38593.406187	HBA2
26857	20519.593634	HBA1
28149	608	H3-3B
11194	481	EEF1A1
28657	362.5	UBB
26314	360	SERF2
28261	341	DDX5
698	319	RPL11
28614	284	EIF1
18830	280	HBD
1136	274.650001	H3-3A
5016	251	CALM2
10774	237.714286	RPS12
24266	219	FOS
24132	195	HMGB1
23124	194.833333	RPS27P3
31138	166	FTL
13660	150	HNRNPA2B1
7496	147	H2AZ1
1177	142.5	YBX1
24029	131	TPT1
22952	128	RPLP0
25256	111	EIF5
26885	109	AHSP
2430	108	S100A9
16263	104	CA1
20258	100	EIF4G2
22004	100	BTG1
979	96.499993	RPS27
12930	95	ACTB
9899	93	RPL37
6042	93	CNBP
15473	93	TMSB4X
28286	92.361112	RPL19
25040	92	CALM1
30501	91	RPS19P1
28475	89	SLC25A39
4864	89	RPL37A
14876	87	ALAS2
2875	87	JUN
25309	86.5	IFI27
16328	86	PABPC1
22543	85	NACA
32149	83	OAZ1
3622	82.333063	RPL15P5
31693	81	UBA52
22014	80	LYZ
15944	79	RPL30
4291	79	PTMA
14889	73.976187	RPL10
3448	70	SRSF7
8172	69.5	UBE2D3
9907	69	UBE2B
15776	69	SLC25A37
30098	67	ATP5F1E
2884	65.533333	HMGN2
15942	64.833333	YWHAZ
26853	64	HBM
15810	63	BNIP3L
6553	62	TRA2B
28277	60.333333	SUMO2
2433	60	S100A8
7143	58.833439	RPL15
10157	58	CSNK1A1
18785	58	RPS3
31025	57.666662	RPS16
20383	57.533286	FTH1
14014	57.333333	RHEB
1257	55.5	SERBP1
10442	55	SOX4
5092	54.5	HNRNPA3
12674	53.849997	RPL7P32
31691	53	FKBP8
3662	53	UBE2E3
6993	52.333333	GPX1
22684	50.666666	RPL41
29726	50.333333	VAPA
32173	50	RPS19
22687	49	MYL6
22371	48	DYNLL1
2677	48	HNRNPU
8138	47.5	RPL34
4713	47	OST4
8549	46	HNRNPD
34274	46	MT-CO1
21834	45.5	YBX3
24354	45	GLRX5
27878	44	TOB1
8362	44	SNCA
34278	44	MT-CO3
18599	42.833332	EEF1G
25761	42.5	RPLP1
23435	42.5	TUBA1A
26436	41.5	RPS15A
21263	41	HNRNPF
5089	40.5	NFE2L2
30252	40	RBM39
4389	40	RPS27A
4767	40	MAT2A
12702	40	BPGM
26296	39.009231	B2M
34275	39	MT-CO2
27699	39	RPS27AP16
2066	38.5	CSDE1
9699	38.499996	RPS23
3370	38	TMSB10
894	38	RPS8
20469	38	EIF3M
4172	37	SF3B1
31269	37	JUND
6266	37	RPL32
2071	37	ADIPOR1
19860	36.5	TAF10
24883	36	PAPOLA
24127	36	ARGLU1
5826	35.916666	RPL19P6
6816	35.166661	RPS27P4
4290	35	ATP5MC3
26957	35	RPL13
9275	35	PTMAP2
32244	34	BLVRB
17257	34	KLF4
22840	34	PCBP2
9593	33.5	NPM1
20382	33.166712	BEST1
13352	32.5	TAX1BP1
32496	32	HNRNPM
34277	31.5	MT-ATP6
6744	31.5	RPL23AP42
26837	31	GABARAPL2
27439	31	GSPT1
31161	31	RPL28
10971	31	GMPR
1730	31	S100A6
17100	30.5	ZFAND5
4785	30	FAM98A
2827	30	GUK1
6173	30	EIF4A2
26723	29	MT2A
6764	29	RPL35A
1731	29	S100A4
29338	28.5	PAFAH1B1
31286	28	RPS15
25013	28	IRF2BPL
13790	28	SEPTIN7
2764	28	SRRM1
9806	28	BTF3
31573	28	BSG
11124	28	H1-2
12179	27.833475	RPL15P3
24296	27	SRSF5
888	27	STMN1
9652	27	EGR1
30310	27	FAM210B
