21354	2241	COX3
21351	1893	COX2
21350	1554	COX1
173	1074.5	RPLP1
21353	1070	ATP6
7698	1027	CLU
13778	847	RPS20
19511	838	CST9L
12066	784	TMSB10
4799	740	RPL28
1198	711	RPS12
21348	678	ND1
21360	664	CYTB
4725	592	RPS19
5666	555	RPS14
21349	538	ND2
21357	528	ND4
7370	524	RPS15
7866	497	RPLP0
9185	458	PTMA
3996	454	RPS8
13090	446	RPS7
2883	421	RPSA
20573	418	UBB
6751	417.894737	RPLP2
19797	400.5	EIF1
10536	393	RPL27A
435	377	RPL35
20325	376	DDX5
20621	371	H3-3B
1947	371	RPL32
16555	370	RPS18
18777	348.5	H3-3A
21397	327	HSP90AA1
5040	322	RPL11
12181	317	PRM1
1732	315.5	SERF2
12986	307	RPS27A
13833	304	RPS27
11409	280	RPL34
7456	278	RPL36
19010	277	RPS21
16594	275	RPS10
19813	271	RPL23
10519	261	APOA1
17982	260.307439	RPL37
7773	258	RPL6
2643	249	RPL15
15497	242	FOS
3074	238	RPL35A
16241	232.214286	RPS17
9032	226	RPL37A
14429	225.5	RPL39
4149	225	RPS5
17663	222	RPS26
16184	216.5	HSP90AB1
11911	216	CALM2
13290	216	RPL7
6303	207	RACK1
14463	207	RPL10
5320	206	RPS11
3227	203.999341	RPL29
5554	203.166648	RPS23
10319	203	RPS3
4049	198	RPL22
20016	197.5	RPL23A
7353	197	RPS28
11383	194.5	RPS3A
7975	194	RPS24
4358	186	RPS16
20403	184	RPL26
12197	183	ELOB
20470	181	RPL38
102	178	RPS29
2895	175.5	RPL14
20756	175	ACTG1
5715	174	RPS13
4889	174	RPS9
21355	162	ND3
4165	161.074899	PHKB
13577	160	RPL5
21359	157	ND6
20286	154	RPL27
2229	152	RPL24
17033	152	LGALS1
3572	147	COX4I1
12461	141	BUD23
11366	140	H2AZ1
219	138.286212	MCEE
8996	137	TNP1
20634	137	SUMO2
3624	134	JUN
5365	131	RPL18
21411	130	EIF5
17315	130	RPL3
13123	129	PDIA6
376	128	RPS6
14778	127	TMSB4X
19473	127	CST3
14224	124	PABPC1
