                                 Started job on |	Aug 28 11:24:19
                             Started mapping on |	Aug 28 11:50:52
                                    Finished on |	Aug 28 11:52:42
       Mapping speed, Million of reads per hour |	6.58

                          Number of input reads |	200913
                      Average input read length |	107
                                    UNIQUE READS:
                   Uniquely mapped reads number |	175164
                        Uniquely mapped reads % |	87.18%
                          Average mapped length |	106.73
                       Number of splices: Total |	80652
            Number of splices: Annotated (sjdb) |	79484
                       Number of splices: GT/AG |	79859
                       Number of splices: GC/AG |	574
                       Number of splices: AT/AC |	70
               Number of splices: Non-canonical |	149
                      Mismatch rate per base, % |	0.38%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.54
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.24
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	20780
             % of reads mapped to multiple loci |	10.34%
        Number of reads mapped to too many loci |	57
             % of reads mapped to too many loci |	0.03%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	2920
                 % of reads unmapped: too short |	1.45%
                Number of reads unmapped: other |	16
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	2943
                            % of chimeric reads |	1.46%
