	SRR5085170
YDR492W	9
YDR508C	47
YDR186C	7
YDR150W	35
YDL182W	36
YDR232W	22
YDR158W	102
YDR533C	10
YDR272W	13
YDR299W	27
YDL015C	26
YDR304C	40
YDR367W	21
YDL097C	49
YDR105C	18
YDR483W	91
YDR505C	12
YDR361C	20
YDR266C	16
YDR002W	72
YDR214W	23
YDL176W	11
YDR460W	15
YDR060W	68
YDR422C	7
YDR119W	32
YDR097C	17
YDL160C	12
snR13	11
YDR228C	11
YDR471W	48
YDR089W	14
YDR275W	6
YDR129C	79
YDL066W	42
YDL125C	15
YDR101C	50
YDR212W	56
YDL131W	31
YDR458C	15
YDR168W	23
YDL006W	14
YDL086W	4
YDR238C	71
YDR077W	52
YDL083C	92
YDR487C	35
YDR427W	34
YDR305C	12
YDR416W	7
YDR365C	28
YDR180W	11
YDR294C	15
YDR264C	28
YDR354W	20
YDL112W	20
YDR284C	23
YDR050C	791
YDR159W	6
YDR111C	13
YDR128W	17
YDL004W	11
YDL171C	52
YDR083W	14
YDR457W	38
YDR206W	18
YDR432W	15
YDL072C	17
YDL070W	56
YDR064W	191
YDL077C	9
YDL031W	29
YDR398W	27
YDR326C	18
YDL052C	7
YDR397C	15
YDL116W	21
YDR028C	22
YDL007W	72
YDR011W	30
YDR155C	112
YDL073W	10
YDL115C	27
YDL145C	52
YDL075W	179
YDR415C	8
YDR339C	12
YDL213C	9
YDL019C	13
YDL022W	20
YDR091C	38
YDR240C	11
YDL140C	45
YDR120C	30
YDL092W	12
YDL082W	79
YDR291W	28
YDR407C	17
YDR382W	171
YDL188C	8
YDR443C	11
YDR144C	15
YDL157C	10
YDL058W	36
YDL155W	12
YDR147W	12
YDL191W	94
YDL128W	8
YDR127W	47
YDR497C	68
YDR363W-A	37
YDR385W	26
YDR331W	11
YDR001C	18
YDR025W	78
YDR046C	36
YDR408C	15
YDR019C	20
YDR477W	10
YDL100C	63
YDL124W	25
YDL227C	15
YDR324C	51
YDR258C	9
YDR176W	17
YDL099W	7
YDR380W	29
YDR148C	16
YDR133C	21
YDR378C	13
YDR165W	26
YDR086C	24
YDR023W	86
YDR394W	40
YDR245W	34
YDL184C	117
YDR434W	10
YDR225W	34
YDR418W	96
YDR224C	91
YDR502C	34
YDR447C	140
YDL039C	10
YDL225W	16
YDR370C	33
YDR298C	46
YDR276C	18
YDL051W	60
YDR221W	18
YDR456W	25
YDL036C	7
snR63	12
YDR334W	24
YDL164C	21
YDR093W	11
YDR071C	28
YDL143W	88
YDR032C	24
YDL166C	16
YDR151C	13
YDR037W	125
YDR172W	47
YDL174C	8
YDR080W	9
YDR047W	6
YDR267C	19
YDL212W	23
YDR044W	20
YDR207C	10
YDL208W	15
YDR135C	43
YDR229W	10
YDR027C	10
YDR518W	15
YDR055W	12
YDR177W	12
YDL014W	72
YDR137W	12
YDL153C	36
YDL219W	10
YDR033W	75
YDR035W	34
YDR510W	39
YDL055C	578
YDL103C	17
YDR087C	14
YDL236W	17
YDR012W	19
YDL121C	51
tG(GCC)D2	126
YDL190C	19
YDL047W	12
YDR099W	58
YDR164C	21
YDL020C	9
YDR152W	10
YDL148C	37
YDR507C	15
YDL003W	13
YDR524C-B	45
YDR371W	12
YDR335W	65
YDR351W	14
YDL150W	12
YDR364C	6
YDR309C	12
YDR300C	22
YDL168W	32
YDR321W	20
YDL030W	11
YDR468C	7
YDL084W	142
YDL229W	152
YDR329C	2
YDR034C	9
YDR312W	15
YDL061C	24
YDL040C	68
YDR145W	10
YDL231C	13
YDR190C	23
YDR449C	14
YDR074W	17
YDR450W	197
YDR376W	12
YDR161W	16
YDR189W	17
YDL237W	30
YDR188W	92
YDL133C-A	106
YDR531W	10
YDR226W	62
YDL205C	14
YDR496C	59
YDL147W	62
YDL081C	268
YDR283C	18
YDR261C	10
YDL074C	38
YDR346C	76
YDL122W	15
YDR390C	15
YDR481C	23
YDL141W	3
YDL178W	16
YDL192W	174
YDR146C	13
YDL185W	156
YDR251W	18
YDR368W	19
YDR399W	68
YDR138W	11
YDL060W	22
YDL126C	134
YDR345C	45
YDR292C	22
YDR170C	65
YDR174W	43
YDR500C	54
YDR301W	12
YDR412W	22
YDR234W	31
YDR519W	21
YDR465C	19
YDR454C	80
YDL095W	49
YDL130W	161
YDL117W	14
YDR381W	39
YDR062W	42
YDL167C	15
YDR517W	21
YDL226C	20
YDL134C	22
YDR117C	10
YDR303C	15
YDL078C	10
YDR529C	16
snR47	33
YDR452W	37
YDR347W	8
YDR516C	24
YDL193W	11
YDL137W	43
YDR233C	56
YDR388W	30
YDR049W	18
YDR021W	11
YDR353W	36
YDR141C	20
YDR194C	19
YDL240W	7
YDR056C	15
YDR328C	43
YDR280W	8
YDR098C	65
YDR017C	23
YDR341C	88
YDR154C	12
YDR395W	31
YDR372C	15
YDR325W	11
YDR006C	10
YDL102W	13
YDR527W	17
YDR333C	17
YDL063C	28
YDL132W	14
YDR211W	78
YDR110W	20
YDR167W	21
YDL215C	22
YDR297W	34
YDR007W	15
YDL195W	24
YDR429C	51
YDL198C	13
YDL120W	11
YDR379W	4
YDL029W	42
YDR369C	10
YDR430C	13
YDR293C	42
YDR217C	11
YDR052C	17
YDL136W	63
YDR068W	15
YDL046W	15
YDR337W	12
YDR356W	13
YOL144W	15
YOR206W	28
YOR341W	108
YOL088C	31
YOR160W	5
YOR039W	29
YOR281C	13
YOR230W	62
YOL081W	27
YOL052C	12
YOR285W	10
YOR270C	140
YOR115C	11
YOL103W	23
YOL063C	6
YOR231W	8
YOR021C	52
YOL038W	17
YOL124C	6
YOR212W	18
YOL120C	712
YOR335C	93
snR58	16
YOL122C	15
YOR157C	24
YOR093C	9
YOL065C	6
YOR207C	36
YOL005C	13
YOL020W	15
YOR038C	11
YOR303W	14
YOR052C	14
YOL039W	88
YOL090W	24
YOR271C	28
YOR108W	21
snR9	11
YOR216C	27
YOR099W	98
YOR001W	13
YOR204W	52
YOR209C	48
YOR048C	27
YOR227W	12
YOR112W	13
YOR251C	6
YOR119C	15
YOL151W	11
YOR330C	16
YOR142W	16
YOR002W	17
YOR194C	10
YOR298C-A	15
YOR014W	22
YOR346W	25
YOR336W	5
YOR122C	27
YOR256C	22
YOR196C	6
YOR369C	409
YOR296W	20
YOR260W	17
YOR316C	5
YOR326W	82
YOL036W	12
YOR332W	50
YOL002C	13
YOR243C	58
YOL056W	8
YOR098C	9
YOL076W	17
YOR188W	17
YOR069W	4
YOR124C	22
YOR057W	12
YOL127W	257
YOR239W	14
YOR317W	32
YOR370C	12
YOR211C	10
YOR191W	12
YOL064C	8
YOL049W	28
YOR043W	12
YOL059W	16
YOR375C	39
snR35	17
YOL013C	7
YOR272W	27
YOL016C	11
YOR007C	95
YOR361C	125
YOL158C	15
YOR315W	12
YOR234C	58
YOR283W	22
YOL045W	10
YOR360C	7
YOL097C	41
YOR164C	37
YOR175C	44
YOR086C	39
YOR155C	12
YOL030W	25
YOR323C	26
YOL010W	10
YOR118W	10
YOR128C	32
YOL125W	14
YOL004W	20
YOR033C	7
YOL070C	14
YOR116C	41
YOR145C	28
YOL109W	72
YOR078W	20
YOR131C	14
YOR168W	100
YOR241W	9
YOR153W	58
YOL145C	23
YOR322C	12
YOL031C	10
YOR261C	177
YOR293W	79
YOR067C	12
YOR312C	257
YOR094W	10
YOL105C	16
YOR197W	12
YOR262W	10
YOR167C	307
YOR127W	13
YOR184W	25
YOR150W	11
YOR340C	17
YOR354C	14
YOR217W	16
YOL006C	21
YOR259C	34
