	SRR5085168
YDR492W	12
YDR508C	54
YDR186C	12
YDR150W	33
YDL182W	54
YDR232W	15
YDR158W	112
YDR533C	10
YDR272W	24
YDR299W	31
YDL015C	19
YDR304C	26
YDR367W	18
YDL097C	50
YDR105C	11
YDR483W	113
YDR505C	11
YDR361C	16
YDR266C	20
YDR002W	73
YDR214W	14
YDL176W	9
YDR460W	5
YDR060W	70
YDR422C	17
YDR119W	34
YDR097C	17
YDL160C	21
snR13	11
YDR228C	7
YDR471W	70
YDR089W	10
YDR275W	4
YDR129C	95
YDL066W	57
YDL125C	5
YDR101C	46
YDR212W	57
YDL131W	17
YDR458C	13
YDR168W	28
YDL006W	8
YDL086W	7
YDR238C	72
YDR077W	57
YDL083C	122
YDR487C	34
YDR427W	23
YDR305C	6
YDR416W	10
YDR365C	35
YDR180W	8
YDR294C	24
YDR264C	31
YDR354W	27
YDL112W	26
YDR284C	34
YDR050C	790
YDR159W	13
YDR111C	11
YDR128W	16
YDL004W	7
YDL171C	66
YDR083W	6
YDR457W	55
YDR206W	23
YDR432W	33
YDL072C	31
YDL070W	45
YDR064W	246
YDL077C	10
YDL031W	21
YDR398W	34
YDR326C	17
YDL052C	11
YDR397C	11
YDL116W	17
YDR028C	25
YDL007W	50
YDR011W	49
YDR155C	120
YDL073W	11
YDL115C	14
YDL145C	67
YDL075W	177
YDR415C	10
YDR339C	3
YDL213C	9
YDL019C	15
YDL022W	10
YDR091C	44
YDR240C	11
YDL140C	42
YDR120C	25
YDL092W	11
YDL082W	110
YDR291W	14
YDR407C	20
YDR382W	177
YDL188C	8
YDR443C	8
YDR144C	21
YDL157C	6
YDL058W	36
YDL155W	10
YDR147W	7
YDL191W	102
YDL128W	18
YDR127W	40
YDR497C	84
YDR363W-A	23
YDR385W	55
YDR331W	14
YDR001C	17
YDR025W	76
YDR046C	24
YDR408C	10
YDR019C	12
YDR477W	12
YDL100C	54
YDL124W	34
YDL227C	16
YDR324C	61
YDR258C	14
YDR176W	14
YDL099W	10
YDR380W	11
YDR148C	15
YDR133C	16
YDR378C	8
YDR165W	27
YDR086C	20
YDR023W	88
YDR394W	31
YDR245W	27
YDL184C	98
YDR434W	10
YDR225W	34
YDR418W	110
YDR224C	88
YDR502C	50
YDR447C	132
YDL039C	9
YDL225W	9
YDR370C	27
YDR298C	40
YDR276C	17
YDL051W	40
YDR221W	19
YDR456W	12
YDL036C	8
snR63	19
YDR334W	24
YDL164C	31
YDR093W	23
YDR071C	28
YDL143W	68
YDR032C	14
YDL166C	9
YDR151C	5
YDR037W	177
YDR172W	44
YDL174C	11
YDR080W	17
YDR047W	14
YDR267C	17
YDL212W	35
YDR044W	11
YDR207C	6
YDL208W	8
YDR135C	62
YDR229W	13
YDR027C	7
YDR518W	16
YDR055W	15
YDR177W	13
YDL014W	101
YDR137W	14
YDL153C	38
YDL219W	4
YDR033W	108
YDR035W	28
YDR510W	31
YDL055C	499
YDL103C	20
YDR087C	7
YDL236W	19
YDR012W	19
YDL121C	57
tG(GCC)D2	54
YDL190C	18
YDL047W	9
YDR099W	52
YDR164C	20
YDL020C	22
YDR152W	11
YDL148C	42
YDR507C	13
YDL003W	5
YDR524C-B	50
YDR371W	9
YDR335W	76
YDR351W	5
YDL150W	3
YDR364C	10
YDR309C	11
YDR300C	15
YDL168W	21
YDR321W	40
YDL030W	6
YDR468C	10
YDL084W	129
YDL229W	321
YDR329C	11
YDR034C	13
YDR312W	19
YDL061C	26
YDL040C	71
YDR145W	6
YDL231C	14
YDR190C	23
YDR449C	15
YDR074W	10
YDR450W	214
YDR376W	11
YDR161W	17
YDR189W	13
YDL237W	43
YDR188W	105
YDL133C-A	88
YDR531W	6
YDR226W	40
YDL205C	22
YDR496C	47
YDL147W	65
YDL081C	274
YDR283C	11
YDR261C	12
YDL074C	28
YDR346C	83
YDL122W	20
YDR390C	11
YDR481C	56
YDL141W	11
YDL178W	21
YDL192W	204
YDR146C	7
YDL185W	173
YDR251W	19
YDR368W	29
YDR399W	50
YDR138W	6
YDL060W	37
YDL126C	147
YDR345C	53
YDR292C	27
YDR170C	64
YDR174W	37
YDR500C	51
YDR301W	11
YDR412W	11
YDR234W	20
YDR519W	18
YDR465C	16
YDR454C	83
YDL095W	58
YDL130W	130
YDL117W	12
YDR381W	32
YDR062W	46
YDL167C	20
YDR517W	21
YDL226C	14
YDL134C	11
YDR117C	21
YDR303C	15
YDL078C	11
YDR529C	5
snR47	35
YDR452W	58
YDR347W	11
YDR516C	12
YDL193W	14
YDL137W	38
YDR233C	49
YDR388W	18
YDR049W	14
YDR021W	7
YDR353W	32
YDR141C	30
YDR194C	29
YDL240W	8
YDR056C	10
YDR328C	35
YDR280W	10
YDR098C	63
YDR017C	19
YDR341C	74
YDR154C	13
YDR395W	25
YDR372C	13
YDR325W	22
YDR006C	5
YDL102W	14
YDR527W	23
YDR333C	9
YDL063C	24
YDL132W	21
YDR211W	68
YDR110W	12
YDR167W	21
YDL215C	18
YDR297W	33
YDR007W	13
YDL195W	29
YDR429C	56
YDL198C	19
YDL120W	9
YDR379W	10
YDL029W	55
YDR369C	5
YDR430C	10
YDR293C	60
YDR217C	7
YDR052C	11
YDL136W	67
YDR068W	9
YDL046W	14
YDR337W	6
YDR356W	12
YOL144W	9
YOR206W	26
YOR341W	145
YOL088C	23
YOR160W	10
YOR039W	23
YOR281C	9
YOR230W	55
YOL081W	35
YOL052C	7
YOR285W	4
YOR270C	136
YOR115C	13
YOL103W	20
YOL063C	11
YOR231W	10
YOR021C	42
YOL038W	23
YOL124C	10
YOR212W	21
YOL120C	775
YOR335C	100
snR58	15
YOL122C	7
YOR157C	38
YOR093C	11
YOL065C	14
YOR207C	48
YOL005C	16
YOL020W	16
YOR038C	8
YOR303W	18
YOR052C	8
YOL039W	88
YOL090W	29
YOR271C	24
YOR108W	50
snR9	19
YOR216C	29
YOR099W	103
YOR001W	12
YOR204W	90
YOR209C	48
YOR048C	31
YOR227W	17
YOR112W	2
YOR251C	11
YOR119C	17
YOL151W	12
YOR330C	14
YOR142W	11
YOR002W	21
YOR194C	6
YOR298C-A	22
YOR014W	30
YOR346W	26
YOR336W	24
YOR122C	26
YOR256C	18
YOR196C	10
YOR369C	455
YOR296W	9
YOR260W	22
YOR316C	10
YOR326W	70
YOL036W	16
YOR332W	55
YOL002C	13
YOR243C	70
YOL056W	13
YOR098C	23
YOL076W	23
YOR188W	15
YOR069W	12
YOR124C	24
YOR057W	4
YOL127W	239
YOR239W	29
YOR317W	15
YOR370C	11
YOR211C	6
YOR191W	18
YOL064C	12
YOL049W	31
YOR043W	11
YOL059W	22
YOR375C	96
snR35	11
YOL013C	14
YOR272W	23
YOL016C	11
YOR007C	120
YOR361C	195
YOL158C	19
YOR315W	12
YOR234C	61
YOR283W	19
YOL045W	5
YOR360C	9
YOL097C	42
YOR164C	26
YOR175C	31
YOR086C	55
YOR155C	18
YOL030W	46
YOR323C	43
YOL010W	9
YOR118W	13
YOR128C	42
YOL125W	13
YOL004W	28
YOR033C	14
YOL070C	11
YOR116C	48
YOR145C	29
YOL109W	49
YOR078W	13
YOR131C	11
YOR168W	101
YOR241W	12
YOR153W	66
YOL145C	29
YOR322C	14
YOL031C	8
YOR261C	205
YOR293W	94
YOR067C	16
YOR312C	285
YOR094W	6
YOL105C	7
YOR197W	19
YOR262W	7
YOR167C	314
YOR127W	20
YOR184W	35
YOR150W	7
YOR340C	22
YOR354C	10
YOR217W	23
YOL006C	16
YOR259C	40
YOR222W	10
YOL051W	11
YOR091W	13
YOL022C	22
YOL078W	8
YOL098C	48
YOR171C	12
YOL089C	11
YOR095C	29
YOR046C	20
YOL112W	9
YOR141C	17
YOL143C	25
YOR172W	9
YOR101W	16
YOR056C	11
YOR246C	39
YOR042W	19
YOR176W	14
YOR310C	211
YOR063W	1364
YOL129W	8
YOL092W	11
YOL061W	21
YOR232W	42
YOR219C	11
YOR182C	14
YOR110W	10
YOL130W	19
YOL021C	28
YOL077W-A	4
YOR291W	13
YOL077C	32
YOR123C	11
YOR362C	20
YOL057W	35
YOR321W	10
YOL139C	94
YOR287C	1
YOR198C	38
YOR034C	11
YOL115W	10
YOL096C	8
YOR020C	52
YOR133W	29
YOR356W	21
YOR357C	4
YOR276W	25
YOR344C	23
YOR329C	10
YOL040C	141
YOR051C	61
YOR073W	11
YOL018C	4
YOR087W	7
YOL086C	1349
YOR165W	25
YOL068C	23
YOR138C	14
YOL121C	96
YOL126C	32
YOR080W	17
YOR109W	36
YOR147W	10
YOR254C	60
YOL080C	5
YOR136W	27
YOR195W	20
YOL123W	32
YOR337W	15
YOR304W	17
YOR074C	17
YOR117W	47
YOL066C	10
YOR151C	143
YOR187W	34
YOR355W	17
YOR290C	20
YOL060C	16
YOL041C	14
YOR299W	26
YOR096W	237
YOR301W	16
YOR076C	10
YOR061W	21
YOR371C	11
YOL062C	13
YOR027W	28
RME2	14
YGR162W	103
YGR005C	8
YGL160W	11
YGL097W	16
YGL028C	14
YGL021W	17
YGR167W	17
YGL228W	19
YGR086C	78
YGL145W	15
YGR098C	20
YGR172C	11
YGL026C	44
YGL213C	10
YGL256W	18
YGL012W	28
YGL082W	17
YGR274C	14
YGL037C	31
YGL252C	11
YGR260W	31
YGR159C	95
YGL040C	19
YGR130C	8
YGR029W	13
YGR038W	13
YGR008C	10
YGL094C	22
YGR125W	7
YGR279C	233
YGL022W	111
YGR271W	13
YGR031W	14
YGL113W	4
YGL084C	17
YGL196W	8
YGR157W	62
YGR085C	47
YGL169W	9
YGR187C	4
YGL167C	28
YGL068W	11
YGL014W	22
YGL100W	17
YGR211W	58
YGR270W	21
YGR204W	40
YGR266W	11
YGL070C	19
YGL225W	42
YGL120C	46
YGR252W	2
YGL106W	9
YGR284C	8
YGR032W	7
YGR208W	13
YGL016W	33
YGR255C	13
YGR200C	33
YGR191W	18
YGL227W	14
YGR081C	12
YGR148C	78
YGR276C	13
YGL224C	10
YGL020C	17
YGL189C	66
YGR210C	12
YGL115W	107
YGL105W	70
YGR026W	9
YGR278W	4
YGR262C	5
YGL200C	67
YGL186C	7
YGR198W	12
YGL058W	13
YGL055W	80
YGL151W	27
YGR103W	60
YGL013C	11
YGL076C	211
YGR094W	205
YGR175C	64
YGL008C	1065
YGR108W	23
YGR218W	58
YGL009C	251
YGL095C	9
YGL137W	60
YGR001C	7
YGL173C	56
YGL086W	14
YGR223C	14
YGR285C	137
YGL207W	71
YGR261C	30
YGL140C	25
YGL078C	70
YGR196C	10
YGL197W	12
YGL159W	14
YGR286C	5
snR48	13
YGL035C	12
YGR009C	5
YGR034W	246
YGR118W	161
YGR277C	15
YGL142C	5
YGL253W	175
YGL049C	19
YGL202W	58
YGR037C	22
YGL077C	40
YGR245C	53
YGL244W	13
YGL187C	3
YGR180C	123
YGR116W	76
YGR202C	39
YGL150C	33
YGR214W	228
YGR007W	10
YGR083C	15
YGL038C	10
YGR244C	9
YGR106C	60
YGR209C	49
YGR003W	8
YGR170W	6
YGR246C	18
YGL123W	411
YGL099W	13
YGL233W	21
YGL056C	7
YGR240C	134
YGR020C	25
YGR100W	16
YGR231C	36
YGR145W	29
YGL011C	26
YGL122C	13
YGR216C	1
YGR047C	10
YGR282C	148
YGL036W	13
YGR192C	2044
YGL191W	11
YGR013W	13
YGR123C	15
YGL163C	15
YGL092W	31
YGR132C	8
YGR128C	25
YGL246C	12
YGL190C	17
YGR033C	12
YGL112C	12
YGL001C	9
YGL093W	3
YGR027C	106
YGR124W	219
YGL103W	260
YGL062W	15
snR39	11
YGL161C	20
YGR184C	31
YGR055W	15
YGL054C	23
YGR090W	23
YGL198W	11
YGR071C	11
YGL195W	127
YGL206C	67
YGR060W	39
YGL257C	13
YGL023C	10
YGL201C	20
YGL241W	8
YGR199W	13
YGL111W	13
snR39B	13
YGR155W	206
YGL114W	12
YGL255W	7
YGR233C	12
YGR092W	14
YGL171W	19
YGL029W	8
YGL147C	398
YGR178C	16
YGL203C	16
YGL048C	47
YGR207C	9
YGR093W	11
YGR119C	23
YGR061C	132
YGR280C	15
YGL031C	208
YGR117C	12
YGR254W	385
YGL164C	6
YGR264C	131
YGL234W	141
YGL238W	57
YGR185C	30
YGR189C	31
YGL221C	35
YGL135W	161
YGR253C	29
YGL101W	6
YGR271C-A	11
YGR267C	13
YGR234W	159
YGL141W	17
YGL245W	171
YGL215W	13
YGR229C	23
YGR135W	27
YGL139W	9
YGL172W	13
YGL027C	20
YGL019W	11
YGR017W	19
YGR193C	9
YGL030W	200
YGL148W	76
YGR281W	15
YGR078C	18
YGL133W	8
YGR295C	12
YGR048W	4
YGR054W	15
YGL006W	38
YGL232W	9
YGL157W	7
YGR014W	15
YLL050C	126
YLR075W	410
YLR025W	13
YLR049C	12
YLR032W	12
YLR321C	11
YLR247C	16
YLR167W	1174
YLR220W	10
YLR272C	9
YLR180W	79
YLR250W	36
YLR253W	6
YLR390W-A	16
YLR117C	8
YLR110C	250
YLR069C	14
YLR008C	12
YLR231C	20
YLR264W	131
YLR103C	11
YLR228C	13
YLL036C	27
snR61	24
YLR056W	72
YLR429W	46
YLR310C	30
YLR342W	211
YLR017W	10
YLR304C	64
YLR027C	109
YLR214W	47
YLR378C	61
YLL008W	48
YLR449W	40
YLR089C	5
YLR190W	12
YLR045C	10
YLR285W	14
YLR276C	43
YLR077W	16
YLR301W	16
YLR427W	7
YLR150W	361
YLL021W	20
YLR153C	36
YLR014C	14
YLR096W	8
YLR033W	9
YLR278C	10
YLR266C	16
YLR007W	6
YLL015W	20
YLR058C	113
YLR325C	100
YLR074C	10
YLL001W	7
YLR409C	40
YLR256W	31
YLR186W	12
YLR143W	10
YLR197W	138
YLL034C	31
YLL023C	11
YLR065C	11
YLL031C	12
YLR419W	8
YLR405W	9
YLR093C	8
YLR370C	16
YLL026W	83
YLR114C	35
YLR146C	16
YLR333C	29
YLL043W	18
YLR336C	29
YLR430W	16
YLR436C	8
YLR347C	22
YLR113W	27
YLR196W	38
YLR163C	9
YLR129W	54
YLR173W	5
YLR259C	56
YLR401C	22
YLR185W	135
YLR060W	90
YLL029W	12
YLR432W	40
YLR166C	19
YLR383W	10
YLR044C	1270
YLR293C	28
YLR192C	24
YLR300W	46
YLR448W	86
snR44	20
YLR367W	122
YLR309C	44
YLR299W	4
YLR029C	382
YLR373C	14
YLR066W	7
YLR175W	152
YLL051C	12
YLR314C	35
YLR019W	38
YLR361C	7
YLR389C	13
YLR270W	12
YLR223C	10
YLR195C	13
YLR398C	33
YLR418C	36
YLR109W	66
YLR106C	77
YLR083C	27
YLR274W	28
YLR413W	53
YLR340W	555
YLR452C	22
YLR372W	49
YLR363C	10
YLR207W	5
YLR188W	32
YLR328W	10
YLR241W	17
snR30	8
YLR287C	15
YLR410W	25
YLR397C	8
YLR120C	25
YLR335W	24
YLR399C	55
YLR388W	45
YLR249W	2043
YLL010C	9
YLR133W	7
YLL011W	12
YLR384C	66
YLR203C	6
YLR450W	27
YLR291C	15
YLR344W	82
YLR447C	117
YLR435W	23
YLR084C	18
YLR229C	13
YLR048W	120
YLR086W	40
YLL041C	6
YLR330W	34
YLR244C	48
YLR258W	10
YLR172C	16
YLR268W	10
YLR420W	23
YLL035W	10
YLL009C	11
YLR406C	91
YLR138W	20
YLR295C	14
YLR248W	10
YLR002C	48
YLR189C	18
YLR206W	18
YLL018C	64
YLR350W	13
YLR257W	21
YLR375W	20
YLR287C-A	8
YLR003C	10
YLR355C	253
YLR441C	426
YLR028C	45
YLR043C	56
YLR243W	13
YLR148W	16
YLR199C	7
YLR351C	27
YLR130C	20
YLR024C	16
YLR380W	11
YLR061W	151
YLR386W	15
YLR387C	13
YLR422W	11
YLR354C	109
YLL039C	44
YLR208W	31
YLR115W	13
YLR005W	7
YLR454W	18
YLR305C	33
YLL048C	60
YLL024C	160
YLR009W	12
YLR057W	10
YLR348C	19
YLR179C	25
YLR371W	10
YLR222C	21
YLR440C	7
YLR421C	11
YLL027W	7
YLR292C	9
YLR016C	7
YLR359W	191
YLL013C	14
YLR320W	11
YLL045C	300
YLR071C	17
YLR286C	59
YLL004W	11
YLR100W	58
YLR088W	11
YLR216C	36
YLL040C	33
YPL217C	50
YPR139C	17
YPR169W	38
YPL009C	29
YPL183C	48
YPL179W	7
YPR103W	40
YPL244C	10
YPR156C	6
YPL240C	62
YPL111W	16
YPR119W	16
YPL218W	63
YPL198W	88
YPL006W	8
YPR161C	8
YPL145C	26
YPR181C	38
YPR171W	12
YPR122W	13
YPL091W	54
YPL137C	14
YPL163C	16
YPR069C	34
YPR072W	14
YPL175W	35
YPL125W	30
YPL090C	362
YPR198W	10
YPR106W	11
YPL270W	16
YPR058W	15
YPL004C	57
YPR110C	38
YPR149W	45
YPR009W	5
YPR118W	51
YPR019W	20
YPL144W	6
YPL045W	34
YPL263C	23
YPR124W	17
YPR004C	10
YPR080W	91
YPR033C	29
YPL210C	29
YPL155C	9
YPL225W	36
YPL081W	46
YPL266W	13
YPR108W	16
YPL058C	21
YPR088C	22
YPL254W	13
YPR129W	12
YPR113W	24
YPL160W	120
YPL169C	23
YPR115W	11
YPL184C	26
YPR189W	30
YPL246C	9
YPL020C	11
YPL061W	117
YPR112C	30
YPR148C	24
YPL131W	218
YPL012W	31
YPL010W	19
YPR173C	29
YPR024W	26
YPR191W	15
YPL063W	27
YPR166C	7
YPL231W	183
YPL129W	12
YPR164W	14
YPL019C	194
YPL022W	26
YPL211W	12
YPL040C	7
YPR159W	23
YPL227C	13
YPL234C	35
YPL015C	16
YPR035W	156
YPR037C	13
YPL135W	11
YPL112C	9
YPL154C	39
YPR074C	147
YPR133C	33
YPR070W	12
YPL176C	38
YPL220W	92
YPL032C	15
YPR185W	28
YPR145W	223
YPL178W	13
YPL013C	18
YPR028W	36
YPR089W	8
YPL075W	10
YPR062W	17
YPR125W	12
YPL221W	28
YPR073C	4
YPL262W	26
snR45	22
YPR036W	220
YPL031C	8
YPL237W	66
YPL053C	22
YPL085W	10
YPR104C	17
YPR190C	17
YPL043W	42
YPL105C	23
YPR132W	136
YPR137W	19
YPL190C	14
YPL241C	10
YPR043W	93
YPL157W	24
YPL177C	5
YPR165W	27
YPL037C	56
YPL101W	13
YPL256C	22
YPR023C	15
YPL093W	60
YPL118W	20
YPL239W	22
YPL128C	12
YPL188W	8
YPL207W	37
YPR021C	12
YPL143W	194
YPL126W	62
YPR187W	13
YPR182W	11
YPL242C	64
YPR086W	17
YPR117W	8
YPL086C	47
YPR105C	23
YPL094C	12
YPR176C	10
YPR163C	61
YPR160W	11
YPL235W	18
YPR144C	64
YPL249C-A	81
YPL260W	20
YPR095C	13
YPR010C	105
YPL268W	14
YPL206C	21
YPR055W	6
YPL243W	48
YPL232W	28
YPR041W	147
YPL048W	35
YPL117C	17
YPL273W	25
YPR097W	22
YPL274W	10
YPL050C	13
YPR114W	11
YPR175W	2
YPL079W	159
YPL150W	9
YPL226W	148
YPL115C	12
YPL170W	9
YPL245W	52
YPR048W	14
YPR102C	49
YPR133W-A	7
YPL146C	19
YPL082C	34
YPR183W	28
YPL249C	12
YPR016C	24
YPR029C	27
YPL106C	154
YPL212C	19
YPL078C	23
YPL195W	30
YPR060C	12
YPL199C	11
YPL228W	6
YPL259C	11
YPL028W	98
YPR031W	20
YMR027W	19
YMR290C	108
YMR091C	16
YML088W	9
YML125C	32
YMR318C	70
YMR266W	37
YML057W	11
YMR105C	10
YMR012W	46
YMR202W	40
YMR083W	41
