	SRR5085167
YDR492W	10
YDR508C	31
YDR186C	5
YDR150W	20
YDL182W	37
YDR232W	13
YDR158W	85
YDR533C	5
YDR272W	9
YDR299W	29
YDL015C	23
YDR304C	22
YDR367W	12
YDL097C	37
YDR105C	15
YDR483W	69
YDR505C	8
YDR361C	12
YDR266C	16
YDR002W	52
YDR214W	12
YDL176W	3
YDR460W	1
YDR060W	53
YDR422C	7
YDR119W	27
YDR097C	13
YDL160C	9
snR13	12
YDR228C	9
YDR471W	46
YDR089W	9
YDR275W	11
YDR129C	69
YDL066W	36
YDL125C	6
YDR101C	48
YDR212W	60
YDL131W	21
YDR458C	7
YDR168W	16
YDL006W	2
YDL086W	10
YDR238C	54
YDR077W	44
YDL083C	90
YDR487C	33
YDR427W	20
YDR305C	3
YDR416W	5
YDR365C	20
YDR180W	6
YDR294C	10
YDR264C	29
YDR354W	13
YDL112W	20
YDR284C	33
YDR050C	727
YDR159W	8
YDR111C	11
YDR128W	11
YDL004W	7
YDL171C	49
YDR083W	4
YDR457W	35
YDR206W	21
YDR432W	16
YDL072C	20
YDL070W	33
YDR064W	207
YDL077C	8
YDL031W	20
YDR398W	22
YDR326C	16
YDL052C	8
YDR397C	8
YDL116W	20
YDR028C	21
YDL007W	56
YDR011W	28
YDR155C	83
YDL073W	15
YDL115C	16
YDL145C	51
YDL075W	148
YDR415C	4
YDR339C	9
YDL213C	16
YDL019C	19
YDL022W	11
YDR091C	38
YDR240C	14
YDL140C	42
YDR120C	13
YDL092W	6
YDL082W	68
YDR291W	12
YDR407C	12
YDR382W	172
YDL188C	10
YDR443C	7
YDR144C	10
YDL157C	4
YDL058W	30
YDL155W	6
YDR147W	12
YDL191W	95
YDL128W	12
YDR127W	46
YDR497C	68
YDR363W-A	11
YDR385W	30
YDR331W	8
YDR001C	14
YDR025W	59
YDR046C	19
YDR408C	17
YDR019C	7
YDR477W	6
YDL100C	46
YDL124W	31
YDL227C	9
YDR324C	28
YDR258C	4
YDR176W	9
YDL099W	4
YDR380W	10
YDR148C	11
YDR133C	22
YDR378C	11
YDR165W	18
YDR086C	26
YDR023W	61
YDR394W	27
YDR245W	17
YDL184C	107
YDR434W	7
YDR225W	27
YDR418W	91
YDR224C	49
YDR502C	36
YDR447C	119
YDL039C	7
YDL225W	7
YDR370C	18
YDR298C	27
YDR276C	9
YDL051W	43
YDR221W	14
YDR456W	10
YDL036C	10
snR63	12
YDR334W	24
YDL164C	16
YDR093W	12
YDR071C	20
YDL143W	66
YDR032C	17
YDL166C	6
