	SRR5085169	SRR5085170	SRR5085167	SRR5085168
YDR492W	21	9	10	12
YDR508C	61	47	31	54
YDR186C	19	7	5	12
YDR150W	55	35	20	33
YDL182W	66	36	37	54
YDR232W	24	22	13	15
YDR158W	151	102	85	112
YDR533C	16	10	5	10
YDR272W	27	13	9	24
YDR299W	47	27	29	31
YDL015C	44	26	23	19
YDR304C	69	40	22	26
YDR367W	22	21	12	18
YDL097C	65	49	37	50
YDR105C	21	18	15	11
YDR483W	145	91	69	113
YDR505C	8	12	8	11
YDR361C	32	20	12	16
YDR266C	33	16	16	20
YDR002W	124	72	52	73
YDR214W	18	23	12	14
YDL176W	14	11	3	9
YDR460W	16	15	1	5
YDR060W	131	68	53	70
YDR422C	16	7	7	17
YDR119W	68	32	27	34
YDR097C	24	17	13	17
YDL160C	20	12	9	21
snR13	19	11	12	11
YDR228C	13	11	9	7
YDR471W	104	48	46	70
YDR089W	21	14	9	10
YDR275W	19	6	11	4
YDR129C	135	79	69	95
YDL066W	56	42	36	57
YDL125C	11	15	6	5
YDR101C	72	50	48	46
YDR212W	65	56	60	57
YDL131W	38	31	21	17
YDR458C	19	15	7	13
YDR168W	46	23	16	28
YDL006W	14	14	2	8
YDL086W	12	4	10	7
YDR238C	87	71	54	72
YDR077W	94	52	44	57
YDL083C	136	92	90	122
YDR487C	53	35	33	34
YDR427W	30	34	20	23
YDR305C	16	12	3	6
YDR416W	17	7	5	10
YDR365C	68	28	20	35
YDR180W	12	11	6	8
YDR294C	20	15	10	24
YDR264C	51	28	29	31
YDR354W	22	20	13	27
YDL112W	39	20	20	26
YDR284C	33	23	33	34
YDR050C	1246	791	727	790
YDR159W	18	6	8	13
YDR111C	15	13	11	11
YDR128W	24	17	11	16
YDL004W	18	11	7	7
YDL171C	95	52	49	66
YDR083W	15	14	4	6
YDR457W	76	38	35	55
YDR206W	34	18	21	23
YDR432W	36	15	16	33
YDL072C	33	17	20	31
YDL070W	79	56	33	45
YDR064W	318	191	207	246
YDL077C	10	9	8	10
YDL031W	44	29	20	21
YDR398W	66	27	22	34
YDR326C	30	18	16	17
YDL052C	12	7	8	11
YDR397C	19	15	8	11
YDL116W	35	21	20	17
YDR028C	54	22	21	25
YDL007W	78	72	56	50
YDR011W	45	30	28	49
YDR155C	164	112	83	120
YDL073W	16	10	15	11
YDL115C	39	27	16	14
YDL145C	108	52	51	67
YDL075W	282	179	148	177
YDR415C	13	8	4	10
YDR339C	18	12	9	3
YDL213C	11	9	16	9
YDL019C	20	13	19	15
YDL022W	24	20	11	10
YDR091C	65	38	38	44
YDR240C	12	11	14	11
YDL140C	76	45	42	42
YDR120C	29	30	13	25
YDL092W	19	12	6	11
YDL082W	121	79	68	110
YDR291W	44	28	12	14
YDR407C	28	17	12	20
YDR382W	276	171	172	177
YDL188C	20	8	10	8
YDR443C	10	11	7	8
YDR144C	24	15	10	21
YDL157C	14	10	4	6
YDL058W	55	36	30	36
YDL155W	18	12	6	10
YDR147W	15	12	12	7
YDL191W	195	94	95	102
YDL128W	20	8	12	18
YDR127W	107	47	46	40
YDR497C	118	68	68	84
YDR363W-A	35	37	11	23
YDR385W	67	26	30	55
YDR331W	24	11	8	14
YDR001C	21	18	14	17
YDR025W	118	78	59	76
YDR046C	30	36	19	24
YDR408C	39	15	17	10
YDR019C	28	20	7	12
YDR477W	22	10	6	12
YDL100C	66	63	46	54
YDL124W	46	25	31	34
YDL227C	21	15	9	16
YDR324C	77	51	28	61
YDR258C	11	9	4	14
YDR176W	22	17	9	14
YDL099W	21	7	4	10
YDR380W	43	29	10	11
YDR148C	22	16	11	15
YDR133C	32	21	22	16
YDR378C	12	13	11	8
YDR165W	50	26	18	27
YDR086C	51	24	26	20
YDR023W	169	86	61	88
YDR394W	65	40	27	31
YDR245W	54	34	17	27
YDL184C	168	117	107	98
YDR434W	13	10	7	10
YDR225W	62	34	27	34
YDR418W	195	96	91	110
YDR224C	139	91	49	88
YDR502C	49	34	36	50
YDR447C	177	140	119	132
YDL039C	11	10	7	9
YDL225W	29	16	7	9
YDR370C	67	33	18	27
YDR298C	73	46	27	40
YDR276C	20	18	9	17
YDL051W	70	60	43	40
YDR221W	21	18	14	19
YDR456W	36	25	10	12
YDL036C	15	7	10	8
snR63	11	12	12	19
YDR334W	51	24	24	24
YDL164C	30	21	16	31
YDR093W	30	11	12	23
YDR071C	44	28	20	28
YDL143W	134	88	66	68
YDR032C	37	24	17	14
YDL166C	23	16	6	9
YDR151C	10	13	2	5
YDR037W	207	125	131	177
YDR172W	79	47	32	44
YDL174C	16	8	5	11
YDR080W	11	9	3	17
YDR047W	16	6	12	14
YDR267C	18	19	7	17
YDL212W	35	23	29	35
YDR044W	20	20	9	11
YDR207C	18	10	4	6
YDL208W	23	15	12	8
YDR135C	68	43	44	62
YDR229W	26	10	7	13
YDR027C	13	10	8	7
YDR518W	22	15	12	16
YDR055W	22	12	8	15
YDR177W	21	12	11	13
YDL014W	100	72	67	101
YDR137W	19	12	9	14
YDL153C	74	36	18	38
YDL219W	12	10	8	4
YDR033W	130	75	80	108
YDR035W	49	34	31	28
YDR510W	50	39	31	31
YDL055C	835	578	485	499
YDL103C	24	17	12	20
YDR087C	16	14	9	7
YDL236W	31	17	17	19
YDR012W	39	19	17	19
YDL121C	56	51	24	57
tG(GCC)D2	109	126	105	54
YDL190C	28	19	12	18
YDL047W	25	12	5	9
YDR099W	75	58	46	52
YDR164C	28	21	10	20
YDL020C	33	9	11	22
YDR152W	6	10	2	11
YDL148C	77	37	30	42
YDR507C	29	15	11	13
YDL003W	15	13	6	5
YDR524C-B	83	45	40	50
YDR371W	11	12	0	9
YDR335W	102	65	50	76
YDR351W	13	14	6	5
YDL150W	13	12	5	3
YDR364C	27	6	7	10
YDR309C	19	12	7	11
YDR300C	32	22	15	15
YDL168W	34	32	21	21
YDR321W	41	20	16	40
YDL030W	12	11	3	6
YDR468C	13	7	7	10
YDL084W	220	142	134	129
YDL229W	259	152	235	321
YDR329C	13	2	4	11
YDR034C	13	9	6	13
YDR312W	15	15	10	19
YDL061C	42	24	21	26
YDL040C	94	68	40	71
YDR145W	13	10	5	6
YDL231C	14	13	12	14
