sample_1	sample_2	euclidean_top5000	correlation_distance_top5000
Sample_1	Sample_2	125.4266	1.7440165
Sample_1	Sample_3	128.94186	1.7186998
Sample_1	Sample_4	48.716897	0.29155818
Sample_1	Sample_5	123.82056	1.7010678
Sample_1	Sample_6	59.683418	0.50282042
Sample_1	Sample_7	125.60993	1.7247368
Sample_1	Sample_8	56.987169	0.45929902
Sample_1	Sample_9	57.705092	0.43496079
Sample_2	Sample_3	50.052502	0.25514579
Sample_2	Sample_4	128.01713	1.835496
Sample_2	Sample_5	45.05933	0.22374831
Sample_2	Sample_6	116.67117	1.7650952
Sample_2	Sample_7	42.585678	0.19179321
Sample_2	Sample_8	115.61175	1.7554137
Sample_2	Sample_9	119.94918	1.7827698
Sample_3	Sample_4	130.09715	1.7643856
Sample_3	Sample_5	60.195379	0.3745213
Sample_3	Sample_6	119.71382	1.7174287
Sample_3	Sample_7	59.029677	0.35676531
Sample_3	Sample_8	116.46139	1.6412282
Sample_3	Sample_9	121.33241	1.6935994
Sample_4	Sample_5	126.24366	1.7846213
Sample_4	Sample_6	46.397159	0.30658584
Sample_4	Sample_7	128.12211	1.8089959
Sample_4	Sample_8	50.401096	0.36495554
Sample_4	Sample_9	50.966825	0.33878761
Sample_5	Sample_6	114.03365	1.6775933
Sample_5	Sample_7	44.132067	0.21623831
Sample_5	Sample_8	115.4197	1.7505736
Sample_5	Sample_9	119.89226	1.7905019
Sample_6	Sample_7	116.85612	1.7263577
Sample_6	Sample_8	45.876319	0.37572597
Sample_6	Sample_9	50.870073	0.39812193
Sample_7	Sample_8	117.61702	1.7856634
Sample_7	Sample_9	118.22074	1.7181788
Sample_8	Sample_9	46.396557	0.3366127
