pc	rank_abs_loading	gene	loading
1	1	SERPINB4	-0.095987697
1	2	S100A7A	-0.089164241
1	3	S100A9	-0.088807537
1	4	SPRR2A	-0.087544638
1	5	S100A8	-0.087159431
1	6	S100A7	-0.085857516
1	7	PI3	-0.078067372
1	8	DEFB4A	-0.076061193
1	9	SPRR2B	-0.072721719
1	10	SPRR2F	-0.072433654
1	11	TCN1	-0.071075895
1	12	HEPHL1	-0.070551875
1	13	KRT6C	-0.070273654
1	14	RHCG	-0.066928917
1	15	SERPINB3	-0.063803269
1	16	KRT16	-0.06206085
1	17	SPRR2D	-0.057297164
1	18	TMPRSS11D	-0.056174224
1	19	KRT6A	-0.054187014
1	20	G25746	0.053088715
1	21	LCE3E	-0.05282101
1	22	AKR1B10	-0.052752769
1	23	IFI27	-0.052071272
1	24	LCE3A	-0.051605218
1	25	SPRR2G	-0.051477873
1	26	LCE3D	-0.051421784
1	27	LCN2	-0.051382888
1	28	ATP12A	-0.051078051
1	29	GDA	-0.050271857
1	30	BTC	0.049858584
1	31	GJB2	-0.048949168
1	32	IL36A	-0.048819883
1	33	IL36G	-0.04819689
1	34	KRT77	0.047978774
1	35	SLC6A14	-0.047975584
1	36	LTF	-0.047508033
1	37	S100A12	-0.047392828
1	38	KYNU	-0.047085982
1	39	RAB3B	0.043832676
1	40	OASL	-0.043547598
1	41	C10orf99	-0.043323801
1	42	SCARA5	0.043279471
1	43	TNIP3	-0.042759461
1	44	H19	0.042554471
1	45	CHAC1	-0.042071896
1	46	EPGN	-0.042028666
1	47	KRT6B	-0.041718927
1	48	NOS2	-0.041520785
1	49	OAS2	-0.041106876
1	50	CHI3L2	-0.041084792
2	1	AADACL3	0.12260809
2	2	ELOVL3	0.11227174
2	3	IGHA1	-0.10951101
2	4	SEC14L6	0.10938836
2	5	THRSP	0.10866373
2	6	PM20D1	0.10811361
2	7	FADS2	0.10615512
2	8	GAL	0.10335454
2	9	KRT79	0.10187837
2	10	XIST	0.098075522
2	11	AWAT2	0.095358516
2	12	DGAT2L6	0.093866757
2	13	RPS4Y1	-0.092140987
2	14	TXLNGY	-0.084723265
2	15	PRKY	-0.084611443
2	16	FADS1	0.08411237
2	17	JCHAIN	-0.08261694
2	18	DDX3Y	-0.082357385
2	19	USP9Y	-0.082066285
2	20	AWAT1	0.081742813
2	21	UTY	-0.081355918
2	22	IGKC	-0.080675281
2	23	GPD1	0.077577929
2	24	IGHA2	-0.077467225
2	25	TF	0.076664097
2	26	CRAT	0.074841551
2	27	ZFY	-0.074779702
2	28	PNPLA5	0.074764944
2	29	KDM5D	-0.074653558
2	30	TMEM56	0.072235715
2	31	HSD3B1	0.068146063
2	32	MOGAT2	0.067727647
2	33	GLDC	0.067271009
2	34	PDZK1	0.062565633
2	35	CIDEA	0.061380575
2	36	ROS1	0.059952019
2	37	CYP4F8	0.05978814
2	38	IGLC3	-0.059292987
2	39	EIF1AY	-0.059154501
2	40	SOAT1	0.059069517
2	41	HAO2	0.058816176
2	42	INSIG1	0.058684241
2	43	RP11-459E5.1	0.05826438
2	44	FAR2	0.057754407
2	45	CHI3L1	0.056698443
2	46	SGK2	0.054961416
2	47	IGLC2	-0.054931297
2	48	MUC1	0.053911462
2	49	TTTY15	-0.053860984
2	50	DCD	-0.053207609
3	1	MTCO1P12	0.11135514
3	2	TYRP1	0.093248703
3	3	PMEL	0.085612126
3	4	XLOC_013994	0.084647594
3	5	GSTM1	-0.084064257
3	6	IGHA1	-0.081867325
3	7	TYR	0.080465476
3	8	DCT	0.077827117
3	9	PCSK2	0.074187365
3	10	XIST	-0.072433459
3	11	DCD	0.071174772
3	12	IGHG3	-0.070135959
3	13	IGLC3	-0.069610046
3	14	IGHG1	-0.067071725
3	15	RPS4Y1	0.065975177
3	16	FOS	0.065794989
3	17	IGHG2	-0.063978272
3	18	IGKC	-0.063616792
3	19	MLANA	0.061855207
3	20	HLA-DQB1	0.059319879
3	21	CLDN17	-0.058033866
3	22	MGST1	-0.057948566
3	23	PER1	-0.056870436
3	24	TPPP3	0.055730799
3	25	UTY	0.054307915
3	26	CLEC3A	-0.053930625
3	27	IGLC2	-0.053609619
3	28	SYT8	-0.053363563
3	29	DDX3Y	0.053169931
3	30	GPR158	0.052637527
3	31	PLP1	0.052357984
3	32	IGLV1-47	-0.052057669
3	33	FABP7	-0.051770105
3	34	MMP7	0.051533699
3	35	CFTR	0.051411481
3	36	FRG2HP	0.050846632
3	37	USP9Y	0.050151495
3	38	ZFY	0.049984062
3	39	RP11-20D14.6	0.049867985
3	40	KDM5D	0.048431216
3	41	KRT71	0.047879138
3	42	IGKV3-20	-0.047751861
3	43	ADAMTS15	-0.047303284
3	44	IGLV3-21	-0.046847714
3	45	IGFBP2	-0.046731168
3	46	L1CAM	0.046580435
3	47	PPARG	-0.046092533
3	48	IGHG4	-0.046070064
3	49	EDNRB	0.046043351
3	50	GMPR	0.045738244
