top_variable_genes	sample	cluster	silhouette	pcs_for_90pct
500	Sample_1	A	0.74800855	3
500	Sample_2	B	0.74800855	3
500	Sample_3	B	0.74800855	3
500	Sample_4	A	0.74800855	3
500	Sample_5	B	0.74800855	3
500	Sample_6	A	0.74800855	3
500	Sample_7	B	0.74800855	3
500	Sample_8	A	0.74800855	3
500	Sample_9	A	0.74800855	3
1000	Sample_1	A	0.74989686	3
1000	Sample_2	B	0.74989686	3
1000	Sample_3	B	0.74989686	3
1000	Sample_4	A	0.74989686	3
1000	Sample_5	B	0.74989686	3
1000	Sample_6	A	0.74989686	3
1000	Sample_7	B	0.74989686	3
1000	Sample_8	A	0.74989686	3
1000	Sample_9	A	0.74989686	3
2000	Sample_1	A	0.6911663	4
2000	Sample_2	B	0.6911663	4
2000	Sample_3	B	0.6911663	4
2000	Sample_4	A	0.6911663	4
2000	Sample_5	B	0.6911663	4
2000	Sample_6	A	0.6911663	4
2000	Sample_7	B	0.6911663	4
2000	Sample_8	A	0.6911663	4
2000	Sample_9	A	0.6911663	4
5000	Sample_1	A	0.67742274	4
5000	Sample_2	B	0.67742274	4
5000	Sample_3	B	0.67742274	4
5000	Sample_4	A	0.67742274	4
5000	Sample_5	B	0.67742274	4
5000	Sample_6	A	0.67742274	4
5000	Sample_7	B	0.67742274	4
5000	Sample_8	A	0.67742274	4
5000	Sample_9	A	0.67742274	4
