rank_abs_welch_stat	gene	mean_log2_tpm1_A	mean_log2_tpm1_B	B_minus_A	welch_stat
1	PIK3C2G	5.1373491	6.762108	1.6247589	40.836166
2	PGM2	8.0269098	6.6565587	-1.3703511	-39.596328
3	SERPINB4	11.546235	0.67120716	-10.875028	-38.438847
4	LCE5A	1.3952654	5.3088707	3.9136053	38.132491
5	BMP3	0.052697603	1.6962397	1.6435421	37.954779
6	SPRR2A	10.389256	0.4946633	-9.8945924	-37.206611
7	RGMB	4.9698248	7.053712	2.0838873	36.352906
8	S100A8	13.503849	3.6276693	-9.8761794	-33.859714
9	SNTB1	1.7882607	6.0871858	4.2989251	33.60351
10	LCE3A	6.0056441	0.15118244	-5.8544617	-32.816353
11	SPRR2B	8.7684563	0.54146684	-8.2269895	-32.116733
12	S100A9	13.883593	3.8223885	-10.061204	-31.976706
13	BCAR3	1.9278077	4.7362011	2.8083934	31.593729
14	CHAC1	4.9143357	0.15901806	-4.7553177	-29.263226
15	S100A7A	10.491793	0.43033812	-10.061455	-28.308756
16	GJB2	11.866422	6.340367	-5.5260555	-28.170374
17	HMOX2	6.2416378	4.8168908	-1.4247471	-27.954298
18	GSTO2	4.6869375	5.6715262	0.9845887	27.786143
19	ERBB4	0.078188147	3.195582	3.1173939	26.988178
20	S100A12	5.3973526	0.059555368	-5.3377972	-26.942834
21	MAPRE3	2.9436231	4.440222	1.4965989	25.93816
22	CLCA2	10.319236	8.6910126	-1.6282233	-25.804814
23	BTC	0.98969058	6.6489646	5.659274	25.688881
24	NPAS1	0.71489891	2.6120741	1.8971752	24.564262
25	PI3	10.299268	1.4787797	-8.8204879	-24.483657
26	S100A7	12.761335	3.0230639	-9.7382708	-24.336043
27	SNHG14	3.0376454	4.736598	1.6989526	24.25686
28	ADAMTS9-AS2	0.47903841	1.7748452	1.2958067	24.097425
29	GJB6	9.9821436	5.5942327	-4.3879109	-23.958078
30	ZNF138	3.6552823	5.0024222	1.3471399	23.947434
31	CHRM4	0.056747479	2.59535	2.5386025	23.827082
32	KCNJ1	0.1838639	1.1313189	0.94745497	23.610733
33	RTN4RL1	2.0634808	4.2269986	2.1635178	23.496587
34	GHc-857G6.7	0.2634683	1.0920547	0.82858642	23.320514
35	SERPINB3	11.252585	4.0420442	-7.210541	-23.130729
36	OASL	5.5731569	0.63698873	-4.9361682	-22.941975
37	HUNK	2.0434505	4.1138882	2.0704377	22.905682
38	PDZK1IP1	7.429088	5.2174098	-2.2116781	-22.558561
39	G25746	0.58079786	6.5836232	6.0028253	22.376359
40	GLRX3	6.9330997	5.847591	-1.0855087	-22.341746
41	MAB21L1	0.064383272	1.3352354	1.2708522	22.225258
42	NFIX	5.826581	7.7024199	1.8758389	21.846131
43	WNK2	0.97987517	5.1286296	4.1487545	21.761049
44	TYMP	7.6477042	3.4837149	-4.1639893	-21.547509
45	STAT1	8.8460251	6.8563697	-1.9896554	-21.168056
46	LEPR	3.0389584	5.5803588	2.5414004	21.144759
47	BOC	4.6172299	6.6470101	2.0297801	21.068027
48	LCE3E	7.3135961	1.3274635	-5.9861325	-20.970401
49	SPRR1B	8.8062484	4.4023984	-4.40385	-20.893443
50	TTC21B	3.7810626	5.2845169	1.5034543	20.885139
51	CADM3	0.58855487	3.1917256	2.6031708	20.745733
52	LINC01091	0.69238862	3.1452777	2.452889	20.610917
53	C5orf49	0.11929933	1.3021804	1.182881	20.594812
54	ADSSL1	1.3639403	2.9048026	1.5408623	20.510594
55	CACNA2D1	3.1605155	5.7844054	2.6238899	20.453701
56	KYNU	6.9653486	1.6367277	-5.328621	-20.452424
57	PYGL	7.4285111	5.4545025	-1.9740087	-20.428456
58	TCN1	8.1335234	0.11507548	-8.0184479	-20.109741
59	SLC45A4	2.7775084	4.9081393	2.1306308	20.06564
60	EIF4A3	7.41046	6.1576065	-1.2528535	-20.033638
61	TUBB6	8.2358795	6.3414369	-1.8944426	-19.93172
62	CSNK1A1	9.1758984	8.2712515	-0.90464685	-19.722492
63	CCDC109B	5.6252063	4.3000989	-1.3251075	-19.685553
64	SMAD4	5.9409536	7.0053824	1.0644288	19.655601
65	DEFB4A	8.7305695	0.17078496	-8.5597845	-19.566539
66	POLR3G	5.0833516	3.1002914	-1.9830602	-19.534933
67	RHCG	8.4942129	0.94720841	-7.5470044	-19.522105
68	AADAC	1.941558	4.3254838	2.3839259	19.513485
69	BGN	2.6853229	5.2605864	2.5752636	19.335718
70	PLXNA4	1.8798434	4.7499299	2.8700865	19.147437
71	WDTC1	5.0057286	6.0992525	1.093524	18.939694
72	ZDHHC9	4.7424656	6.3213403	1.5788747	18.87971
73	SERINC3	7.7224464	8.327498	0.60505165	18.713223
74	CNTN4	0.30780171	2.0704643	1.7626626	18.696018
75	DZIP1L	1.9601991	4.2852461	2.325047	18.654544
76	SPRR2F	8.2949652	0.15956515	-8.1354001	-18.601662
77	SMIM12	5.5314478	4.8520028	-0.67944497	-18.596876
78	PTPRF	8.1185179	9.4521528	1.3336349	18.559553
79	ZC3H12A	7.8764508	4.3068977	-3.5695531	-18.529227
80	AMMECR1	7.1181484	5.8733447	-1.2448037	-18.495142
81	ADGRA2	2.8902039	5.4374894	2.5472856	18.358032
82	H6PD	6.5839538	8.0304031	1.4464493	18.334877
83	CSTA	10.396851	8.5529993	-1.8438517	-18.330422
84	ANKH	5.634479	6.966763	1.3322841	18.329767
85	RP11-600F24.7	1.3288532	2.8155736	1.4867203	18.148944
86	HERC6	6.6872569	3.0874557	-3.5998012	-18.117673
87	FUT3	4.0933622	0.97735896	-3.1160033	-18.0893
88	IL36A	5.5206159	0.023992861	-5.4966231	-18.054058
89	XLOC_003378	2.0492446	0.34108208	-1.7081625	-18.042626
90	IL20	2.9308225	0.038553455	-2.892269	-17.960325
91	HEPHL1	9.4684761	1.5201793	-7.9482968	-17.957829
92	MTMR3	3.388384	4.3063331	0.91794912	17.954265
93	PARP9	7.2679022	4.5505347	-2.7173675	-17.932507
94	MEGF9	6.7003692	7.8960124	1.1956431	17.878005
95	MIR99AHG	2.47696	4.1711954	1.6942354	17.86452
96	CEP68	4.6403876	6.0536508	1.4132631	17.804489
97	CCDC191	2.4958865	3.5450658	1.0491793	17.732172
98	FBXO32	4.3745702	5.7795175	1.4049473	17.707382
99	RXRA	7.2704595	8.5391015	1.268642	17.696263
100	CHD6	5.6915657	6.9615133	1.2699476	17.680316
101	FBXW11	7.226626	6.312218	-0.91440808	-17.653485
102	IL17RE	3.7999573	5.4709745	1.6710172	17.647422
103	PTPN21	4.6754131	7.1448606	2.4694475	17.609706
104	CTSC	7.818972	5.5582293	-2.2607427	-17.588896
105	CREBRF	4.8265916	6.3353953	1.5088037	17.502283
106	TFDP1	6.9746564	6.2150392	-0.75961717	-17.494611
107	DCHS1	2.4522538	4.4980575	2.0458037	17.419906
108	TNNC1	0.12072544	2.5242961	2.4035706	17.387146
109	ARHGEF9	4.396762	5.0212157	0.62445366	17.350819
110	GSTM5	0.35306163	2.2019338	1.8488722	17.33034
111	ATP1B1	8.3020682	5.4618842	-2.840184	-17.279769
