panel	gene	sample	TPM	log2_TPM_plus_1	gene_z_across_samples
IL17_ANTIMICROBIAL	DEFB4A	Sample_1	1137.0908	10.1524	1.1452339
IL17_ANTIMICROBIAL	DEFB4A	Sample_2	0	0	-1.0795028
IL17_ANTIMICROBIAL	DEFB4A	Sample_3	0.20635451	0.27065393	-1.0201933
IL17_ANTIMICROBIAL	DEFB4A	Sample_4	516.60051	9.0156952	0.89614318
IL17_ANTIMICROBIAL	DEFB4A	Sample_5	0.26541304	0.33960837	-1.0050831
IL17_ANTIMICROBIAL	DEFB4A	Sample_6	199.31487	7.6461257	0.59602384
IL17_ANTIMICROBIAL	DEFB4A	Sample_7	0.051812494	0.07287754	-1.0635329
IL17_ANTIMICROBIAL	DEFB4A	Sample_8	270.15929	8.0829968	0.69175717
IL17_ANTIMICROBIAL	DEFB4A	Sample_9	431.22235	8.7556299	0.83915399
IL17_ANTIMICROBIAL	S100A7	Sample_1	5356.3996	12.387317	0.76674474
IL17_ANTIMICROBIAL	S100A7	Sample_2	5.5279369	2.7066271	-1.1104493
IL17_ANTIMICROBIAL	S100A7	Sample_3	3.3016721	2.1048976	-1.2271313
IL17_ANTIMICROBIAL	S100A7	Sample_4	7364.7893	12.846624	0.85580954
IL17_ANTIMICROBIAL	S100A7	Sample_5	13.270652	3.8349794	-0.89164915
IL17_ANTIMICROBIAL	S100A7	Sample_6	8333.0204	13.024797	0.89035918
IL17_ANTIMICROBIAL	S100A7	Sample_7	9.8961864	3.4457514	-0.9671248
IL17_ANTIMICROBIAL	S100A7	Sample_8	6566.3493	12.681095	0.82371163
IL17_ANTIMICROBIAL	S100A7	Sample_9	7468.7248	12.866839	0.85972945
IL17_ANTIMICROBIAL	S100A7A	Sample_1	1595.7098	10.640886	0.86660935
IL17_ANTIMICROBIAL	S100A7A	Sample_2	0.22563008	0.29352361	-1.0739686
IL17_ANTIMICROBIAL	S100A7A	Sample_3	0.48149385	0.56705264	-1.02267
IL17_ANTIMICROBIAL	S100A7A	Sample_4	2593.0665	11.341	0.99791087
IL17_ANTIMICROBIAL	S100A7A	Sample_5	0.44235507	0.52842637	-1.0299141
IL17_ANTIMICROBIAL	S100A7A	Sample_6	1916.2411	10.904816	0.91610757
IL17_ANTIMICROBIAL	S100A7A	Sample_7	0.25906247	0.33234987	-1.066687
IL17_ANTIMICROBIAL	S100A7A	Sample_8	618.58769	9.2751647	0.61047748
IL17_ANTIMICROBIAL	S100A7A	Sample_9	1257.1597	10.297099	0.80213442
IL17_ANTIMICROBIAL	S100A8	Sample_1	11021.076	13.428108	0.8267083
IL17_ANTIMICROBIAL	S100A8	Sample_2	6.2048271	2.8489638	-1.2007674
IL17_ANTIMICROBIAL	S100A8	Sample_3	10.868004	3.5690054	-1.0627726
IL17_ANTIMICROBIAL	S100A8	Sample_4	12117.538	13.564928	0.85292956
IL17_ANTIMICROBIAL	S100A8	Sample_5	14.951601	3.9956294	-0.98101082
IL17_ANTIMICROBIAL	S100A8	Sample_6	10834.842	13.403524	0.82199669
IL17_ANTIMICROBIAL	S100A8	Sample_7	16.113686	4.0970786	-0.96156825
IL17_ANTIMICROBIAL	S100A8	Sample_8	10656.018	13.379516	0.81739569
IL17_ANTIMICROBIAL	S100A8	Sample_9	13711.151	13.743167	0.88708883
IL17_ANTIMICROBIAL	S100A9	Sample_1	14929.83	13.866007	0.83766381
IL17_ANTIMICROBIAL	S100A9	Sample_2	7.3329775	3.0588321	-1.1948141
IL17_ANTIMICROBIAL	S100A9	Sample_3	11.211928	3.6102191	-1.0911161
IL17_ANTIMICROBIAL	S100A9	Sample_4	15388.784	13.909685	0.84587834
IL17_ANTIMICROBIAL	S100A9	Sample_5	20.08292	4.3980028	-0.94295963
IL17_ANTIMICROBIAL	S100A9	Sample_6	14053.446	13.778739	0.82125157
IL17_ANTIMICROBIAL	S100A9	Sample_7	17.668061	4.2225001	-0.97596597
IL17_ANTIMICROBIAL	S100A9	Sample_8	13407.46	13.710856	0.808485
IL17_ANTIMICROBIAL	S100A9	Sample_9	18211.942	14.152676	0.89157704
IL17_ANTIMICROBIAL	S100A12	Sample_1	56.188423	5.8376512	0.99372022
IL17_ANTIMICROBIAL	S100A12	Sample_2	0	0	-1.0687426
IL17_ANTIMICROBIAL	S100A12	Sample_3	0.068784836	0.095971444	-1.0348355
IL17_ANTIMICROBIAL	S100A12	Sample_4	54.575799	5.7963849	0.97914068
IL17_ANTIMICROBIAL	S100A12	Sample_5	0	0	-1.0687426
IL17_ANTIMICROBIAL	S100A12	Sample_6	29.065952	4.9100588	0.66599853
IL17_ANTIMICROBIAL	S100A12	Sample_7	0.10362499	0.14225003	-1.0184851
IL17_ANTIMICROBIAL	S100A12	Sample_8	30.778369	4.9899732	0.69423258
IL17_ANTIMICROBIAL	S100A12	Sample_9	42.795016	5.4526948	0.85771376
IL17_ANTIMICROBIAL	LCN2	Sample_1	157.24475	7.3060138	0.73946171
IL17_ANTIMICROBIAL	LCN2	Sample_2	2.6511534	1.8683523	-1.0129072
IL17_ANTIMICROBIAL	LCN2	Sample_3	4.608584	2.4876366	-0.81333341
IL17_ANTIMICROBIAL	LCN2	Sample_4	285.84671	8.1641362	1.0160046
IL17_ANTIMICROBIAL	LCN2	Sample_5	2.0348333	1.6016173	-1.0988666
IL17_ANTIMICROBIAL	LCN2	Sample_6	198.39336	7.6394736	0.84692416
IL17_ANTIMICROBIAL	LCN2	Sample_7	1.2953124	1.1986905	-1.2287158
IL17_ANTIMICROBIAL	LCN2	Sample_8	105.94087	6.7406695	0.55727094
IL17_ANTIMICROBIAL	LCN2	Sample_9	272.68189	8.0963562	0.9941615
IL17_ANTIMICROBIAL	PI3	Sample_1	1011.5987	9.9838468	0.77119739
IL17_ANTIMICROBIAL	PI3	Sample_2	0.78970527	0.83972202	-1.1850645
IL17_ANTIMICROBIAL	PI3	Sample_3	1.1693422	1.1172577	-1.1256895
IL17_ANTIMICROBIAL	PI3	Sample_4	2020.6968	10.981351	0.98459992
IL17_ANTIMICROBIAL	PI3	Sample_5	2.8310725	1.9377483	-0.95015665
IL17_ANTIMICROBIAL	PI3	Sample_6	891.13829	9.8011236	0.73210622
IL17_ANTIMICROBIAL	PI3	Sample_7	3.0569372	2.020391	-0.93247637
IL17_ANTIMICROBIAL	PI3	Sample_8	1201.0755	10.231312	0.82413918
IL17_ANTIMICROBIAL	PI3	Sample_9	1445.8556	10.498705	0.88134439
IL17_ANTIMICROBIAL	IL36A	Sample_1	96.017318	6.6001704	1.199516
IL17_ANTIMICROBIAL	IL36A	Sample_2	0	0	-1.0480395
IL17_ANTIMICROBIAL	IL36A	Sample_3	0.068784836	0.095971444	-1.0153584
IL17_ANTIMICROBIAL	IL36A	Sample_4	51.791319	5.7222288	0.9005506
IL17_ANTIMICROBIAL	IL36A	Sample_5	0	0	-1.0480395
IL17_ANTIMICROBIAL	IL36A	Sample_6	38.319446	5.2971711	0.75580572
IL17_ANTIMICROBIAL	IL36A	Sample_7	0	0	-1.0480395
IL17_ANTIMICROBIAL	IL36A	Sample_8	33.482263	5.1077826	0.69131327
IL17_ANTIMICROBIAL	IL36A	Sample_9	28.358916	4.8757268	0.61229134
IL17_ANTIMICROBIAL	IL36G	Sample_1	610.61768	9.2564863	0.91965695
IL17_ANTIMICROBIAL	IL36G	Sample_2	6.7689023	2.9577108	-1.2544074
IL17_ANTIMICROBIAL	IL36G	Sample_3	9.0108135	3.3234873	-1.1281572
IL17_ANTIMICROBIAL	IL36G	Sample_4	569.62496	9.156399	0.88511116
IL17_ANTIMICROBIAL	IL36G	Sample_5	20.613746	4.4338773	-0.7448987
IL17_ANTIMICROBIAL	IL36G	Sample_6	450.57986	8.8188373	0.76859949
IL17_ANTIMICROBIAL	IL36G	Sample_7	10.776999	3.5579	-1.0472481
IL17_ANTIMICROBIAL	IL36G	Sample_8	484.62987	8.9237134	0.80479815
IL17_ANTIMICROBIAL	IL36G	Sample_9	476.64794	8.8998038	0.79654562
IL17_ANTIMICROBIAL	SERPINB3	Sample_1	2341.9666	11.194121	0.822455
IL17_ANTIMICROBIAL	SERPINB3	Sample_2	14.947993	3.9953029	-1.0593914
IL17_ANTIMICROBIAL	SERPINB3	Sample_3	9.9738012	3.4559914	-1.2003731
IL17_ANTIMICROBIAL	SERPINB3	Sample_4	3219.9324	11.653263	0.94247952
IL17_ANTIMICROBIAL	SERPINB3	Sample_5	22.383167	4.5473984	-0.91506789
IL17_ANTIMICROBIAL	SERPINB3	Sample_6	2989.5311	11.546186	0.91448857
IL17_ANTIMICROBIAL	SERPINB3	Sample_7	16.994498	4.169484	-1.0138587
IL17_ANTIMICROBIAL	SERPINB3	Sample_8	1401.5376	10.453824	0.62893362
IL17_ANTIMICROBIAL	SERPINB3	Sample_9	2730.6043	11.415533	0.88033445
IL17_ANTIMICROBIAL	SERPINB4	Sample_1	3342.3828	11.707093	0.86891024
IL17_ANTIMICROBIAL	SERPINB4	Sample_2	0.2820376	0.35843857	-1.1055712
IL17_ANTIMICROBIAL	SERPINB4	Sample_3	0.61906352	0.69515959	-1.0469872
IL17_ANTIMICROBIAL	SERPINB4	Sample_4	2813.0006	11.458407	0.82564293
IL17_ANTIMICROBIAL	SERPINB4	Sample_5	0.97318116	0.98052342	-0.99733857
IL17_ANTIMICROBIAL	SERPINB4	Sample_6	3772.1232	11.881544	0.89926182
IL17_ANTIMICROBIAL	SERPINB4	Sample_7	0.56993744	0.65070707	-1.0547213
IL17_ANTIMICROBIAL	SERPINB4	Sample_8	1571.0488	10.61843	0.67950064
IL17_ANTIMICROBIAL	SERPINB4	Sample_9	4285.8535	12.065703	0.93130265
KERATINOCYTE_HYPERPROLIFERATION	KRT6A	Sample_1	18805.175	14.198919	0.94072779
KERATINOCYTE_HYPERPROLIFERATION	KRT6A	Sample_2	344.64994	8.4331679	-0.81345229
KERATINOCYTE_HYPERPROLIFERATION	KRT6A	Sample_3	341.86064	8.4214785	-0.81700869
KERATINOCYTE_HYPERPROLIFERATION	KRT6A	Sample_4	14874.491	13.86065	0.83781232
KERATINOCYTE_HYPERPROLIFERATION	KRT6A	Sample_5	127.39826	7.0044819	-1.2481177
KERATINOCYTE_HYPERPROLIFERATION	KRT6A	Sample_6	11417.621	13.479101	0.72172935
KERATINOCYTE_HYPERPROLIFERATION	KRT6A	Sample_7	119.8423	6.9169817	-1.2747389
KERATINOCYTE_HYPERPROLIFERATION	KRT6A	Sample_8	17536.422	14.098149	0.91006946
KERATINOCYTE_HYPERPROLIFERATION	KRT6A	Sample_9	11984.016	13.548944	0.74297863
KERATINOCYTE_HYPERPROLIFERATION	KRT6B	Sample_1	6033.5598	12.559033	1.1070362
KERATINOCYTE_HYPERPROLIFERATION	KRT6B	Sample_2	305.3339	8.2589612	-0.49599048
KERATINOCYTE_HYPERPROLIFERATION	KRT6B	Sample_3	225.06398	7.8205874	-0.65941218
KERATINOCYTE_HYPERPROLIFERATION	KRT6B	Sample_4	3235.2868	11.660124	0.77193129
KERATINOCYTE_HYPERPROLIFERATION	KRT6B	Sample_5	49.72071	5.664503	-1.4631804
KERATINOCYTE_HYPERPROLIFERATION	KRT6B	Sample_6	1226.3759	10.261361	0.25048569
