sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
Sample_1	-53.756323	-19.976623	-29.406801	2.192702	5.9934284	1.078427	-9.0621421	0.18191647	3.7261754e-14
Sample_2	63.926098	-1.3326499	-1.956541	-0.065779441	3.9804671	-20.378524	2.3345075	-13.313562	3.7261754e-14
Sample_3	62.71997	31.193622	-17.548269	-5.5072631	-6.9149883	7.384551	-3.6311994	2.4356954	3.7261754e-14
Sample_4	-58.686001	-4.8572386	-3.0985843	-9.9143669	-18.011329	-2.6467449	17.193465	1.6895544	3.7261754e-14
Sample_5	61.068532	-17.99005	8.7691326	-10.14756	8.1408446	17.615824	5.7241375	-5.8531809	3.7261754e-14
Sample_6	-45.215917	2.0128347	19.944484	-16.714976	-5.4676946	-2.59222	-17.171616	-1.2292574	3.7261754e-14
Sample_7	63.032351	-14.054018	8.3859518	15.211488	-7.0357954	-4.1394871	-2.9499336	16.64568	3.7261754e-14
Sample_8	-44.885429	15.245701	5.8775714	-2.0427513	22.478397	-3.7838796	7.498259	9.96269	3.7261754e-14
Sample_9	-48.20328	9.7584215	9.033056	26.988507	-3.1633293	7.4620537	0.064521482	-10.519536	3.7261754e-14
EXPLAINED_VARIANCE_RATIO	0.75875499	0.0600387	0.049284981	0.039479215	0.028946159	0.023535751	0.021048585	0.018911615	3.3338927e-31
