scale	metric	value
1000bp	signal_reads	44898157
1000bp	control_reads	27109157
1000bp	malformed_signal_lines	0
1000bp	malformed_control_lines	0
1000bp	union_bins	2856282
1000bp	signal_control_library_scale	1.6561989367651675
1000bp	log2_ratio_median	-0.04692153178388265
1000bp	log2_ratio_p10	-1.280727815836749
1000bp	log2_ratio_p90	1.1926854910390712
1000bp	signal_control_bin_pearson	0.16750931589773957
1000bp	bins_ratio_ge_1_5_and_signal_ge_10	670092
1000bp	signal_share_ratio_ge_1_5_and_signal_ge_10	0.3895685740508235
1000bp	enriched_runs_ratio_ge_1_5_count	284015
1000bp	enriched_runs_ratio_ge_1_5_median_bins	1.0
1000bp	enriched_runs_ratio_ge_1_5_p90_bins	5.0
1000bp	enriched_runs_ratio_ge_1_5_max_bins	645
1000bp	bins_ratio_ge_2_0_and_signal_ge_10	354106
1000bp	signal_share_ratio_ge_2_0_and_signal_ge_10	0.2348534707115038
1000bp	enriched_runs_ratio_ge_2_0_count	194900
1000bp	enriched_runs_ratio_ge_2_0_median_bins	1.0
1000bp	enriched_runs_ratio_ge_2_0_p90_bins	3.0
1000bp	enriched_runs_ratio_ge_2_0_max_bins	361
1000bp	bins_ratio_ge_4_0_and_signal_ge_10	45849
1000bp	signal_share_ratio_ge_4_0_and_signal_ge_10	0.03972719860193816
1000bp	enriched_runs_ratio_ge_4_0_count	36414
1000bp	enriched_runs_ratio_ge_4_0_median_bins	1.0
1000bp	enriched_runs_ratio_ge_4_0_p90_bins	2.0
1000bp	enriched_runs_ratio_ge_4_0_max_bins	74
5000bp	signal_reads	44898157
5000bp	control_reads	27109157
5000bp	malformed_signal_lines	0
5000bp	malformed_control_lines	0
5000bp	union_bins	580306
5000bp	signal_control_library_scale	1.6561989367651675
5000bp	log2_ratio_median	0.003267850045211765
5000bp	log2_ratio_p10	-1.2069704423972087
5000bp	log2_ratio_p90	1.0339023449985285
5000bp	signal_control_bin_pearson	0.20132211551220758
5000bp	bins_ratio_ge_1_5_and_signal_ge_10	134253
5000bp	signal_share_ratio_ge_1_5_and_signal_ge_10	0.3519916196114687
5000bp	enriched_runs_ratio_ge_1_5_count	54805
5000bp	enriched_runs_ratio_ge_1_5_median_bins	1.0
5000bp	enriched_runs_ratio_ge_1_5_p90_bins	4.0
5000bp	enriched_runs_ratio_ge_1_5_max_bins	583
5000bp	bins_ratio_ge_2_0_and_signal_ge_10	58851
5000bp	signal_share_ratio_ge_2_0_and_signal_ge_10	0.17527752865223398
5000bp	enriched_runs_ratio_ge_2_0_count	32477
5000bp	enriched_runs_ratio_ge_2_0_median_bins	1.0
5000bp	enriched_runs_ratio_ge_2_0_p90_bins	3.0
5000bp	enriched_runs_ratio_ge_2_0_max_bins	432
5000bp	bins_ratio_ge_4_0_and_signal_ge_10	4328
5000bp	signal_share_ratio_ge_4_0_and_signal_ge_10	0.018386857170997018
5000bp	enriched_runs_ratio_ge_4_0_count	2781
5000bp	enriched_runs_ratio_ge_4_0_median_bins	1.0
5000bp	enriched_runs_ratio_ge_4_0_p90_bins	3.0
5000bp	enriched_runs_ratio_ge_4_0_max_bins	39
