input	metric	value
annotation	valid_canonical_rmsk_rows	5317291
annotation	malformed_rmsk_rows	0
signal	ALL_REPEAT	7145539
signal	Simple_repeat	222826
signal	DNA	531232
signal	LINE	3324156
signal	SINE	1680459
signal	LTR	1571413
signal	Satellite	73737
signal	Low_complexity	35227
signal	canonical_total	44795356
signal	malformed	0
signal	coordinate_reversals	48
signal	ALL_REPEAT_fraction_of_canonical_reads	0.1595151738497178
signal	ALL_REPEAT_per_million_reads	159515.1738497178
signal	LINE_fraction_of_canonical_reads	0.07420760312743134
signal	LINE_per_million_reads	74207.60312743133
signal	LTR_fraction_of_canonical_reads	0.035079819434853915
signal	LTR_per_million_reads	35079.81943485392
signal	SINE_fraction_of_canonical_reads	0.037514134277669316
signal	SINE_per_million_reads	37514.13427766932
signal	DNA_fraction_of_canonical_reads	0.011859086464230801
signal	DNA_per_million_reads	11859.0864642308
signal	Satellite_fraction_of_canonical_reads	0.00164608581300258
signal	Satellite_per_million_reads	1646.08581300258
signal	Simple_repeat_fraction_of_canonical_reads	0.0049743102834142
signal	Simple_repeat_per_million_reads	4974.3102834142
signal	Low_complexity_fraction_of_canonical_reads	0.0007863984829141663
signal	Low_complexity_per_million_reads	786.3984829141664
control	ALL_REPEAT	3966080
control	Simple_repeat	152184
control	LINE	1647202
control	SINE	1196616
control	Satellite	24242
control	LTR	724417
control	DNA	368943
control	Low_complexity	27579
control	canonical_total	27088288
control	malformed	0
control	coordinate_reversals	50
control	ALL_REPEAT_fraction_of_canonical_reads	0.14641309188679624
control	ALL_REPEAT_per_million_reads	146413.09188679623
control	LINE_fraction_of_canonical_reads	0.060808641727376794
control	LINE_per_million_reads	60808.64172737679
control	LTR_fraction_of_canonical_reads	0.02674281224416988
control	LTR_per_million_reads	26742.81224416988
control	SINE_fraction_of_canonical_reads	0.04417466323453147
control	SINE_per_million_reads	44174.66323453147
control	DNA_fraction_of_canonical_reads	0.013620019101982376
control	DNA_per_million_reads	13620.019101982378
control	Satellite_fraction_of_canonical_reads	0.0008949255117193084
control	Satellite_per_million_reads	894.9255117193084
control	Simple_repeat_fraction_of_canonical_reads	0.005618073759404802
control	Simple_repeat_per_million_reads	5618.073759404802
control	Low_complexity_fraction_of_canonical_reads	0.0010181152828853562
control	Low_complexity_per_million_reads	1018.1152828853562
normalized	ALL_REPEAT_signal_over_control	1.089487092951031
normalized	LINE_signal_over_control	1.220346335971885
normalized	LTR_signal_over_control	1.3117475871484519
normalized	SINE_signal_over_control	0.8492228696458834
normalized	DNA_signal_over_control	0.8707099729768166
normalized	Satellite_signal_over_control	1.8393551099467054
normalized	Simple_repeat_signal_over_control	0.8854120640703719
normalized	Low_complexity_signal_over_control	0.772406127413685
