input	metric	value
signal	promoter	837571
signal	intergenic	37755838
signal	gene	7039518
signal	exon	624435
signal	gene_nonpromoter	6470466
signal	canonical_total	44795356
signal	malformed	0
signal	coordinate_reversals	48
signal	gene_fraction_of_canonical_reads	0.1571483883284687
signal	gene_nonpromoter_fraction_of_canonical_reads	0.1444450179165894
signal	exon_fraction_of_canonical_reads	0.013939726251980228
signal	promoter_fraction_of_canonical_reads	0.018697719468955667
signal	intergenic_fraction_of_canonical_reads	0.8428516116715313
control	promoter	747949
control	intergenic	21990007
control	gene	5098281
control	exon	584022
control	gene_nonpromoter	4573305
control	canonical_total	27088288
control	malformed	0
control	coordinate_reversals	50
control	gene_fraction_of_canonical_reads	0.188209790149898
control	gene_nonpromoter_fraction_of_canonical_reads	0.168829606359767
control	exon_fraction_of_canonical_reads	0.021559945021257895
control	promoter_fraction_of_canonical_reads	0.02761152716627939
control	intergenic_fraction_of_canonical_reads	0.811790209850102
normalization	control_to_signal_library_scale	1.6536798486489808
normalized	gene_signal_over_control	0.8349639421164503
normalized	gene_nonpromoter_signal_over_control	0.8555668702371116
normalized	exon_signal_over_control	0.646556669705595
normalized	promoter_signal_over_control	0.6771707829254109
normalized	intergenic_signal_over_control	1.0382628435826602
