peak_set	metric	value
annotation	valid_canonical_rmsk_rows	5317291
annotation	malformed_rmsk_rows	0
annotation	rmsk_coordinate_reversals	0
narrow_peaks	canonical_peak_count	12993
narrow_peaks	peaks_overlapping_any_repeat	11342
narrow_peaks	fraction_peaks_overlapping_any_repeat	0.872931578542292
narrow_peaks	class_DNA_peak_count	936
narrow_peaks	class_DNA_peak_fraction	0.07203879011775571
narrow_peaks	class_DNA?_peak_count	4
narrow_peaks	class_DNA?_peak_fraction	0.00030785807742630646
narrow_peaks	class_LINE_peak_count	6221
narrow_peaks	class_LINE_peak_fraction	0.4787962749172631
narrow_peaks	class_LTR_peak_count	3650
narrow_peaks	class_LTR_peak_fraction	0.2809204956515047
narrow_peaks	class_LTR?_peak_count	6
narrow_peaks	class_LTR?_peak_fraction	0.0004617871161394597
narrow_peaks	class_Low_complexity_peak_count	64
narrow_peaks	class_Low_complexity_peak_fraction	0.004925729238820903
narrow_peaks	class_RC_peak_count	1
narrow_peaks	class_RC_peak_fraction	7.696451935657662e-05
narrow_peaks	class_RNA_peak_count	1
narrow_peaks	class_RNA_peak_fraction	7.696451935657662e-05
narrow_peaks	class_Retroposon_peak_count	13
narrow_peaks	class_Retroposon_peak_fraction	0.001000538751635496
narrow_peaks	class_SINE_peak_count	4122
narrow_peaks	class_SINE_peak_fraction	0.3172477487878088
narrow_peaks	class_Satellite_peak_count	176
narrow_peaks	class_Satellite_peak_fraction	0.013545755406757485
narrow_peaks	class_Simple_repeat_peak_count	663
narrow_peaks	class_Simple_repeat_peak_fraction	0.051027476333410295
narrow_peaks	class_Unknown_peak_count	2
narrow_peaks	class_Unknown_peak_fraction	0.00015392903871315323
narrow_peaks	class_rRNA_peak_count	6
narrow_peaks	class_rRNA_peak_fraction	0.0004617871161394597
narrow_peaks	class_scRNA_peak_count	3
narrow_peaks	class_scRNA_peak_fraction	0.00023089355806972986
narrow_peaks	class_snRNA_peak_count	10
narrow_peaks	class_snRNA_peak_fraction	0.0007696451935657662
narrow_peaks	class_srpRNA_peak_count	3
narrow_peaks	class_srpRNA_peak_fraction	0.00023089355806972986
narrow_peaks	class_tRNA_peak_count	5
narrow_peaks	class_tRNA_peak_fraction	0.0003848225967828831
broad_peaks	canonical_peak_count	17992
broad_peaks	peaks_overlapping_any_repeat	16529
broad_peaks	fraction_peaks_overlapping_any_repeat	0.9186860827034238
broad_peaks	class_DNA_peak_count	1627
broad_peaks	class_DNA_peak_fraction	0.0904290795909293
broad_peaks	class_DNA?_peak_count	5
broad_peaks	class_DNA?_peak_fraction	0.0002779012894619831
broad_peaks	class_LINE_peak_count	10139
broad_peaks	class_LINE_peak_fraction	0.5635282347710093
broad_peaks	class_LTR_peak_count	5765
broad_peaks	class_LTR_peak_fraction	0.3204201867496665
broad_peaks	class_LTR?_peak_count	12
broad_peaks	class_LTR?_peak_fraction	0.0006669630947087594
broad_peaks	class_Low_complexity_peak_count	166
broad_peaks	class_Low_complexity_peak_fraction	0.009226322810137839
broad_peaks	class_RC_peak_count	2
broad_peaks	class_RC_peak_fraction	0.00011116051578479324
broad_peaks	class_RNA_peak_count	2
broad_peaks	class_RNA_peak_fraction	0.00011116051578479324
broad_peaks	class_Retroposon_peak_count	27
broad_peaks	class_Retroposon_peak_fraction	0.0015006669630947087
broad_peaks	class_SINE_peak_count	6246
broad_peaks	class_SINE_peak_fraction	0.3471542907959093
broad_peaks	class_Satellite_peak_count	272
broad_peaks	class_Satellite_peak_fraction	0.01511783014673188
broad_peaks	class_Simple_repeat_peak_count	1205
broad_peaks	class_Simple_repeat_peak_fraction	0.06697421076033792
broad_peaks	class_Unknown_peak_count	6
broad_peaks	class_Unknown_peak_fraction	0.0003334815473543797
broad_peaks	class_rRNA_peak_count	14
broad_peaks	class_rRNA_peak_fraction	0.0007781236104935527
broad_peaks	class_scRNA_peak_count	10
broad_peaks	class_scRNA_peak_fraction	0.0005558025789239662
broad_peaks	class_snRNA_peak_count	24
broad_peaks	class_snRNA_peak_fraction	0.0013339261894175188
broad_peaks	class_srpRNA_peak_count	8
broad_peaks	class_srpRNA_peak_fraction	0.00044464206313917296
broad_peaks	class_tRNA_peak_count	10
broad_peaks	class_tRNA_peak_fraction	0.0005558025789239662
