metric	value
peak_count	13251
malformed_overlap_rows	0
positive_overlap_rows	7067
peaks_with_any_ccre	5318
fraction_peaks_with_any_ccre	0.40132820164515887
peaks_with_enhancer_like_ccre	2747
fraction_peaks_with_enhancer_like_ccre	0.2073051090483737
peaks_with_promoter_like_ccre	177
fraction_peaks_with_promoter_like_ccre	0.013357482454154404
peaks_with_promoter_proxy_ccre	1431
fraction_peaks_with_promoter_proxy_ccre	0.10799184967172289
enhancer_covered_fraction_median	0.0
enhancer_covered_fraction_p90	0.5054545454545455
promoter_covered_fraction_median	0.0
promoter_proxy_covered_fraction_median	0.0
type_CA_peak_count	200
type_CA_peak_fraction	0.015093200513168818
type_CA_covered_bp_median	174.0
type_CA_macs_score_median	33.0
type_CA_macs_signal_median	4.142055
type_CA-CTCF_peak_count	183
type_CA-CTCF_peak_fraction	0.013810278469549468
type_CA-CTCF_covered_bp_median	155.0
type_CA-CTCF_macs_score_median	33.0
type_CA-CTCF_macs_signal_median	4.14618
type_CA-H3K4me3_peak_count	1265
type_CA-H3K4me3_peak_fraction	0.09546449324579277
type_CA-H3K4me3_covered_bp_median	180.0
type_CA-H3K4me3_macs_score_median	38.0
type_CA-H3K4me3_macs_signal_median	4.3469
type_CA-TF_peak_count	77
type_CA-TF_peak_fraction	0.005810882197569995
type_CA-TF_covered_bp_median	155.0
type_CA-TF_macs_score_median	33.0
type_CA-TF_macs_signal_median	4.16428
type_PLS_peak_count	177
type_PLS_peak_fraction	0.013357482454154404
type_PLS_covered_bp_median	168.0
type_PLS_macs_score_median	43.0
type_PLS_macs_signal_median	4.54762
type_TF_peak_count	1158
type_TF_peak_fraction	0.08738963097124745
type_TF_covered_bp_median	193.0
type_TF_macs_score_median	37.0
type_TF_macs_signal_median	4.27489
type_dELS_peak_count	2137
type_dELS_peak_fraction	0.1612708474832088
type_dELS_covered_bp_median	200.0
type_dELS_macs_score_median	35.0
type_dELS_macs_signal_median	4.23124
type_pELS_peak_count	632
type_pELS_peak_fraction	0.04769451362161346
type_pELS_covered_bp_median	207.0
type_pELS_macs_score_median	40.0
type_pELS_macs_signal_median	4.30579
