peak_set	metric	value
narrow_peaks	canonical_peak_count	12993
narrow_peaks	malformed_lines	0
narrow_peaks	peaks_overlapping_gene	9062
narrow_peaks	fraction_peaks_overlapping_gene	0.6974524744092974
narrow_peaks	covered_fraction_gene_median	1.0
narrow_peaks	covered_fraction_gene_p90	1.0
narrow_peaks	peaks_overlapping_gene_nonpromoter	8115
narrow_peaks	fraction_peaks_overlapping_gene_nonpromoter	0.6245670745786193
narrow_peaks	covered_fraction_gene_nonpromoter_median	1.0
narrow_peaks	covered_fraction_gene_nonpromoter_p90	1.0
narrow_peaks	peaks_overlapping_exon	2312
narrow_peaks	fraction_peaks_overlapping_exon	0.17794196875240514
narrow_peaks	covered_fraction_exon_median	0.0
narrow_peaks	covered_fraction_exon_p90	0.8364052989616918
narrow_peaks	peaks_overlapping_promoter	1549
narrow_peaks	fraction_peaks_overlapping_promoter	0.11921804048333719
narrow_peaks	covered_fraction_promoter_median	0.0
narrow_peaks	covered_fraction_promoter_p90	0.924430568991295
broad_peaks	canonical_peak_count	17992
broad_peaks	malformed_lines	0
broad_peaks	peaks_overlapping_gene	11814
broad_peaks	fraction_peaks_overlapping_gene	0.6566251667407736
broad_peaks	covered_fraction_gene_median	1.0
broad_peaks	covered_fraction_gene_p90	1.0
broad_peaks	peaks_overlapping_gene_nonpromoter	10726
broad_peaks	fraction_peaks_overlapping_gene_nonpromoter	0.5961538461538461
broad_peaks	covered_fraction_gene_nonpromoter_median	1.0
broad_peaks	covered_fraction_gene_nonpromoter_p90	1.0
broad_peaks	peaks_overlapping_exon	2459
broad_peaks	fraction_peaks_overlapping_exon	0.1366718541574033
broad_peaks	covered_fraction_exon_median	0.0
broad_peaks	covered_fraction_exon_p90	0.23254881856736725
broad_peaks	peaks_overlapping_promoter	2009
broad_peaks	fraction_peaks_overlapping_promoter	0.11166073810582482
broad_peaks	covered_fraction_promoter_median	0.0
broad_peaks	covered_fraction_promoter_p90	0.3696909407477163
annotation	gene_interval_count	32737
