set	metric	value
validation	paired_rows	2348854
validation	mismatched_rows	0
validation	malformed_rows	0
normalization	signal_total_reads	44795356
normalization	control_total_reads	27088288
CA	records	245985
CA	signal_overlap_count	1327316
CA	signal_covered_bp	38440418
CA	signal_occupied_records_fraction	0.9758074679350367
CA	signal_mean_covered_fraction	0.5635255959920361
CA	signal_overlap_count_per_million_reads	29630.66082117977
CA	records	245985
CA	control_overlap_count	708949
CA	control_covered_bp	25307730
CA	control_occupied_records_fraction	0.9305730024188467
CA	control_mean_covered_fraction	0.37168805301341185
CA	control_overlap_count_per_million_reads	26171.790553910236
CA	normalized_signal_over_control_overlap_count	1.1321602455951472
CA-CTCF	records	126034
CA-CTCF	signal_overlap_count	632654
CA-CTCF	signal_covered_bp	17695349
CA-CTCF	signal_occupied_records_fraction	0.9768157798689242
CA-CTCF	signal_mean_covered_fraction	0.5757383174460932
CA-CTCF	signal_overlap_count_per_million_reads	14123.20509295651
CA-CTCF	records	126034
CA-CTCF	control_overlap_count	366088
CA-CTCF	control_covered_bp	12518812
CA-CTCF	control_occupied_records_fraction	0.9365171302981735
CA-CTCF	control_mean_covered_fraction	0.40741187588666483
CA-CTCF	control_overlap_count_per_million_reads	13514.622998692275
CA-CTCF	normalized_signal_over_control_overlap_count	1.0450313778137297
CA-H3K4me3	records	79246
CA-H3K4me3	signal_overlap_count	500330
CA-H3K4me3	signal_covered_bp	12252738
CA-H3K4me3	signal_occupied_records_fraction	0.9684652853140853
CA-H3K4me3	signal_mean_covered_fraction	0.5922197162140712
CA-H3K4me3	signal_overlap_count_per_million_reads	11169.238168349415
CA-H3K4me3	records	79246
CA-H3K4me3	control_overlap_count	223285
CA-H3K4me3	control_covered_bp	7789918
CA-H3K4me3	control_occupied_records_fraction	0.9208792872826389
CA-H3K4me3	control_mean_covered_fraction	0.37776031214824873
CA-H3K4me3	control_overlap_count_per_million_reads	8242.861269047346
CA-H3K4me3	normalized_signal_over_control_overlap_count	1.355019550103417
CA-TF	records	26102
CA-TF	signal_overlap_count	150853
CA-TF	signal_covered_bp	4231776
CA-TF	signal_occupied_records_fraction	0.9793119301202973
CA-TF	signal_mean_covered_fraction	0.5681217700176202
CA-TF	signal_overlap_count_per_million_reads	3367.603552475395
CA-TF	records	26102
CA-TF	control_overlap_count	86650
CA-TF	control_covered_bp	3045595
CA-TF	control_occupied_records_fraction	0.9564018082905524
CA-TF	control_mean_covered_fraction	0.40947895339820634
CA-TF	control_overlap_count_per_million_reads	3198.7994220971073
CA-TF	normalized_signal_over_control_overlap_count	1.0527710894319287
PLS	records	47532
PLS	signal_overlap_count	204799
PLS	signal_covered_bp	6074329
PLS	signal_occupied_records_fraction	0.9529790456955314
PLS	signal_mean_covered_fraction	0.45671165419507265
PLS	signal_overlap_count_per_million_reads	4571.880174364504
PLS	records	47532
PLS	control_overlap_count	245708
PLS	control_covered_bp	7311252
PLS	control_occupied_records_fraction	0.9682740048809223
PLS	control_mean_covered_fraction	0.5403746326306482
PLS	control_overlap_count_per_million_reads	9070.635988512822
PLS	normalized_signal_over_control_overlap_count	0.5040308287262762
TF	records	105286
TF	signal_overlap_count	604908
TF	signal_covered_bp	15645982
TF	signal_occupied_records_fraction	0.9693121592614403
TF	signal_mean_covered_fraction	0.5415120927150997
TF	signal_overlap_count_per_million_reads	13503.810528930722
TF	records	105286
TF	control_overlap_count	349637
TF	control_covered_bp	11928444
TF	control_occupied_records_fraction	0.9464316243375187
TF	control_mean_covered_fraction	0.4120972334223205
TF	control_overlap_count_per_million_reads	12907.312562536252
TF	normalized_signal_over_control_overlap_count	1.046213955345423
dELS	records	1469205
dELS	signal_overlap_count	6644419
dELS	signal_covered_bp	197868779
dELS	signal_occupied_records_fraction	0.9613008395696993
dELS	signal_mean_covered_fraction	0.4999400712471902
dELS	signal_overlap_count_per_million_reads	148328.29992466184
dELS	records	1469205
dELS	control_overlap_count	5281552
dELS	control_covered_bp	176317700
dELS	control_occupied_records_fraction	0.9584503183694583
dELS	control_mean_covered_fraction	0.4466487827175883
dELS	control_overlap_count_per_million_reads	194975.48165465458
dELS	normalized_signal_over_control_overlap_count	0.7607536017650907
enhancer_like	records	1718669
enhancer_like	signal_overlap_count	7685215
enhancer_like	signal_covered_bp	228431429
enhancer_like	signal_occupied_records_fraction	0.9599044376782265
enhancer_like	signal_mean_covered_fraction	0.49725467986519445
enhancer_like	signal_overlap_count_per_million_reads	171562.76199702488
enhancer_like	records	1718669
enhancer_like	control_overlap_count	6293118
enhancer_like	control_covered_bp	207909881
enhancer_like	control_occupied_records_fraction	0.9592422973824511
enhancer_like	control_mean_covered_fraction	0.4543634603787597
enhancer_like	control_overlap_count_per_million_reads	232318.7792451114
enhancer_like	normalized_signal_over_control_overlap_count	0.7384799565256626
pELS	records	249464
pELS	signal_overlap_count	1040796
pELS	signal_covered_bp	30562650
pELS	signal_occupied_records_fraction	0.951680402783568
pELS	signal_mean_covered_fraction	0.48143920971565374
pELS	signal_overlap_count_per_million_reads	23234.462072363036
pELS	records	249464
pELS	control_overlap_count	1011566
pELS	control_covered_bp	31592181
pELS	control_occupied_records_fraction	0.9639066157842414
pELS	control_mean_covered_fraction	0.4997986453881453
pELS	control_overlap_count_per_million_reads	37343.29759045681
pELS	normalized_signal_over_control_overlap_count	0.6221856014745917
promoter_like	records	47532
promoter_like	signal_overlap_count	204799
promoter_like	signal_covered_bp	6074329
promoter_like	signal_occupied_records_fraction	0.9529790456955314
promoter_like	signal_mean_covered_fraction	0.45671165419507265
promoter_like	signal_overlap_count_per_million_reads	4571.880174364504
promoter_like	records	47532
promoter_like	control_overlap_count	245708
promoter_like	control_covered_bp	7311252
promoter_like	control_occupied_records_fraction	0.9682740048809223
promoter_like	control_mean_covered_fraction	0.5403746326306482
promoter_like	control_overlap_count_per_million_reads	9070.635988512822
promoter_like	normalized_signal_over_control_overlap_count	0.5040308287262762
