set	metric	value
validation	paired_rows	2348854
validation	mismatched_rows	0
validation	malformed_rows	0
normalization	signal_total_reads	44795356
normalization	control_total_reads	27088288
CA	records	245985
CA	signal_overlap_count	1400
CA	signal_covered_bp	259721
CA	signal_occupied_records_fraction	0.00566294692765819
CA	signal_mean_covered_fraction	0.0038620022245258877
CA	signal_overlap_count_per_million_reads	31.25323973315448
CA	records	245985
CA	control_overlap_count	708949
CA	control_covered_bp	25307730
CA	control_occupied_records_fraction	0.9305730024188467
CA	control_mean_covered_fraction	0.37168805301341185
CA	control_overlap_count_per_million_reads	26171.790553910236
CA	normalized_signal_over_control_overlap_count	0.0011941574906301183
CA-CTCF	records	126034
CA-CTCF	signal_overlap_count	1030
CA-CTCF	signal_covered_bp	187301
CA-CTCF	signal_occupied_records_fraction	0.008132726089785295
CA-CTCF	signal_mean_covered_fraction	0.006216043600139639
CA-CTCF	signal_overlap_count_per_million_reads	22.99345494653508
CA-CTCF	records	126034
CA-CTCF	control_overlap_count	366088
CA-CTCF	control_covered_bp	12518812
CA-CTCF	control_occupied_records_fraction	0.9365171302981735
CA-CTCF	control_mean_covered_fraction	0.40741187588666483
CA-CTCF	control_overlap_count_per_million_reads	13514.622998692275
CA-CTCF	normalized_signal_over_control_overlap_count	0.0017013759798375442
CA-H3K4me3	records	79246
CA-H3K4me3	signal_overlap_count	3767
CA-H3K4me3	signal_covered_bp	765366
CA-H3K4me3	signal_occupied_records_fraction	0.04734623829593923
CA-H3K4me3	signal_mean_covered_fraction	0.038526483923478835
CA-H3K4me3	signal_overlap_count_per_million_reads	84.09353862485209
CA-H3K4me3	records	79246
CA-H3K4me3	control_overlap_count	223285
CA-H3K4me3	control_covered_bp	7789918
CA-H3K4me3	control_occupied_records_fraction	0.9208792872826389
CA-H3K4me3	control_mean_covered_fraction	0.37776031214824873
CA-H3K4me3	control_overlap_count_per_million_reads	8242.861269047346
CA-H3K4me3	normalized_signal_over_control_overlap_count	0.010201983981051651
CA-TF	records	26102
CA-TF	signal_overlap_count	375
CA-TF	signal_covered_bp	78972
CA-TF	signal_occupied_records_fraction	0.014328403953720021
CA-TF	signal_mean_covered_fraction	0.01098080549000077
CA-TF	signal_overlap_count_per_million_reads	8.371403499952093
CA-TF	records	26102
CA-TF	control_overlap_count	86650
CA-TF	control_covered_bp	3045595
CA-TF	control_occupied_records_fraction	0.9564018082905524
CA-TF	control_mean_covered_fraction	0.40947895339820634
CA-TF	control_overlap_count_per_million_reads	3198.7994220971073
CA-TF	normalized_signal_over_control_overlap_count	0.0026170454584063508
PLS	records	47532
PLS	signal_overlap_count	494
PLS	signal_covered_bp	100278
PLS	signal_occupied_records_fraction	0.010140536901455862
PLS	signal_mean_covered_fraction	0.007426469731970039
PLS	signal_overlap_count_per_million_reads	11.027928877270224
PLS	records	47532
PLS	control_overlap_count	245708
PLS	control_covered_bp	7311252
PLS	control_occupied_records_fraction	0.9682740048809223
PLS	control_mean_covered_fraction	0.5403746326306482
PLS	control_overlap_count_per_million_reads	9070.635988512822
PLS	normalized_signal_over_control_overlap_count	0.0012157834237021688
TF	records	105286
TF	signal_overlap_count	3362
TF	signal_covered_bp	761906
TF	signal_occupied_records_fraction	0.031647132572231826
TF	signal_mean_covered_fraction	0.025423207522367635
TF	signal_overlap_count_per_million_reads	75.05242284490383
TF	records	105286
TF	control_overlap_count	349637
TF	control_covered_bp	11928444
TF	control_occupied_records_fraction	0.9464316243375187
TF	control_mean_covered_fraction	0.4120972334223205
TF	control_overlap_count_per_million_reads	12907.312562536252
TF	normalized_signal_over_control_overlap_count	0.00581472111109675
dELS	records	1469205
dELS	signal_overlap_count	10211
dELS	signal_covered_bp	2030808
dELS	signal_occupied_records_fraction	0.006921430297337675
dELS	signal_mean_covered_fraction	0.0051828756017029565
dELS	signal_overlap_count_per_million_reads	227.94773636802887
dELS	records	1469205
dELS	control_overlap_count	5281552
dELS	control_covered_bp	176317700
dELS	control_occupied_records_fraction	0.9584503183694583
dELS	control_mean_covered_fraction	0.4466487827175883
dELS	control_overlap_count_per_million_reads	194975.48165465458
dELS	normalized_signal_over_control_overlap_count	0.0011691097487415139
enhancer_like	records	1718669
enhancer_like	signal_overlap_count	12485
enhancer_like	signal_covered_bp	2477153
enhancer_like	signal_occupied_records_fraction	0.0072335045317044756
enhancer_like	signal_mean_covered_fraction	0.005473500072497958
enhancer_like	signal_overlap_count_per_million_reads	278.71192719173837
enhancer_like	records	1718669
enhancer_like	control_overlap_count	6293118
enhancer_like	control_covered_bp	207909881
enhancer_like	control_occupied_records_fraction	0.9592422973824511
enhancer_like	control_mean_covered_fraction	0.4543634603787597
enhancer_like	control_overlap_count_per_million_reads	232318.7792451114
enhancer_like	normalized_signal_over_control_overlap_count	0.0011996960732032738
pELS	records	249464
pELS	signal_overlap_count	2274
pELS	signal_covered_bp	446345
pELS	signal_occupied_records_fraction	0.009071449187057051
pELS	signal_mean_covered_fraction	0.007185117482682871
pELS	signal_overlap_count_per_million_reads	50.76419082370949
pELS	records	249464
pELS	control_overlap_count	1011566
pELS	control_covered_bp	31592181
pELS	control_occupied_records_fraction	0.9639066157842414
pELS	control_mean_covered_fraction	0.4997986453881453
pELS	control_overlap_count_per_million_reads	37343.29759045681
pELS	normalized_signal_over_control_overlap_count	0.001359392289894678
promoter_like	records	47532
promoter_like	signal_overlap_count	494
promoter_like	signal_covered_bp	100278
promoter_like	signal_occupied_records_fraction	0.010140536901455862
promoter_like	signal_mean_covered_fraction	0.007426469731970039
promoter_like	signal_overlap_count_per_million_reads	11.027928877270224
promoter_like	records	47532
promoter_like	control_overlap_count	245708
promoter_like	control_covered_bp	7311252
promoter_like	control_occupied_records_fraction	0.9682740048809223
promoter_like	control_mean_covered_fraction	0.5403746326306482
promoter_like	control_overlap_count_per_million_reads	9070.635988512822
promoter_like	normalized_signal_over_control_overlap_count	0.0012157834237021688
