metric	value
peak_count	18274
malformed_peak_lines	0
width_min	200
width_median	434.0
width_p90	1288.0
width_p99	4213.080000000002
width_max	17964
fold_enrichment_median	3.30969
fold_enrichment_p90	3.7508610000000004
score_median	16.0
qvalue_neglog10_median	1.6476250000000001
summit_offset_median	0.0
summit_offset_p90	0.0
chromosomes_with_peaks	56
top_chromosomes	chr19:3563,chr2:1785,chr7:1099,chr1:1079,chr12:1024,chr5:968,chr8:924,chr9:921,chr10:886,chr17:853
comment_0	# This file is generated by MACS version 2.2.9.1
comment_1	# Command line: callpeak -t /corral4/main/objects/2/b/c/dataset_2bc3ac30-9b6e-4788-9b44-7c6d0718bdee.dat --name histone_chip_q1_signal_tagalign_gz -c /corral4/main/objects/8/3/2/dataset_832a715d-99a0-4495-b63f-396179b02a17.dat --format BED --gsize 2700000000 --broad --broad-cutoff=0.1 --keep-dup all --d-min 20 --buffer-size 100000 --qvalue 0.05 --nomodel --extsize 200 --shift 0
comment_2	# ARGUMENTS LIST:
comment_3	# name = histone_chip_q1_signal_tagalign_gz
comment_4	# format = BED
comment_5	# ChIP-seq file = ['/corral4/main/objects/2/b/c/dataset_2bc3ac30-9b6e-4788-9b44-7c6d0718bdee.dat']
comment_6	# control file = ['/corral4/main/objects/8/3/2/dataset_832a715d-99a0-4495-b63f-396179b02a17.dat']
comment_7	# effective genome size = 2.70e+09
comment_8	# band width = 300
comment_9	# model fold = [5, 50]
comment_10	# qvalue cutoff for narrow/strong regions = 5.00e-02
comment_11	# qvalue cutoff for broad/weak regions = 1.00e-01
comment_12	# The maximum gap between significant sites is assigned as the read length/tag size.
comment_13	# The minimum length of peaks is assigned as the predicted fragment length "d".
comment_14	# Larger dataset will be scaled towards smaller dataset.
comment_15	# Range for calculating regional lambda is: 1000 bps and 10000 bps
comment_16	# Broad region calling is on
comment_17	# Paired-End mode is off
comment_18	# tag size is determined as 50 bps
comment_19	# total tags in treatment: 44898157
comment_20	# total tags in control: 27109157
comment_21	# d = 200
