metric	value	interpretation
protein_coding_genes	20033	GENCODE v44 gene landmarks used
signal_valid_tag_count	44795356	tags used from signal
control_valid_tag_count	27051753	tags used from control
signal_invalid_or_noncanonical	0	skipped signal rows
control_invalid_or_noncanonical	0	skipped control rows
promoter_union_bases	72323252	TSS +/- 2 kb, merged
gene_union_bases	1305313686	merged protein-coding gene loci
gene_body_approx_bases	1232990434	gene union minus promoter union
five_prime_union_bases	166465402	strand-aware first 10 kb of long/short gene loci
three_prime_union_bases	165935499	strand-aware last 10 kb of gene loci
signal_promoter_tags	270265	signal tags in promoter
signal_promoter_fraction	0.0060333263	fraction of signal tags in promoter
signal_body_tags	4744991	signal tags in body
signal_body_fraction	0.10592596	fraction of signal tags in body
signal_intergenic_tags	39780100	signal tags in intergenic
signal_intergenic_fraction	0.88804072	fraction of signal tags in intergenic
signal_genic_any_tags	4901398	signal tags in genic_any
signal_genic_any_fraction	0.10941755	fraction of signal tags in genic_any
signal_promoter_any_tags	270265	signal tags in promoter_any
signal_promoter_any_fraction	0.0060333263	fraction of signal tags in promoter_any
signal_five_prime_tags	576379	signal tags in five_prime
signal_five_prime_fraction	0.012866936	fraction of signal tags in five_prime
signal_three_prime_tags	554532	signal tags in three_prime
signal_three_prime_fraction	0.01237923	fraction of signal tags in three_prime
control_promoter_tags	313091	control tags in promoter
control_promoter_fraction	0.011573779	fraction of control tags in promoter
control_body_tags	3768574	control tags in body
control_body_fraction	0.13930979	fraction of control tags in body
control_intergenic_tags	22970088	control tags in intergenic
control_intergenic_fraction	0.84911643	fraction of control tags in intergenic
control_genic_any_tags	3963100	control tags in genic_any
control_genic_any_fraction	0.14650067	fraction of control tags in genic_any
control_promoter_any_tags	313091	control tags in promoter_any
control_promoter_any_fraction	0.011573779	fraction of control tags in promoter_any
control_five_prime_tags	600985	control tags in five_prime
control_five_prime_fraction	0.02221612	fraction of control tags in five_prime
control_three_prime_tags	528806	control tags in three_prime
control_three_prime_fraction	0.019547938	fraction of control tags in three_prime
enrichment_promoter_signal_vs_control	0.5212927	fraction-of-library ratio; >1 is ChIP enrichment
enrichment_body_signal_vs_control	0.76036263	fraction-of-library ratio; >1 is ChIP enrichment
enrichment_intergenic_signal_vs_control	1.0458409	fraction-of-library ratio; >1 is ChIP enrichment
enrichment_genic_any_signal_vs_control	0.74687403	fraction-of-library ratio; >1 is ChIP enrichment
enrichment_promoter_any_signal_vs_control	0.5212927	fraction-of-library ratio; >1 is ChIP enrichment
enrichment_five_prime_signal_vs_control	0.57917117	fraction-of-library ratio; >1 is ChIP enrichment
enrichment_three_prime_signal_vs_control	0.63327546	fraction-of-library ratio; >1 is ChIP enrichment
signal_promoter_to_body_fraction_ratio	0.056957958	signal tag ratio; high is promoter-focused
signal_three_to_five_fraction_ratio	0.96209612	signal tag ratio; high supports 3-prime gene-body bias
occupied_bins	289672	10-kb signal/control-normalized enrichment summary
enriched_bins	25536	10-kb signal/control-normalized enrichment summary
enriched_bin_fraction	0.088154879	10-kb signal/control-normalized enrichment summary
enriched_run_count	12652	10-kb signal/control-normalized enrichment summary
enriched_run_median_bins	1	10-kb signal/control-normalized enrichment summary
enriched_run_max_bins	279	10-kb signal/control-normalized enrichment summary
enriched_max_kb	2790	10-kb signal/control-normalized enrichment summary
signal_fraction_top1pct_bins	0.040667028	10-kb signal/control-normalized enrichment summary
signal_fraction_top10pct_bins	0.21874317	10-kb signal/control-normalized enrichment summary
macs2_broad_peaks_count	17353	MACS2 broad-mode peak statistic
macs2_broad_peaks_mean	674.72091	MACS2 broad-mode peak statistic
macs2_broad_peaks_median	432	MACS2 broad-mode peak statistic
macs2_broad_peaks_p90	1277	MACS2 broad-mode peak statistic
macs2_broad_peaks_max	17964	MACS2 broad-mode peak statistic
macs2_broad_peaks_ge_1000	2677	MACS2 broad-mode peak statistic
macs2_broad_peaks_ge_5000	122	MACS2 broad-mode peak statistic
macs2_broad_peaks_ge_10000	24	MACS2 broad-mode peak statistic
