barcode	B_Cell	Endothelial	Fibroblast_Stroma	Macrophage	T_Cell	Tumor_Core
Spot_0-1	0.9252936016078412	0.0	0.0	0.0	0.0	0.013841298883727987
Spot_1-1	0.00480443983822261	1.019143338070446	0.010900933151707325	0.002674757689562825	0.0	0.0
Spot_2-1	1.0981260270539654	1.9510644031813689	0.0	0.9935968135847943	0.021538433017942116	0.0
Spot_3-1	0.9473496592633018	1.0364618465421247	0.006984934480608551	0.939862556633292	0.9820731403872174	0.0011442558294779692
Spot_4-1	0.0011693351106554228	1.950298200286994	0.0	0.9172735588384036	0.0	0.09525925078296332
Spot_5-1	0.0	0.9666683579310045	0.0	0.9930047053063696	0.0	0.06336846343536395
Spot_6-1	1.049224644381243	0.0	0.030270505140331694	2.8804768931845217	0.0010083905846480778	0.0
Spot_7-1	0.9751725150084648	0.0	0.0	0.013984209498793686	0.0	0.0
Spot_8-1	0.9487825692535993	0.964329137541748	0.0	0.0	0.0	0.021976628805658094
Spot_9-1	0.9714003834797725	0.02765957983579764	0.0	0.0	0.0	0.010036274900705812
Spot_10-1	0.0	0.0	0.007289589551299997	1.0126390156711877	0.0	0.0
Spot_11-1	0.04619332540951873	0.930043273435976	0.0046574551922283144	0.0013978427852067744	0.023510670051520157	0.0
Spot_12-1	0.9838381999162014	0.0	0.014204965687359314	0.0	0.0	0.0
Spot_13-1	0.009790118859372199	0.9689546849826569	0.0	1.011272522948279	0.02531912998109387	0.018696729035304116
Spot_14-1	1.0254165770064492	0.04803787553654204	0.0	0.9365077181166875	0.0	5.242794697957187e-05
Spot_15-1	1.036163345071284	0.9747565571690002	0.0	0.0060257141412847215	0.003133588119436981	0.008080342963938003
Spot_16-1	0.9612205676705438	0.0	0.0	0.02552281808209511	1.0127655386194934	0.012245639298987365
Spot_17-1	2.0325000264917636	0.01628158028161753	0.0	0.0	0.0	0.0
Spot_18-1	0.01171611416233631	0.0	1.0101321049233714	0.02272073066614705	0.8810598435988413	0.008040937684942517
Spot_19-1	1.0838037480326985	0.0	0.0	0.002115116681388418	1.0263632344143607	0.0
Spot_20-1	0.0	0.0	0.0	0.0	0.9756154042973132	0.00850021664892279
Spot_21-1	0.0	0.0	0.006532779552911117	0.0	1.0304528141165243	0.017779080244170187
Spot_22-1	0.0	1.9663950251765674	0.0	0.044790835219820295	0.0	0.02094398722116364
Spot_23-1	1.0163047006320889	0.0	0.0028076470896365602	0.0	0.011955431321578579	0.0
Spot_24-1	0.0	0.9526124109289831	0.0	0.0012607520425789165	1.9899805106110287	0.0
Spot_25-1	0.0	1.0140740930148604	0.025924226474941116	0.023354117940449844	0.0	0.0
Spot_26-1	0.0	2.8839328427754305	0.0	2.0193163816518096	0.0	0.0
