variableMetadata	group_ttest_Patient.Control_dif	group_ttest_Patient.Control_bonferroni	group_ttest_Patient.Control_sig
hsa-let-7a	-0.947086777777756	1	0
hsa-let-7b	-0.592826999999989	1	0
hsa-let-7b*	-1.54044922222221	1	0
hsa-let-7c	-0.783365555555545	1	0
hsa-let-7d	-1.32244644444442	1	0
hsa-let-7d*	-0.56072399999999	1	0
hsa-let-7e	-0.850361333333332	1	0
hsa-let-7f	-0.894044111111089	1	0
hsa-let-7g	-1.19626488888888	1	0
hsa-let-7i	-0.934674222222213	1	0
hsa-let-7i*	-0.680702222222216	1	0
hsa-miR-1	-0.789033444444435	1	0
hsa-miR-101	-0.629483333333297	1	0
hsa-miR-103	-1.520377	1	0
hsa-miR-103-2*	-0.87620288888888	1	0
hsa-miR-106a	-1.30725444444446	1	0
hsa-miR-106b	-0.476776000000001	1	0
hsa-miR-106b*	-1.14525060532405	1	0
hsa-miR-107	-1.51003166666666	1	0
hsa-miR-10a	0.746155342592594	1	0
hsa-miR-10b	-0.443994555555548	1	0
hsa-miR-122	-0.296429111111088	1	0
hsa-miR-125a-5p	-0.436520444444447	1	0
hsa-miR-125b	-0.888002444444435	1	0
hsa-miR-126	-0.653689999999969	1	0
hsa-miR-127-3p	-0.742995777777768	1	0
hsa-miR-128	-1.10941311111111	1	0
hsa-miR-130a	-1.98278077777776	0.92540797707205	0
hsa-miR-132	-1.52750566666666	1	0
hsa-miR-133a	-0.844589111111112	1	0
hsa-miR-133b	-0.454408555555553	1	0
hsa-miR-136	1.93598222685186	1	0
hsa-miR-139-5p	-0.252485111111113	1	0
hsa-miR-140-3p	-0.752199777777754	1	0
hsa-miR-140-5p	-0.286328222222213	1	0
hsa-miR-142-3p	-0.00927099999999825	1	0
hsa-miR-142-5p	-1.2463491111111	1	0
hsa-miR-143	-0.430160888888853	1	0
hsa-miR-144	-0.398031555555544	1	0
hsa-miR-144*	-0.249221555555547	1	0
hsa-miR-145	-0.8443771111111	1	0
hsa-miR-146a	-0.547408555555545	1	0
hsa-miR-148a	-0.614659999999997	1	0
hsa-miR-148b	-0.542910555555533	1	0
hsa-miR-150	0.132401666666677	1	0
hsa-miR-151-3p	-0.0270827777777782	1	0
hsa-miR-151-5p	-0.684002333333321	1	0
hsa-miR-152	-0.277874555555542	1	0
hsa-miR-154	-0.357743275462958	1	0
hsa-miR-155	-0.726141777777766	1	0
hsa-miR-15a	-0.927144888888879	1	0
hsa-miR-15b	-0.544180222222224	1	0
hsa-miR-15b*	-1.04316444444443	1	0
hsa-miR-16	-1.22922672222222	1	0
hsa-miR-16-2*	-0.670300666666655	1	0
hsa-miR-17	-1.44226555555554	1	0
hsa-miR-181a	-0.377149999999979	1	0
hsa-miR-182	-0.258705799768514	1	0
hsa-miR-185	-0.27042711111109	1	0
hsa-miR-186	-0.216333333333321	1	0
hsa-miR-18a	-0.665190111111091	1	0
hsa-miR-18a*	-1.26991066666665	1	0
hsa-miR-18b	-0.416567888888878	1	0
hsa-miR-191	-0.128659333333331	1	0
hsa-miR-192	-0.446935111111099	1	0
hsa-miR-193b	-0.637301111111103	1	0
hsa-miR-194	-0.536507888888867	1	0
hsa-miR-195	-0.356264888888866	1	0
hsa-miR-197	-0.574788333333323	1	0
hsa-miR-1974	-1.44778466666666	0.618882898892304	0
hsa-miR-199a-3p	-1.1188482222222	1	0
hsa-miR-199a-5p	-1.11869966666665	1	0
hsa-miR-19a	-0.313398888888866	1	0
hsa-miR-19b	0.691107777777781	1	0
hsa-miR-200c	-0.162941333333336	1	0
hsa-miR-205	0.169087000000005	1	0
hsa-miR-20a	-1.31032255555553	1	0
hsa-miR-20a*	-0.915994898809515	1	0
hsa-miR-20b	-1.59597555555555	0.352607123647478	0
hsa-miR-21	0.739963777777788	1	0
hsa-miR-210	-0.10092211111111	1	0
hsa-miR-2110	-0.565497888888892	1	0
hsa-miR-215	-0.389355555555547	1	0
hsa-miR-22	-0.0961776666666552	1	0
hsa-miR-22*	-0.857228555555544	1	0
hsa-miR-221	-1.57123488888888	1	0
hsa-miR-222	-1.50152744444444	0.565855050679782	0
hsa-miR-223	-0.293271333333308	1	0
hsa-miR-223*	0.67049477777779	1	0
hsa-miR-23a	-0.437892444444422	1	0
hsa-miR-23b	-0.594967555555556	1	0
hsa-miR-24	-0.539010000000001	1	0
hsa-miR-25	-0.617509444444433	1	0
hsa-miR-26a	-0.776943444444431	1	0
hsa-miR-26b	-0.4925143333333	1	0
hsa-miR-27a	-0.728887555555545	1	0
hsa-miR-27b	-0.636171999999991	1	0
hsa-miR-28-3p	-0.551122111111102	1	0
hsa-miR-28-5p	-0.416803888888879	1	0
hsa-miR-297	-0.299243777777765	1	0
hsa-miR-29a	0.320779555555575	1	0
hsa-miR-29a*	0.774965000000009	1	0
hsa-miR-29b	-0.185161666666644	1	0
hsa-miR-29b-2*	-0.970466583333327	1	0
hsa-miR-29c	-0.142033666666645	1	0
hsa-miR-301a	-1.6787481111111	1	0
hsa-miR-30a	-0.481881555555553	1	0
hsa-miR-30b	-1.71200544444443	1	0
hsa-miR-30c	-1.3630511111111	1	0
hsa-miR-30d	-1.10728266666665	1	0
hsa-miR-30e	-1.24598933333333	0.914090694051003	0
hsa-miR-30e*	-0.883137888888889	1	0
hsa-miR-32	-1.27422166666665	1	0
hsa-miR-320a	-0.393289888888877	1	0
hsa-miR-320b	-0.332875888888889	1	0
hsa-miR-324-3p	-0.0363473333333211	1	0
hsa-miR-324-5p	-0.341459222222198	1	0
hsa-miR-326	-0.506901666666646	1	0
hsa-miR-328	-1.02210244444443	1	0
hsa-miR-331-3p	-0.970951333333311	1	0
hsa-miR-335	-0.239633444444433	1	0
hsa-miR-338-3p	0.574277111111122	1	0
hsa-miR-339-3p	-0.398436666666669	1	0
hsa-miR-339-5p	-0.263859555555563	1	0
hsa-miR-33a	-0.478243222222211	1	0
hsa-miR-342-3p	-0.558750222222212	1	0
hsa-miR-346	0.0135736666666801	1	0
