variableMetadata	group_ttest_Patient.Control_dif	group_ttest_Patient.Control_BY	group_ttest_Patient.Control_sig
hsa-let-7a	-0.901806199999989	0.897357172022713	0
hsa-let-7b	-0.602562200000001	0.721122676518273	0
hsa-let-7b*	-1.5175362	1	0
hsa-let-7c	-0.760216400000001	0.988819563145073	0
hsa-let-7d	-1.34106319999999	0.341659733938976	0
hsa-let-7d*	-0.683065899999999	0.813228701607221	0
hsa-let-7e	-0.90470770000001	0.333503377599659	0
hsa-let-7f	-0.818680399999991	1	0
hsa-let-7g	-1.133666	0.355155969755687	0
hsa-let-7i	-0.989803500000001	0.312072524006969	0
hsa-let-7i*	-0.759430900000002	1	0
hsa-miR-1	-1.4221472	1	0
hsa-miR-101	-0.76588779999998	1	0
hsa-miR-103	-1.55864685	0.240847545799728	0
hsa-miR-103-2*	-0.433336600000001	1	0
hsa-miR-106a	-1.34262300000002	0.240847545799728	0
hsa-miR-106b	-0.593391400000012	1	0
hsa-miR-106b*	-1.33017025555555	0.202375263235428	0
hsa-miR-107	-1.5196152	0.240847545799728	0
hsa-miR-10a	0.825954809259258	0.779508336353024	0
hsa-miR-10b	-0.413818900000003	1	0
hsa-miR-122	-0.268874099999987	1	0
hsa-miR-125a-5p	-0.51915120000001	0.925179623081227	0
hsa-miR-125b	-0.969021000000001	0.398122330267661	0
hsa-miR-126	-0.780374799999979	0.664244285271901	0
hsa-miR-127-3p	-0.8815092	1	0
hsa-miR-128	-1.24564960000001	0.247550331517746	0
hsa-miR-130a	-2.07673599999999	0.202375263235428	0
hsa-miR-132	-1.1472431	1	0
hsa-miR-133a	-1.50736770000001	1	0
hsa-miR-133b	-0.902587000000011	1	0
hsa-miR-136	1.30398627592592	1	0
hsa-miR-139-5p	-0.369399600000012	1	0
hsa-miR-140-3p	-0.888769199999992	0.379650107616689	0
hsa-miR-140-5p	-0.4785054	1	0
hsa-miR-142-3p	-0.215356400000008	1	0
hsa-miR-142-5p	-1.4759166	0.488844342914623	0
hsa-miR-143	-0.540210999999978	1	0
hsa-miR-144	-0.7081622	1	0
hsa-miR-144*	-0.180309000000001	1	0
hsa-miR-145	-0.9649827	0.955618991949854	0
hsa-miR-146a	-0.722457500000001	0.897357172022713	0
hsa-miR-148a	-0.70964630000001	0.819170985161145	0
hsa-miR-148b	-0.780910099999989	0.955618991949854	0
hsa-miR-150	0.154316299999998	1	0
hsa-miR-151-3p	-0.260689500000009	1	0
hsa-miR-151-5p	-0.847579799999998	0.70286147417076	0
hsa-miR-152	-0.452085100000001	1	0
hsa-miR-154	-0.548512009259262	1	0
hsa-miR-155	-0.686577500000002	1	0
hsa-miR-15a	-0.989427999999997	0.338177348013236	0
hsa-miR-15b	-0.560940600000009	1	0
hsa-miR-15b*	-1.069841	0.355155969755687	0
hsa-miR-16	-1.28426255	0.251748421228245	0
