input	check	status	expected_gene	expected_symbol	observed_gene	observed_detail
1	ensembl_gene_lookup	PASS	ENSG00000140254	DUOXA1	ENSG00000140254	DUOXA1
2	ensembl_gene_lookup	PASS	ENSG00000167014	TERB2	ENSG00000167014	TERB2
3	ensembl_gene_lookup	PASS	ENSG00000140263	SORD	ENSG00000140263	SORD
4	ensembl_gene_lookup	PASS	ENSG00000138606	SHF	ENSG00000138606	SHF
5	ensembl_gene_lookup	PASS	ENSG00000137860	SLC28A2	ENSG00000137860	SLC28A2
6	ensembl_gene_lookup	PASS	ENSG00000166920	COXFA4L3	ENSG00000166920	COXFA4L3
7	ensembl_gene_lookup	PASS	ENSG00000137767	SQOR	ENSG00000137767	SQOR
8	ensembl_gene_lookup	PASS	ENSG00000162373	BEND5	ENSG00000162373	BEND5
3	transcript_parent	PASS	ENSG00000140263	SORD	ENSG00000140263	SORD-201
4	unique_overlapping_protein_coding_gene	PASS	ENSG00000138606	SHF	ENSG00000138606	SHF
1	independent_identifier_query	PASS	ENSG00000140254		ENSG00000140254	refseq.rna:"NM_001276266.2"
2	independent_identifier_query	PASS	ENSG00000167014		ENSG00000167014	symbol:TERB2
3	independent_identifier_query	PASS	ENSG00000140263		ENSG00000140263	ensembl.transcript:ENST00000267814
5	independent_identifier_query	PASS	ENSG00000137860		ENSG00000137860	entrezgene:9153
6	independent_identifier_query	PASS	ENSG00000166920		ENSG00000166920	refseq.protein:"NP_922946.1"
7	independent_identifier_query	PASS	ENSG00000137767		ENSG00000137767	MIM:617658
8	independent_identifier_query	PASS	ENSG00000162373		ENSG00000162373	name:"BEN domain containing 5"
ALL	overall	PASS	ENSG00000140254;ENSG00000167014;ENSG00000140263;ENSG00000138606;ENSG00000137860;ENSG00000166920;ENSG00000137767;ENSG00000162373			
