GroupBy(n_genes_by_counts)	count(n_genes_by_counts)
864	1
867	1
868	2
869	3
870	5
872	7
873	10
874	8
875	9
876	10
877	18
878	17
879	26
880	31
881	38
882	48
883	61
884	67
885	85
886	112
887	98
888	144
889	128
890	169
891	139
892	187
893	194
894	203
895	190
896	218
897	203
898	225
899	230
900	241
901	214
902	199
903	200
904	162
905	160
906	152
907	142
908	100
909	113
910	91
911	62
912	61
913	52
914	38
915	26
916	26
917	16
918	17
919	11
920	6
921	6
922	5
923	8
925	2
927	1
928	2
930	2
931	3
932	1
933	2
934	1
935	5
936	1
937	8
938	5
939	6
940	5
941	6
942	10
943	8
944	12
945	16
946	19
947	26
948	25
949	22
950	14
951	17
952	18
953	20
954	25
955	21
956	13
957	10
958	8
959	1
960	9
961	2
962	4
963	2
964	1
966	1
969	1
