GroupBy(total_counts)	count(total_counts)
10000.0	1
10001.0	2
10002.0	3
10004.0	4
10005.0	1
10006.0	1
10007.0	2
10008.0	1
10009.0	1
10010.0	2
10011.0	3
10012.0	1
10013.0	3
10014.0	4
10015.0	2
10016.0	1
10017.0	3
10018.0	2
10019.0	2
10020.0	2
10021.0	4
10022.0	5
10023.0	3
10024.0	4
10025.0	5
10026.0	2
10027.0	2
10028.0	5
10029.0	3
10030.0	6
10031.0	3
10032.0	2
10033.0	2
10034.0	4
10035.0	1
10036.0	5
10037.0	3
10038.0	4
10039.0	2
10040.0	4
10041.0	6
10042.0	6
10043.0	5
10044.0	5
10045.0	2
10046.0	3
10047.0	5
10048.0	3
10049.0	6
10050.0	4
10051.0	4
10052.0	5
10053.0	6
10054.0	1
10055.0	3
10056.0	3
10057.0	5
10058.0	1
10059.0	3
10060.0	6
10061.0	2
10062.0	4
10063.0	2
10065.0	5
10066.0	6
10067.0	6
10068.0	4
10069.0	4
10070.0	7
10071.0	6
10072.0	7
10073.0	5
10074.0	4
10075.0	1
10076.0	3
10077.0	4
10078.0	5
10079.0	2
10080.0	3
10081.0	5
10082.0	3
10083.0	2
10084.0	8
10085.0	6
10086.0	3
10087.0	3
10088.0	2
10089.0	7
10090.0	4
10091.0	7
10092.0	9
10093.0	2
10094.0	9
10095.0	4
10096.0	5
10097.0	7
10098.0	9
10099.0	4
10100.0	9
10101.0	4
10102.0	6
10103.0	3
10104.0	7
10105.0	5
10106.0	7
10107.0	4
10108.0	13
10109.0	6
10110.0	10
10111.0	6
10112.0	1
10113.0	6
10114.0	4
10115.0	10
10116.0	8
10117.0	7
10118.0	12
10119.0	5
10120.0	5
10121.0	9
10122.0	4
10123.0	5
10124.0	7
10125.0	7
10126.0	4
10127.0	7
10128.0	6
10129.0	5
10130.0	9
10131.0	10
10132.0	4
10133.0	7
10134.0	6
10135.0	5
10136.0	5
10137.0	6
10138.0	11
10139.0	3
10140.0	4
10141.0	8
10142.0	6
10143.0	7
10144.0	8
10145.0	5
10146.0	7
10147.0	5
10148.0	10
10149.0	9
10150.0	8
10151.0	10
10152.0	6
10153.0	5
10155.0	6
10156.0	7
10157.0	11
10158.0	8
10159.0	7
10160.0	4
10161.0	11
10162.0	6
10163.0	6
10164.0	5
10165.0	7
10166.0	8
10167.0	5
10168.0	4
10169.0	7
10170.0	3
10171.0	5
10172.0	11
10173.0	6
10174.0	10
10175.0	9
10176.0	6
10177.0	7
10178.0	5
10179.0	7
10180.0	7
10181.0	9
10182.0	11
10183.0	9
10184.0	7
10185.0	9
10186.0	11
10187.0	7
10188.0	5
10189.0	5
10190.0	14
10191.0	7
10192.0	7
10193.0	4
10194.0	4
10195.0	5
10196.0	5
10197.0	9
10198.0	8
10199.0	9
10200.0	4
10201.0	7
10202.0	6
10203.0	7
10204.0	2
10205.0	9
10206.0	9
10207.0	12
10208.0	4
10209.0	7
10210.0	7
10211.0	5
10212.0	6
10213.0	9
10214.0	4
10215.0	7
10216.0	8
10217.0	5
10218.0	9
10219.0	4
10220.0	9
10221.0	4
10222.0	9
10223.0	11
10224.0	7
10225.0	2
10226.0	6
10227.0	5
10228.0	7
10229.0	6
10230.0	7
10231.0	4
10232.0	7
10233.0	3
10234.0	7
10235.0	8
10236.0	9
10237.0	5
10238.0	5
10239.0	4
10240.0	6
10241.0	8
10242.0	2
10243.0	4
10244.0	6
10245.0	6
10246.0	2
10247.0	2
10248.0	7
10249.0	5
10250.0	3
10251.0	2
10252.0	2
10253.0	6
10254.0	3
10255.0	3
10256.0	2
10257.0	3
10258.0	5
10259.0	7
10261.0	3
10262.0	6
10263.0	3
10264.0	7
10265.0	5
10266.0	8
10267.0	7
10268.0	1
10269.0	3
10270.0	2
10271.0	2
10272.0	1
10273.0	2
10274.0	4
10275.0	2
10276.0	4
10277.0	3
10278.0	4
10279.0	8
10280.0	2
10281.0	4
10282.0	3
10283.0	1
10284.0	8
10285.0	3
10286.0	5
10287.0	1
10288.0	5
10289.0	4
10290.0	7
10291.0	3
10292.0	4
10293.0	3
10294.0	4
10295.0	2
10297.0	2
10298.0	3
10299.0	6
10300.0	1
10301.0	3
10302.0	2
10303.0	2
10304.0	3
10305.0	3
10306.0	3
10307.0	2
10309.0	3
10310.0	2
10311.0	1
10313.0	4
10315.0	2
10316.0	1
10317.0	2
10318.0	2
10319.0	3
10320.0	1
10322.0	4
10323.0	1
10324.0	1
10325.0	2
10326.0	1
10327.0	3
10328.0	2
10329.0	2
10330.0	1
10331.0	1
10333.0	2
10334.0	1
10335.0	2
10336.0	1
10338.0	3
10339.0	1
10340.0	1
10341.0	2
10342.0	2
10343.0	2
10345.0	1
10348.0	2
10349.0	2
10350.0	1
10352.0	1
10353.0	3
10354.0	1
10356.0	8
10357.0	1
10358.0	1
10359.0	1
10360.0	2
10365.0	4
10366.0	2
10368.0	1
10369.0	1
10370.0	1
10376.0	1
10377.0	1
10380.0	1
10385.0	1
10388.0	2
10390.0	1
10395.0	1
10396.0	1
10402.0	1
10403.0	1
10404.0	1
10406.0	1
10408.0	2
10411.0	2
10413.0	1
10415.0	1
10421.0	1
10423.0	1
10425.0	1
10426.0	1
10427.0	1
