parameter	value
pydeseq2_version	0.5.4
design	~Group
contrast_numerator	Cisplatin_IC50_CBD_IC50
contrast_denominator	DMSO
fit_groups	DMSO;DMSO_Serum_starvation;Cisplatin_IC50_CBD_IC50;Cisplatin_IC50_CBD_IC50_Serum_starvation_16h
all_input_samples_for_prefilter	30
fit_samples	12
genes_before_prefilter	63677
genes_after_prefilter_count_gt_10_in_at_least_one_of_30	20130
alpha	0.05
padj_threshold	0.05
absolute_lfc_threshold	0.5
baseMean_threshold	10
significant_ensg_rows	679
mapped_unique_gene_symbols	656
