DishNumber	StrainNumber	Ratio	Area	Circularity
1	1	1:0	152138	0.045
2	1	1:0	93040	0.068
3	1	1:0	90701	0.071
4	98	1:0	14946	0.291
5	98	1:0	13667	0.654
6	98	1:0	14994	0.525
7	287	1:0	9841	0.747
8	287	1:0	10173	0.71
9	287	1:0	10799	0.755
10	287_98	1:3	17327	0.668
11	287_98	1:3	19749	0.591
12	287_98	1:3	19206	0.562
13	287_98	1:2	29886	0.324
14	287_98	1:2	26359	0.389
15	287_98	1:2	24189	0.454
16	287_98	1:1	32388	0.211
17	287_98	1:1	47048	0.197
18	287_98	1:1	50235	0.183
19	287_98	2:1	62165	0.13
20	287_98	2:1	67375	0.101
21	287_98	2:1	131630	0.058
22	287_98	3:1	96584	0.086
23	287_98	3:1	76362	0.086
24	287_98	3:1	94430	0.085
25	287_98	4:1	137316	0.061
26	287_98	4:1	130242	0.065
27	287_98	4:1	189336	0.039
28	287_98	5:1	127082	0.058
29	287_98	5:1	122640	0.069
30	287_98	5:1	104537	0.073
31	287_98	10:1	129141	0.055
32	287_98	10:1	185482	0.038
33	287_98	10:1	238479	0.034
34	287_98	50:1	92265	0.093
35	287_98	50:1	116187	0.066
36	287_98	50:1	73305	0.126
37	287_98	100:1	85812	0.095
38	287_98	100:1	85686	0.095
39	287_98	100:1	51863	0.144
40	287_98	500:1	10623	0.747
41	287_98	500:1	9175	0.856
42	287_98	500:1	10341	0.853
43	287_98	1000:1	14736	0.634
44	287_98	1000:1	73579	0.107
45	287_98	1000:1	47991	0.166
