Ratio	mean_area	mean_circularity	strain1_mean_area	strain1_mean_circularity	normalized_euclidean_distance
5:1	118086.33	0.066667	111959.67	0.061333	0.035811
50:1	93919.0	0.095	111959.67	0.061333	0.11221
3:1	89125.33	0.085667	111959.67	0.061333	0.134688
2:1	87056.67	0.096333	111959.67	0.061333	0.149802
100:1	74453.67	0.111333	111959.67	0.061333	0.224588
4:1	152298.0	0.055	111959.67	0.061333	0.231546
10:1	184367.33	0.042333	111959.67	0.061333	0.41609
1:1	43223.67	0.197	111959.67	0.061333	0.431297
1000:1	45435.33	0.302333	111959.67	0.061333	0.491938
1:2	26811.33	0.389	111959.67	0.061333	0.645549
1:3	18760.67	0.607	111959.67	0.061333	0.883106
500:1	10046.33	0.818667	111959.67	0.061333	1.137297
