geneID,KL1,KL2,KL3,WL1,WL2,WL3
ENSMUSG00000000001,2386,2559,2901,2167,2074,3061
ENSMUSG00000000003,0,0,0,0,0,0
ENSMUSG00000000028,31,17,10,34,26,101
ENSMUSG00000000037,1,0,3,0,1,5
ENSMUSG00000000049,0,0,0,0,0,0
ENSMUSG00000000056,183,215,301,186,182,409
ENSMUSG00000000058,2394,2387,4690,2733,2759,3601
ENSMUSG00000000078,10012,9640,11440,11859,11921,11814
ENSMUSG00000000085,142,143,38,108,90,76
ENSMUSG00000000088,1811,1703,2214,1732,1902,1883
ENSMUSG00000000093,10,2,1,1,2,0
ENSMUSG00000000094,0,0,0,0,1,0
ENSMUSG00000000103,0,0,0,0,0,0
ENSMUSG00000000120,8,0,0,1,4,0
ENSMUSG00000000125,0,0,1,0,0,0
ENSMUSG00000000126,7,4,0,5,5,3
ENSMUSG00000000127,130,125,65,204,237,102
ENSMUSG00000000131,1563,1469,887,1695,1871,1753
ENSMUSG00000000134,3066,3028,2180,2559,2791,1907
ENSMUSG00000000142,1,0,0,7,2,2
ENSMUSG00000000148,151,154,92,178,181,191
ENSMUSG00000000149,493,461,349,540,561,595
ENSMUSG00000000154,119,125,57,47,60,40
ENSMUSG00000000157,9,6,12,44,30,35
ENSMUSG00000000159,0,0,0,0,0,0
ENSMUSG00000000167,7,5,3,6,8,7
ENSMUSG00000000168,604,581,407,633,610,576
ENSMUSG00000000171,1115,1194,1230,881,869,1105
ENSMUSG00000000182,0,0,0,0,1,8
ENSMUSG00000000183,0,0,0,1,0,1
ENSMUSG00000000184,1207,1141,2363,6715,6718,31900
ENSMUSG00000000194,1607,1548,1321,1394,1577,1279
ENSMUSG00000000197,0,0,0,0,0,0
ENSMUSG00000000202,12,10,2,0,0,0
ENSMUSG00000000204,8744,8536,7086,23746,23890,13028
ENSMUSG00000000214,0,0,0,0,0,0
ENSMUSG00000000215,0,0,0,0,0,0
ENSMUSG00000000216,0,0,0,0,0,0
ENSMUSG00000000223,0,1,0,3,0,2
ENSMUSG00000000244,115,116,90,20,19,75
ENSMUSG00000000247,132,129,310,530,512,505
ENSMUSG00000000248,4,0,0,0,1,2
ENSMUSG00000000253,38,29,22,13,20,22
ENSMUSG00000000263,0,0,0,0,0,0
ENSMUSG00000000266,11,5,1,5,6,0
ENSMUSG00000000275,9062,9005,8952,10222,10365,10925
ENSMUSG00000000276,298,316,183,157,152,229
ENSMUSG00000000278,6528,6557,5091,3972,4277,3070
ENSMUSG00000000282,1045,1102,742,469,483,708
ENSMUSG00000000290,57307,58954,41115,31327,33769,27335
ENSMUSG00000000295,46,55,44,23,21,23
ENSMUSG00000000296,0,1,0,3,1,1
ENSMUSG00000000301,36,24,27,11,11,11
ENSMUSG00000000303,32,38,31,2,6,29
ENSMUSG00000000305,1,0,0,0,0,1
ENSMUSG00000000308,0,0,0,0,0,0
ENSMUSG00000000317,15,5,10,2,0,1
ENSMUSG00000000318,7,9,11,5,4,11
ENSMUSG00000000320,76,90,79,24,17,10
ENSMUSG00000000325,9,7,3,8,2,9
ENSMUSG00000000326,432,432,214,315,417,286
ENSMUSG00000000339,517,571,586,527,564,468
ENSMUSG00000000340,161,198,156,397,354,297
ENSMUSG00000000346,4806,4796,5820,4240,4538,4774
ENSMUSG00000000355,308,267,350,228,253,225
ENSMUSG00000000359,8,7,0,5,20,4
ENSMUSG00000000365,2,9,2,6,7,4
ENSMUSG00000000374,1636,1646,1234,1040,1082,1254
ENSMUSG00000000378,498,528,564,559,613,568
ENSMUSG00000000381,0,0,0,0,0,0
ENSMUSG00000000384,625,716,455,543,636,463
ENSMUSG00000000385,0,0,0,0,1,0
ENSMUSG00000000386,27182,27882,30295,50437,53189,25590
ENSMUSG00000000392,90,92,100,108,118,187
ENSMUSG00000000394,1,0,2,1,0,19
ENSMUSG00000000399,555,571,622,450,532,576
ENSMUSG00000000402,0,0,0,0,0,0
ENSMUSG00000000409,41,45,43,63,71,34
ENSMUSG00000000411,0,0,1,0,0,5
ENSMUSG00000000416,0,3,0,0,0,0
ENSMUSG00000000420,1104,1019,1119,1063,1045,1301
ENSMUSG00000000435,0,0,0,0,0,0
ENSMUSG00000000439,227,226,195,222,246,273
ENSMUSG00000000440,23,16,2,22,19,41
ENSMUSG00000000441,5101,5280,4628,2258,2391,2589
ENSMUSG00000000486,0,4,6,7,9,7
ENSMUSG00000000489,1005,983,456,354,330,346
ENSMUSG00000000530,4329,4485,3210,838,914,1016
ENSMUSG00000000531,11,11,5,8,6,13
ENSMUSG00000000532,963,925,657,1666,1901,985
ENSMUSG00000000538,368,437,432,866,1033,976
ENSMUSG00000000544,1,2,0,0,1,0
ENSMUSG00000000552,787,899,787,1886,2036,2051
ENSMUSG00000000555,9818,9812,7605,20898,22917,17142
ENSMUSG00000000560,0,0,0,0,0,0
ENSMUSG00000000561,71,68,33,81,92,57
ENSMUSG00000000562,13,0,8,34,38,7
ENSMUSG00000000563,2641,2583,3489,2293,2393,2724
ENSMUSG00000000567,18,11,0,34,24,1
ENSMUSG00000000568,1884,1970,1387,2069,2174,1863
ENSMUSG00000000579,37,11,35,78,23,35
ENSMUSG00000000581,292,238,417,317,301,336
ENSMUSG00000000594,14934,14817,10768,10283,11131,9635
ENSMUSG00000000600,621,535,451,697,718,797
ENSMUSG00000000605,907,896,756,859,869,913
ENSMUSG00000000606,0,0,0,0,0,0
ENSMUSG00000000617,0,0,5,0,0,2
ENSMUSG00000000627,0,0,0,2,0,11
ENSMUSG00000000628,1741,1655,863,3048,3306,3323
ENSMUSG00000000631,892,870,240,600,717,494
ENSMUSG00000000632,0,0,0,0,0,0
ENSMUSG00000000673,0,0,2,0,1,11
ENSMUSG00000000682,10390,10749,26605,10653,11752,17292
