# IFN_gamma_signature=STAT1,ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,IFI6,STAT2,EIF2AK2,GBP1,GBP2,IDO1
# primary_score=mean(log1p(CPM10k)) over core18 signature, excluding STAT1 and ISG15; comparisons are against pooled non-targeting cells
# matrix_shape=(1000, 2455, 2410284) cells=2455 controls=500
# control_score18_mean=3.323903 control_score18_sd=0.068695 nt_guide_mean_sd=3.323903,0.008490
rank	guide	target	n	target_feature_present	core18_mean	core18_median	core18_mean_diff	core18_median_diff	core18_p_normal	core18_effect_z	core18_below_nt_median	all20_mean_diff	all20_median_diff	all20_effect_z	all20_below_nt_median	gene_down_fraction_core18	gene_median_diff_core18	guide_z18_vs_nt_guides	direct_mean_diff	direct_median_diff	direct_effect_z	direct_p_normal
1	guide_011	STAT1	5	True	0.860268	0.206734	-2.463634	-3.119359	0.000269	-2.301967	0.800000	-2.479111	-3.138088	-2.311853	0.800000	1.000000	-3.356815	-290.166273	-2.683503	-3.357038	-2.614506	0.000025
2	guide_012	ISG15	50	True	2.656740	2.658081	-0.667162	-0.668012	0.000000	-7.789057	1.000000	-0.674341	-0.663871	-8.438188	1.000000	1.000000	-0.641328	-78.578216	-0.785154	-0.972904	-2.113213	0.000000
3	guide_041	ZNF359	50	True	3.312635	3.307895	-0.011267	-0.018199	0.296456	-0.158786	0.560000	-0.005648	-0.001401	-0.084068	0.500000	0.611111	-0.002398	-1.327040	-0.085311	0.009279	-0.147167	0.340545
4	guide_045	CD149	50	True	3.311726	3.308448	-0.012177	-0.017645	0.236427	-0.176348	0.600000	-0.007203	-0.014106	-0.112111	0.520000	0.611111	-0.015558	-1.434203	0.037209	0.000004	0.066746	0.658858
5	guide_008	Non-Targeting	50	False	3.319930	3.311626	-0.003973	-0.014467	0.702088	-0.057221	0.540000	-0.006219	-0.014855	-0.095797	0.560000	0.555556	-0.013894	-0.467912	NA	NA	NA	NA
6	guide_034	ZNF159	50	True	3.318308	3.311678	-0.005595	-0.014415	0.485252	-0.091606	0.660000	-0.006507	-0.009088	-0.111383	0.640000	0.555556	-0.001178	-0.658981	0.036067	-0.110958	0.063246	0.669060
7	guide_026	CD39	50	True	3.309810	3.311709	-0.014093	-0.014385	0.121416	-0.217633	0.620000	-0.015274	-0.014619	-0.246026	0.640000	0.500000	0.000128	-1.659873	0.195373	0.198693	0.367107	0.006769
8	guide_009	Non-Targeting	50	False	3.314425	3.312946	-0.009477	-0.013147	0.349416	-0.138417	0.580000	-0.008374	-0.004157	-0.123336	0.560000	0.611111	-0.001503	-1.116245	NA	NA	NA	NA
9	guide_047	ATP49	50	True	3.312508	3.314073	-0.011394	-0.012021	0.189003	-0.180053	0.600000	-0.012072	-0.005578	-0.198286	0.540000	0.611111	-0.021436	-1.342004	0.066315	0.003682	0.140650	0.270585
10	guide_024	ZNF115	50	True	3.319935	3.314156	-0.003968	-0.011937	0.706098	-0.056734	0.560000	0.001570	0.003163	0.023576	0.480000	0.611111	-0.002076	-0.467340	0.010377	0.017144	0.018368	0.903137
