# IFN_gamma_signature=STAT1,ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,IFI6,STAT2,EIF2AK2,GBP1,GBP2,IDO1
# primary_score=mean(log1p(CPM10k)) over core18 signature, excluding STAT1 and ISG15; comparisons are against pooled non-targeting cells
# matrix_shape=(1000, 2455, 2410284) cells=2455 controls=500
# control_score18_mean=3.323903 control_score18_sd=0.068695 nt_guide_mean_sd=3.323903,0.008490
rank	guide	target	n	target_feature_present	total_mean	total_median	total_min	total_max	core18_mean	core18_median	core18_mean_diff	core18_median_diff	core18_p_normal	core18_effect_z	core18_below_nt_median	all20_mean_diff	all20_median_diff	all20_effect_z	all20_below_nt_median	gene_down_fraction_core18	gene_median_diff_core18	guide_z18_vs_nt_guides	pseudobulk_core_mean_log2fc	pseudobulk_core_median_log2fc	pseudobulk_core_down_fraction	pseudobulk_all_mean_log2fc	pseudobulk_all_median_log2fc	pseudobulk_direct_log2fc	direct_mean_diff	direct_median_diff	direct_effect_z	direct_p_normal
1	guide_011	STAT1	5	True	4154.800000	4145.000000	4036.000000	4334.000000	0.860268	0.206734	-2.463634	-3.119359	0.000269	-2.301967	0.800000	-2.479111	-3.138088	-2.311853	0.800000	1.000000	-3.356815	-290.166273	-1.927204	-1.863200	1.000000	-1.944096	-1.863200	-2.527423	-2.683503	-3.357038	-2.614506	0.000025
2	guide_012	ISG15	50	True	4187.060000	4193.500000	4054.000000	4329.000000	2.656740	2.658081	-0.667162	-0.668012	0.000000	-7.789057	1.000000	-0.674341	-0.663871	-8.438188	1.000000	1.000000	-0.641328	-78.578216	-0.950019	-0.959072	1.000000	-0.961122	-0.976310	-1.134412	-0.785154	-0.972904	-2.113213	0.000000
3	guide_041	ZNF359	50	True	4300.660000	4296.500000	4145.000000	4463.000000	3.312635	3.307895	-0.011267	-0.018199	0.296456	-0.158786	0.560000	-0.005648	-0.001401	-0.084068	0.500000	0.611111	-0.002398	-1.327040	-0.013035	-0.012039	0.555556	-0.005852	0.000193	-0.101169	-0.085311	0.009279	-0.147167	0.340545
4	guide_045	CD149	50	True	4315.380000	4316.000000	4164.000000	4494.000000	3.311726	3.308448	-0.012177	-0.017645	0.236427	-0.176348	0.600000	-0.007203	-0.014106	-0.112111	0.520000	0.611111	-0.015558	-1.434203	-0.019293	-0.028272	0.666667	-0.013733	-0.017147	0.064107	0.037209	0.000004	0.066746	0.658858
5	guide_008	Non-Targeting	50	False	4285.380000	4292.500000	4144.000000	4431.000000	3.319930	3.311626	-0.003973	-0.014467	0.702088	-0.057221	0.540000	-0.006219	-0.014855	-0.095797	0.560000	0.555556	-0.013894	-0.467912	-0.004933	-0.008542	0.555556	-0.009976	-0.009247	NA	NA	NA	NA	NA
6	guide_034	ZNF159	50	True	4297.500000	4291.000000	4144.000000	4439.000000	3.318308	3.311678	-0.005595	-0.014415	0.485252	-0.091606	0.660000	-0.006507	-0.009088	-0.111383	0.640000	0.555556	-0.001178	-0.658981	-0.006742	0.008421	0.444444	-0.007646	0.006319	0.051789	0.036067	-0.110958	0.063246	0.669060
7	guide_026	CD39	50	True	4295.060000	4314.500000	4098.000000	4443.000000	3.309810	3.311709	-0.014093	-0.014385	0.121416	-0.217633	0.620000	-0.015274	-0.014619	-0.246026	0.640000	0.500000	0.000128	-1.659873	-0.016695	-0.008438	0.666667	-0.018611	-0.016037	0.258051	0.195373	0.198693	0.367107	0.006769
8	guide_009	Non-Targeting	50	False	4278.680000	4282.500000	4080.000000	4413.000000	3.314425	3.312946	-0.009477	-0.013147	0.349416	-0.138417	0.580000	-0.008374	-0.004157	-0.123336	0.560000	0.611111	-0.001503	-1.116245	-0.019461	-0.014173	0.611111	-0.016003	-0.014173	NA	NA	NA	NA	NA
9	guide_047	ATP49	50	True	4300.340000	4305.000000	4192.000000	4474.000000	3.312508	3.314073	-0.011394	-0.012021	0.189003	-0.180053	0.600000	-0.012072	-0.005578	-0.198286	0.540000	0.611111	-0.021436	-1.342004	-0.015498	-0.017454	0.666667	-0.015615	-0.017454	0.029443	0.066315	0.003682	0.140650	0.270585
10	guide_024	ZNF115	50	True	4283.340000	4273.000000	4121.000000	4497.000000	3.319935	3.314156	-0.003968	-0.011937	0.706098	-0.056734	0.560000	0.001570	0.003163	0.023576	0.480000	0.611111	-0.002076	-0.467340	-0.006556	-0.006343	0.555556	0.002399	-0.000504	0.029786	0.010377	0.017144	0.018368	0.903137
11	guide_006	Non-Targeting	50	False	4286.500000	4274.000000	4114.000000	4555.000000	3.318316	3.314605	-0.005586	-0.011488	0.586163	-0.081004	0.560000	-0.005676	-0.008668	-0.088189	0.540000	0.611111	-0.011818	-0.657952	-0.005762	0.001674	0.444444	-0.005729	0.001674	NA	NA	NA	NA	NA
12	guide_050	ZNF101	50	True	4287.840000	4295.000000	4149.000000	4392.000000	3.317894	3.315717	-0.006009	-0.010376	0.484332	-0.095377	0.580000	-0.003970	-0.009364	-0.067118	0.580000	0.444444	0.004995	-0.707718	-0.013471	0.007925	0.444444	-0.010826	0.007925	0.208632	0.091568	0.192322	0.157940	0.320195
13	guide_014	ZNF326	50	True	4276.100000	4275.500000	4094.000000	4457.000000	3.314788	3.317047	-0.009114	-0.009046	0.354112	-0.135236	0.540000	-0.005365	-0.004857	-0.085389	0.520000	0.555556	-0.011945	-1.073473	-0.016164	-0.032603	0.611111	-0.011025	-0.025051	0.045715	0.042364	0.004381	0.074009	0.612858
14	guide_017	TRIM23	50	True	4301.960000	4292.500000	4162.000000	4459.000000	3.327780	3.318212	0.003877	-0.007881	0.678949	0.059009	0.540000	0.001322	-0.001353	0.021339	0.520000	0.444444	0.002752	0.456675	0.005266	0.011882	0.444444	0.000312	0.000474	-0.082472	-0.093306	-0.132785	-0.173819	0.272118
15	guide_022	ZNF264	50	True	4292.560000	4305.000000	4104.000000	4405.000000	3.314384	3.318360	-0.009518	-0.007733	0.329493	-0.141804	0.540000	-0.004345	-0.006373	-0.069215	0.540000	0.611111	-0.009384	-1.121047	-0.015045	-0.009775	0.611111	-0.008292	-0.006656	0.028614	-0.042893	-0.002584	-0.065837	0.686141
16	guide_015	RPL27	50	True	4289.580000	4291.500000	4135.000000	4411.000000	3.327878	3.320245	0.003976	-0.005848	0.736021	0.053126	0.500000	0.005930	0.003509	0.084641	0.460000	0.444444	0.009377	0.468265	0.009639	0.006807	0.444444	0.012106	0.010744	-0.363670	-0.202110	-0.247993	-0.380161	0.006047
17	guide_049	ZNF271	50	True	4286.020000	4283.000000	4115.000000	4450.000000	3.316776	3.321535	-0.007126	-0.004558	0.477986	-0.104557	0.540000	-0.005601	0.003714	-0.088782	0.480000	0.500000	0.001184	-0.839314	-0.010557	0.009058	0.388889	-0.010297	0.005795	0.094843	0.030864	0.011321	0.053282	0.731084
18	guide_044	CD69	50	True	4295.920000	4286.500000	4134.000000	4441.000000	3.323185	3.321795	-0.000717	-0.004298	0.949094	-0.009873	0.520000	0.006656	0.006792	0.095601	0.400000	0.444444	0.002487	-0.084501	0.002059	0.003269	0.444444	0.012589	0.015795	0.073592	0.040460	0.017460	0.073553	0.631491
19	guide_030	ZNF361	50	True	4298.920000	4307.000000	4122.000000	4418.000000	3.330727	3.322270	0.006824	-0.003823	0.550261	0.092986	0.520000	0.004575	-0.005564	0.065933	0.540000	0.444444	0.001381	0.803769	0.003118	0.017289	0.388889	-0.000273	0.011967	-0.084550	-0.045344	-0.115204	-0.087006	0.558413
20	guide_031	ZNF329	50	True	4292.880000	4290.000000	4173.000000	4446.000000	3.318675	3.322846	-0.005228	-0.003247	0.601438	-0.076848	0.540000	-0.000696	0.003428	-0.010617	0.460000	0.500000	-0.002331	-0.615736	-0.010612	-0.004419	0.500000	-0.005531	0.008824	-0.068313	-0.031586	-0.011885	-0.056415	0.698828
21	guide_029	MAPK1	50	True	4301.300000	4292.500000	4194.000000	4487.000000	3.308768	3.323090	-0.015135	-0.003003	0.187554	-0.205563	0.520000	-0.010430	-0.005618	-0.150810	0.580000	0.500000	-0.001760	-1.782594	-0.019471	-0.010983	0.611111	-0.013664	-0.008293	-0.113905	-0.121244	-0.235091	-0.197407	0.223257
22	guide_042	ZNF315	50	False	4306.840000	4310.000000	4187.000000	4441.000000	3.317892	3.324329	-0.006011	-0.001764	0.567575	-0.085977	0.500000	-0.002584	-0.003457	-0.039843	0.520000	0.555556	-0.027744	-0.707965	-0.007307	-0.003070	0.555556	-0.003986	0.002402	NA	NA	NA	NA	NA
23	guide_010	Non-Targeting	50	False	4294.000000	4295.000000	4158.000000	4414.000000	3.324381	3.324397	0.000478	-0.001697	0.961917	0.007027	0.520000	0.003727	0.006807	0.057114	0.460000	0.611111	-0.003807	0.056322	-0.001454	-0.004496	0.500000	0.003160	0.007197	NA	NA	NA	NA	NA
24	guide_037	HOXA1	50	True	4302.960000	4309.500000	4127.000000	4413.000000	3.322718	3.324791	-0.001185	-0.001303	0.896405	-0.018295	0.500000	0.000038	0.004587	0.000605	0.480000	0.555556	-0.001732	-0.139537	-0.006022	0.002314	0.500000	-0.002560	0.005760	0.055601	0.048086	0.004066	0.089213	0.536206
25	guide_007	Non-Targeting	50	False	4289.180000	4277.500000	4163.000000	4445.000000	3.308291	3.325429	-0.015611	-0.000664	0.159016	-0.216590	0.520000	-0.014707	-0.017979	-0.213097	0.520000	0.555556	-0.004641	-1.838683	-0.022211	-0.021946	0.722222	-0.019976	-0.021946	NA	NA	NA	NA	NA
26	guide_023	ATP27	50	True	4298.380000	4294.000000	4159.000000	4401.000000	3.324330	3.325485	0.000427	-0.000608	0.964886	0.006385	0.500000	-0.006493	-0.008035	-0.103762	0.540000	0.444444	0.003715	0.050337	0.001516	-0.011700	0.555556	-0.008562	-0.013660	-0.030741	-0.068538	-0.001152	-0.111421	0.484557
27	guide_036	ZNF324	50	True	4297.280000	4293.500000	4179.000000	4452.000000	3.328820	3.326171	0.004917	0.000078	0.585626	0.076265	0.500000	0.010793	0.007847	0.170155	0.380000	0.555556	-0.006336	0.579173	0.001347	-0.008211	0.555556	0.009916	-0.001807	0.047915	0.017271	0.005959	0.030526	0.842250
28	guide_033	CD83	50	True	4285.740000	4292.500000	4180.000000	4385.000000	3.318108	3.327203	-0.005794	0.001110	0.625344	-0.077128	0.500000	-0.003256	-0.011678	-0.044759	0.540000	0.555556	-0.018671	-0.682446	-0.007461	-0.018626	0.666667	-0.003874	-0.010118	0.059224	-0.004180	0.016302	-0.007097	0.965068
29	guide_019	IL6	50	True	4303.240000	4305.500000	4120.000000	4428.000000	3.328286	3.327393	0.004384	0.001300	0.645386	0.066146	0.480000	0.013562	0.016771	0.214886	0.340000	0.611111	-0.012216	0.516318	0.007905	0.017812	0.444444	0.019969	0.020545	-0.117008	-0.057523	-0.015949	-0.112528	0.424051
