# source=MSigDB human HALLMARK_INTERFERON_GAMMA_RESPONSE page; parsed gene-list member table in Galaxy
# curated_members_total=200 curated_members_in_matrix=29 curated_core_in_matrix=27
# curated_members_in_matrix=B2M,BST2,CCL5,CCL7,CD38,CD40,CD69,CD74,CD86,CXCL10,CXCL11,EIF2AK2,IDO1,IFIT1,IFIT2,IFIT3,IL6,IRF7,ISG15,MX1,MX2,OAS2,OAS3,STAT1,STAT2,TRIM14,TRIM21,TRIM25,TRIM26
# observed20_in_curated=['STAT1', 'ISG15', 'IFIT1', 'IFIT2', 'IFIT3', 'MX1', 'MX2', 'OAS2', 'OAS3', 'CXCL10', 'CXCL11', 'IRF7', 'BST2', 'STAT2', 'EIF2AK2', 'IDO1']
# score=mean(log1p(CPM10k)) over curated members in matrix excluding STAT1 and ISG15; pseudobulk fold changes are total-normalized against pooled non-targeting cells
# matrix_shape=(1000, 2455, 2410284) cells=2455 non_targeting_cells=500
rank	guide	target	n	total_mean	curated_score_mean	curated_score_median	curated_score_mean_diff	curated_score_median_diff	curated_below_nt_median	pseudobulk_curated_mean_log2fc	pseudobulk_curated_median_log2fc	pseudobulk_curated_down_fraction	pseudobulk_direct_log2fc
1	guide_011	STAT1	5	4154.800000	1.653776	1.382318	-1.227727	-1.500252	0.800000	-0.962999	-1.180828	0.703704	-2.527423
2	guide_012	ISG15	50	4187.060000	2.556146	2.559785	-0.325357	-0.322786	1.000000	-0.462211	-0.709495	0.666667	-1.134412
3	guide_002	Non-Targeting	50	4299.640000	2.857070	2.842766	-0.024432	-0.039804	0.600000	-0.036656	-0.033110	0.555556	NA
4	guide_034	ZNF159	50	4297.500000	2.870814	2.878946	-0.010689	-0.003624	0.500000	-0.020042	-0.029021	0.555556	0.051789
5	guide_045	CD149	50	4315.380000	2.875935	2.872850	-0.005568	-0.009720	0.560000	-0.012162	-0.022797	0.592593	0.064107
6	guide_026	CD39	50	4295.060000	2.870182	2.874419	-0.011321	-0.008151	0.620000	-0.014564	-0.022361	0.703704	0.258051
7	guide_014	ZNF326	50	4276.100000	2.864280	2.863504	-0.017223	-0.019066	0.580000	-0.009977	-0.021537	0.555556	0.045715
8	guide_010	Non-Targeting	50	4294.000000	2.871849	2.878778	-0.009653	-0.003793	0.500000	-0.017994	-0.020840	0.592593	NA
9	guide_022	ZNF264	50	4292.560000	2.869994	2.864938	-0.011509	-0.017633	0.640000	-0.030843	-0.019812	0.740741	0.028614
10	guide_047	ATP49	50	4300.340000	2.873054	2.884229	-0.008448	0.001659	0.480000	-0.014784	-0.017736	0.629630	0.029443
11	guide_024	ZNF115	50	4283.340000	2.861231	2.857251	-0.020272	-0.025319	0.600000	-0.026557	-0.013934	0.666667	0.029786
12	guide_020	HOXB5	50	4302.760000	2.880869	2.868095	-0.000634	-0.014475	0.560000	-0.003474	-0.013787	0.592593	0.332677
13	guide_016	SOX28	50	4290.900000	2.869764	2.868644	-0.011739	-0.013926	0.580000	-0.021570	-0.011617	0.629630	0.028919
14	guide_027	MAPK2	50	4280.540000	2.874939	2.878936	-0.006564	-0.003634	0.520000	-0.007787	-0.010060	0.555556	0.261326
15	guide_043	TRIM5	50	4295.820000	2.865438	2.872937	-0.016064	-0.009634	0.540000	-0.013757	-0.009646	0.555556	-0.170137
16	guide_006	Non-Targeting	50	4286.500000	2.877113	2.875621	-0.004390	-0.006949	0.540000	-0.018497	-0.007580	0.555556	NA
17	guide_018	ZNF20	50	4304.660000	2.886770	2.896358	0.005267	0.013788	0.420000	0.009792	-0.007299	0.518519	0.055617
18	guide_029	MAPK1	50	4301.300000	2.859547	2.860807	-0.021955	-0.021763	0.620000	-0.020182	-0.005896	0.555556	-0.113905
19	guide_042	ZNF315	50	4306.840000	2.878518	2.881026	-0.002985	-0.001544	0.540000	0.001103	-0.005151	0.555556	NA
20	guide_040	ATP9	50	4299.720000	2.878609	2.870532	-0.002893	-0.012038	0.560000	-0.013756	-0.005000	0.518519	-0.057651
21	guide_049	ZNF271	50	4286.020000	2.870330	2.879661	-0.011172	-0.002909	0.520000	-0.012063	-0.004834	0.518519	0.094843
22	guide_033	CD83	50	4285.740000	2.877045	2.880858	-0.004457	-0.001712	0.500000	-0.008502	-0.004473	0.555556	0.059224
23	guide_007	Non-Targeting	50	4289.180000	2.879224	2.885023	-0.002279	0.002453	0.480000	-0.007251	-0.003326	0.555556	NA
24	guide_009	Non-Targeting	50	4278.680000	2.883694	2.885634	0.002191	0.003064	0.480000	0.006707	-0.002201	0.518519	NA
25	guide_005	Non-Targeting	50	4303.280000	2.893836	2.894328	0.012334	0.011758	0.460000	0.016810	-0.000889	0.518519	NA
26	guide_038	TRIM33	50	4292.160000	2.877747	2.882852	-0.003755	0.000281	0.500000	-0.003879	0.001181	0.481481	-0.131913
27	guide_041	ZNF359	50	4300.660000	2.881691	2.889912	0.000188	0.007342	0.480000	-0.004481	0.001202	0.481481	-0.101169
28	guide_037	HOXA1	50	4302.960000	2.882999	2.886050	0.001497	0.003480	0.480000	-0.000679	0.001256	0.481481	0.055601
29	guide_028	ZNF122	50	4310.700000	2.882389	2.868786	0.000886	-0.013784	0.540000	-0.001956	0.001604	0.444444	0.024882
30	guide_039	ZNF209	50	4304.480000	2.878999	2.883783	-0.002503	0.001213	0.500000	-0.007851	0.003687	0.407407	0.055541
31	guide_044	CD69	50	4295.920000	2.887267	2.898160	0.005765	0.015590	0.440000	0.015172	0.004010	0.444444	0.073592
