# source_curated=MSigDB human HALLMARK_INTERFERON_GAMMA_RESPONSE page, 200 members; source parsed in Galaxy
# matrix_shape=(1000, 2455, 2410284) features=1000 cells=2455 non_targeting_cells=500
# observed_core_signature=IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,IFI6,STAT2,EIF2AK2,GBP1,GBP2,IDO1
# curated_core_overlap_count=27
# curated_core_overlap=B2M,BST2,CCL5,CCL7,CD38,CD40,CD69,CD74,CD86,CXCL10,CXCL11,EIF2AK2,IDO1,IFIT1,IFIT2,IFIT3,IL6,IRF7,MX1,MX2,OAS2,OAS3,STAT2,TRIM14,TRIM21,TRIM25,TRIM26
# normalization=per-cell log1p(CPM10k) for scores; total-normalized pseudobulk log2 fold-change versus pooled non-targeting cells
# robustness_rule=n>=20; observed_core pseudobulk log2FC<0 for all 18 genes; >=0.95 cells below non-targeting observed-core median; direct target log2FC<0; curated-core median log2FC<0
SELECTED_GENE	ISG15
SELECTED_GUIDE	guide_012
SELECTED_N	50
SELECTED_OBSERVED_CORE_MEDIAN_LOG2FC	-0.959072
SELECTED_OBSERVED_CORE_DOWN_FRACTION	1.000000
SELECTED_OBSERVED_CELL_CONSISTENCY	1.000000
SELECTED_CURATED_CORE_MEDIAN_LOG2FC	-0.709495
SELECTED_DIRECT_TARGET_LOG2FC	-1.134412
ROBUST_TARGETS	ISG15

TARGET_GUIDE_SUMMARY
rank	guide	target	n	eligible	robust	observed_core_median_log2fc	observed_core_down_fraction	observed_cell_consistency	curated_core_median_log2fc	direct_target_log2fc	total_mean
1	guide_011	STAT1	5	False	False	-1.863200	1.000000	0.800000	-1.180828	-2.527423	4154.800000
2	guide_012	ISG15	50	True	True	-0.959072	1.000000	1.000000	-0.709495	-1.134412	4187.060000
3	guide_014	ZNF326	50	True	False	-0.032603	0.611111	0.540000	-0.021537	0.045715	4276.100000
4	guide_045	CD149	50	True	False	-0.028272	0.666667	0.600000	-0.022797	0.064107	4315.380000
5	guide_033	CD83	50	True	False	-0.018626	0.666667	0.500000	-0.004473	0.059224	4285.740000
6	guide_047	ATP49	50	True	False	-0.017454	0.666667	0.600000	-0.017736	0.029443	4300.340000
7	guide_041	ZNF359	50	True	False	-0.012039	0.555556	0.560000	0.001202	-0.101169	4300.660000
8	guide_023	ATP27	50	True	False	-0.011700	0.555556	0.500000	0.025196	-0.030741	4298.380000
9	guide_029	MAPK1	50	True	False	-0.010983	0.611111	0.520000	-0.005896	-0.113905	4301.300000
10	guide_022	ZNF264	50	True	False	-0.009775	0.611111	0.540000	-0.019812	0.028614	4292.560000
11	guide_016	SOX28	50	True	False	-0.008451	0.611111	0.480000	-0.011617	0.028919	4290.900000
12	guide_026	CD39	50	True	False	-0.008438	0.666667	0.620000	-0.022361	0.258051	4295.060000
13	guide_036	ZNF324	50	True	False	-0.008211	0.555556	0.500000	0.033808	0.047915	4297.280000
14	guide_035	CCL8	50	True	False	-0.006867	0.555556	0.400000	0.014633	-0.059786	4311.860000
15	guide_024	ZNF115	50	True	False	-0.006343	0.555556	0.560000	-0.013934	0.029786	4283.340000
16	guide_031	ZNF329	50	True	False	-0.004419	0.500000	0.540000	0.005032	-0.068313	4292.880000
17	guide_040	ATP9	50	True	False	-0.003969	0.500000	0.460000	-0.005000	-0.057651	4299.720000
18	guide_042	ZNF315	50	True	False	-0.003070	0.555556	0.500000	-0.005151	NA	4306.840000
19	guide_013	CD103	50	True	False	-0.001936	0.500000	0.460000	0.013750	0.088329	4298.900000
20	guide_020	HOXB5	50	True	False	-0.001140	0.500000	0.460000	-0.013787	0.332677	4302.760000
21	guide_043	TRIM5	50	True	False	-0.000939	0.500000	0.460000	-0.009646	-0.170137	4295.820000
22	guide_032	TRIM20	50	True	False	-0.000543	0.500000	0.440000	0.026031	0.063395	4283.680000
23	guide_021	CD92	50	True	False	-0.000485	0.500000	0.460000	0.009514	0.036315	4298.920000
24	guide_037	HOXA1	50	True	False	0.002314	0.500000	0.500000	0.001256	0.055601	4302.960000
25	guide_044	CD69	50	True	False	0.003269	0.444444	0.520000	0.004010	0.073592	4295.920000
26	guide_039	ZNF209	50	True	False	0.003575	0.444444	0.440000	0.003687	0.055541	4304.480000
27	guide_048	SLC2A1	50	True	False	0.004353	0.444444	0.460000	0.006511	0.063547	4288.480000
28	guide_015	RPL27	50	True	False	0.006807	0.444444	0.500000	0.011901	-0.363670	4289.580000
29	guide_025	ZNF205	50	True	False	0.007675	0.500000	0.460000	0.012615	0.059096	4292.120000
30	guide_050	ZNF101	50	True	False	0.007925	0.444444	0.580000	0.010718	0.208632	4287.840000
31	guide_028	ZNF122	50	True	False	0.008189	0.388889	0.360000	0.001604	0.024882	4310.700000
