cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
0	rest	0	SAG	97.178734	4.0497975	0.0	0.0
0	rest	1	GNAT1	93.51766	3.949252	0.0	0.0
0	rest	2	RHO	93.39304	3.8543816	0.0	0.0
0	rest	3	GNGT1	88.46278	3.5016456	0.0	0.0
0	rest	4	NRL	81.404686	3.4773993	0.0	0.0
0	rest	5	PPEF2	80.697876	3.5767524	0.0	0.0
0	rest	6	PDC	79.00083	3.5219533	0.0	0.0
0	rest	7	PDE6G	76.225685	3.0422556	0.0	0.0
0	rest	8	ROM1	71.9426	3.1406288	0.0	0.0
0	rest	9	AC044810.2	70.821884	3.336778	0.0	0.0
0	rest	10	HMGN1	70.79141	2.8913229	0.0	0.0
0	rest	11	RCVRN	65.762856	2.712753	0.0	0.0
0	rest	12	MPP4	65.664955	3.0771227	0.0	0.0
0	rest	13	TTC39C	64.81	2.9621267	0.0	0.0
0	rest	14	RP1	62.432026	2.8187747	0.0	0.0
0	rest	15	RDH12	59.6101	3.9976428	0.0	0.0
0	rest	16	PDE6A	59.03429	3.020251	0.0	0.0
0	rest	17	CNKSR2	58.86623	2.7955248	0.0	0.0
0	rest	18	GNB1	58.295155	2.5631237	0.0	0.0
0	rest	19	PRPH2	57.926453	2.703307	0.0	0.0
0	rest	20	AIPL1	57.537315	2.493148	0.0	0.0
0	rest	21	CNGA1	57.065174	2.8496156	0.0	0.0
0	rest	22	THSD7B	55.060795	2.6461215	0.0	0.0
0	rest	23	NR2E3	53.39006	2.7787294	0.0	0.0
0	rest	24	EPB41L2	53.34859	2.1886926	0.0	0.0
0	rest	25	HCN1	53.050117	2.3179092	0.0	0.0
0	rest	26	NTM	51.95575	2.1946042	0.0	0.0
0	rest	27	UNC119	51.588875	2.2780414	0.0	0.0
0	rest	28	TMEM108	50.534096	2.3055072	0.0	0.0
0	rest	29	RGS9	48.30176	2.4317815	0.0	0.0
0	rest	30	USH2A	48.22074	2.3444333	0.0	0.0
0	rest	31	SGIP1	47.027924	1.7510574	0.0	0.0
0	rest	32	SLC4A7	46.883	2.1081	0.0	0.0
0	rest	33	RTBDN	46.52567	2.958672	0.0	0.0
0	rest	34	KCNV2	46.1824	2.3838272	0.0	0.0
0	rest	35	KCTD8	45.93919	2.5211961	0.0	0.0
0	rest	36	PCDH15	45.78234	2.2151208	0.0	0.0
0	rest	37	MIR124-2HG	45.31281	2.136761	0.0	0.0
0	rest	38	GPC6	44.950924	2.13079	0.0	0.0
0	rest	39	ESRRB	44.87805	2.4922764	0.0	0.0
0	rest	40	IMPG1	44.80192	2.1429198	0.0	0.0
0	rest	41	AL050403.2	44.521023	2.6453438	0.0	0.0
