	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	group0_minus_group1
S100A9	14929.830047276966	7.332977477098124	11.211928281077952	15388.784148260329	20.082920343264	14053.445567073659	17.668060560930353	13407.460302735464	18211.942093659236	15184.218460135537
KRT6A	18805.17458102005	344.64994142361184	341.8606353187572	14874.49077836068	127.39826120837074	11417.620602008477	119.84229934730764	17536.421669410112	11984.016093492546	14690.106960533862
S100A8	11021.0761808715	6.204827096006105	10.868004100676787	12117.537813629853	14.951601489037955	10834.84249747871	16.11368573152299	10656.017926242659	13711.15109162259	11656.090572364752
KRT16	11534.848211875913	124.82983966783192	64.93288525973979	7100.780815795223	34.23828269974963	5067.381942510234	36.3205585138187	9272.630910543534	6322.241853179474	7794.496355245591
S100A7	5356.399578379744	5.527936867350894	3.301672131851176	7364.789253882002	13.270652209205286	8333.020403991397	9.896186413893542	6566.349318669022	7468.724831060738	7009.857565291005
KRT14	11949.0825203614	4190.401775528196	4342.317916909019	5850.31083542819	3333.2339508934556	7804.265806713797	4038.473056777582	10429.782530686682	6153.884847529441	4461.358633116839
GJB2	4273.702506459253	67.23776271308434	76.35116804905844	4354.846434362577	90.1519640078679	3244.8660965746794	88.59936527621966	2516.347412998971	4768.725017126027	3751.1124284927437
KRT6B	6033.55981271446	305.33390064255497	225.06398365452182	3235.2867703649276	49.7207102771558	1226.375850486277	68.85880494274616	5293.850726347938	3068.2166033499325	3609.2136027734628
KRT5	9471.338727145841	5226.6079005612155	6596.190640750008	6538.435284797362	5177.500723914078	9257.025878066295	4539.758939261456	11570.998434474075	7209.003352832334	3424.3457843414917
KRT17	4099.546005824544	403.99065146905207	557.776235774608	2518.203733843853	180.21545700100776	2140.513491324639	178.02773046145657	6052.149200301743	2833.9668214794024	3198.8733318783056
SERPINB4	3342.382844721843	0.28203759527300476	0.6190635247220955	2813.000559919056	0.9731811620083876	3772.1232405595747	0.5699374374493662	1571.048772928267	4285.853513878257	3156.2707314715362
SERPINB3	2341.9666086145	14.947992549469253	9.973801231633761	3219.9323546497703	22.383166726192915	2989.5311120495153	16.99449813485383	1401.5376240393446	2730.604345830697	2520.639544376228
XLOC_013994	258.23205266525713	618.6776689908633	167.69743036360765	567.5962638330955	890.5492342524027	7885.397058187733	236.2131615756055	946.0465256758476	2163.2335375367793	1885.8167137841226
S100A7A	1595.70979990985	0.22563007621840384	0.48149385256162985	2593.066455025007	0.4423550736401762	1916.2410635635133	0.25906247156789375	618.5876899467635	1257.1597441717774	1595.8008151548854
RN7SL1	8370.832548144988	8094.253354259019	5937.8509746261	8772.940332422304	9028.555524010724	7212.502982427808	7205.149084234888	10079.081711536208	11347.672807655264	1590.153842154632
KRT6C	3480.4379383680644	11.958394039575403	4.883723361696531	822.4159194582135	3.71578261857748	921.4329261105095	0.8808124033308388	1510.3549795877568	847.4953077863127	1511.0677361563764
SPRR2E	1663.2877682496753	45.57727539611757	36.937456975085034	2164.2963850932015	162.9636091290409	1442.1243133504718	156.7846077928893	1449.0858896279053	1034.0738795966388	1450.0079098602953
DSG3	2572.863752737805	209.44111824973334	259.66275620287894	1810.1503666682206	204.81039909540158	1265.1944473817566	273.2590950098143	1225.0078563944578	1292.7046302731944	1396.3908685516296
SPRR2A	1526.8893357272086	0.16922255716380286	0.48149385256162985	1928.7691948096665	1.0616521767364229	1133.0345952410628	0.1036249886271575	1323.9013452592324	978.4467744523633	1377.7542507041346
PI3	1011.5986986926873	0.7897052667644133	1.1693422133639582	2020.6967977053343	2.8310724712971274	891.1382941119599	3.056937164501146	1201.0755170298587	1445.8556106415742	1312.1112193573013
