                                 Started job on |	Aug 13 14:58:25
                             Started mapping on |	Aug 13 15:40:25
                                    Finished on |	Aug 13 15:40:46
       Mapping speed, Million of reads per hour |	34.36

                          Number of input reads |	200414
                      Average input read length |	107
                                    UNIQUE READS:
                   Uniquely mapped reads number |	175594
                        Uniquely mapped reads % |	87.62%
                          Average mapped length |	106.55
                       Number of splices: Total |	81034
            Number of splices: Annotated (sjdb) |	80932
                       Number of splices: GT/AG |	80269
                       Number of splices: GC/AG |	626
                       Number of splices: AT/AC |	70
               Number of splices: Non-canonical |	69
                      Mismatch rate per base, % |	0.39%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.65
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.26
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	21822
             % of reads mapped to multiple loci |	10.89%
        Number of reads mapped to too many loci |	56
             % of reads mapped to too many loci |	0.03%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	2926
                 % of reads unmapped: too short |	1.46%
                Number of reads unmapped: other |	16
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	0
                            % of chimeric reads |	0.00%
