metric	value
selected_fraction_chip_coding_vaf_lt_0_3_synonymous	0.731707317073
selected_synonymous_count	30
selected_coding_count	41
all_coding_den	41
all_coding_syn	30
carrier_workbooks	19
chip_coding_den	41
chip_coding_splice_den	47
chip_coding_splice_syn	30
chip_coding_syn	30
chip_scope_rows	108
vaf_lt_0_3_rows	108
variant_rows_seen	12381
all_coding_fraction	0.731707317073
chip_coding_plus_splice_fraction	0.63829787234
carrier_ids_from_trio	185,184,285,287,353,354,556,557,533,381,396,397,489,490,499,500,503,504,613,614
matched_carrier_ids	184,185,285,287,353,354,381,396,397,489,490,499,500,503,504,556,557,613,614
carrier_workbooks	230209_Exome_GRCh38_CHIP_184-PM.xlsx,230209_Exome_GRCh38_CHIP_185-PF.xlsx,230209_Exome_GRCh38_CHIP_285-PF.xlsx,230209_Exome_GRCh38_CHIP_287-PM.xlsx,230209_Exome_GRCh38_CHIP_353-PF.xlsx,230209_Exome_GRCh38_CHIP_354-PM.xlsx,230209_Exome_GRCh38_CHIP_381-PM.xlsx,230209_Exome_GRCh38_CHIP_396-PF.xlsx,230209_Exome_GRCh38_CHIP_397-PM.xlsx,230209_Exome_GRCh38_CHIP_489-PF.xlsx,230209_Exome_GRCh38_CHIP_490-PM.xlsx,230209_Exome_GRCh38_CHIP_499-PF.xlsx,230209_Exome_GRCh38_CHIP_500-PM.xlsx,230209_Exome_GRCh38_CHIP_503-PF.xlsx,230209_Exome_GRCh38_CHIP_504-PM.xlsx,230209_Exome_GRCh38_CHIP_556-PF.xlsx,230209_Exome_GRCh38_CHIP_557-PM.xlsx,230209_Exome_GRCh38_CHIP_613-PF.xlsx,230209_Exome_GRCh38_CHIP_614-PM.xlsx
