source_commit	57456a001d91e8bd661d6f235f708cec3ffc799e
source_sha256_enformer.py	330d6dc505252ade7aec2bcdc7e4a7a6cbb7e1350692a4b8e8d78f929f9ffa93
source_sha256_attention_module.py	c1f53ed97a361c7d2bf031a081967f7978e04cfa7ff21411fe5fbd8f2f223b0c
channels	1536
num_transformer_layers	11
num_heads	8
filter_list	768,896,1024,1152,1280,1536
stem_trainable	1228800
conv_tower_block_0_trainable	4133376
conv_tower_block_1_trainable	5051392
conv_tower_block_2_trainable	6690560
conv_tower_block_3_trainable	8559104
conv_tower_block_4_trainable	10657024
conv_tower_block_5_trainable	14557696
conv_tower_trainable	49649152
multihead_attention_per_block_trainable	6392320
transformer_mlp_per_block_trainable	9444864
transformer_block_trainable	15840256
transformer_trainable	174242816
final_pointwise_trainable	4724736
trunk_trainable	229845504
human_head_trainable	16326849
mouse_head_trainable	5048939
both_heads_trainable	21375788
total_trainable	251221292
