rank	experiment	file	biological_replicates	pearson	n_points	seconds	status	error
1	ENCSR597URK	ENCFF186BOY	1	0.9823097851	48000	251.122	ok	
2	ENCSR396ZIN	ENCFF011IOW	1	0.9772165648	48000	160.339	ok	
3	ENCSR631XIF	ENCFF378HTI	1	0.9760656997	48000	353.186	ok	
4	ENCSR251INE	ENCFF667QSN	1	0.9753651706	48000	163.896	ok	
5	ENCSR111LTT	ENCFF372KSU	1	0.9749558883	48000	205.748	ok	
6	ENCSR305WLF	ENCFF118VBY	1	0.9747584700	48000	242.941	ok	
7	ENCSR497NLU	ENCFF829JMH	1	0.9745929372	48000	212.404	ok	
8	ENCSR878ITC	ENCFF176BTL	1	0.9743147504	48000	223.946	ok	
9	ENCSR965JHW	ENCFF278AJU	1	0.9736265997	48000	116.562	ok	
10	ENCSR342OGI	ENCFF300VIJ	1	0.9734646659	48000	193.587	ok	
11	ENCSR507XBY	ENCFF571GCP	1	0.9734511418	48000	332.594	ok	
12	ENCSR473LSX	ENCFF505HUJ	1	0.9733422502	48000	225.255	ok	
13	ENCSR467MSP	ENCFF731MVA	1	0.9733296625	48000	199.189	ok	
14	ENCSR552TPH	ENCFF609DSZ	1	0.9730759195	48000	249.589	ok	
15	ENCSR025EYJ	ENCFF540HZY	1	0.9723227263	48000	433.948	ok	
16	ENCSR410IYF	ENCFF319JVY	1	0.9722612789	48000	217.066	ok	
17	ENCSR496UER	ENCFF753PTI	1	0.9718783007	48000	250.123	ok	
18	ENCSR815DWW	ENCFF009GSJ	1	0.9705009210	48000	83.451	ok	
19	ENCSR186NTL	ENCFF743OIJ	1	0.9702969769	48000	154.761	ok	
20	ENCSR540VTN	ENCFF451BTR	1	0.9701303053	48000	190.149	ok	
21	ENCSR715TMH	ENCFF142VCT	1	0.9695448787	48000	116.986	ok	
22	ENCSR863LZT	ENCFF165MKR	1	0.9693916081	48000	214.667	ok	
23	ENCSR525VCH	ENCFF151NIC	1	0.9689192557	48000	129.357	ok	
24	ENCSR384GGJ	ENCFF906SNG	1	0.9687548737	48000	150.209	ok	
25	ENCSR740DJQ	ENCFF414WEG	1	0.9685531599	48000	253.183	ok	
26	ENCSR803JVQ	ENCFF422IHL	1	0.9676421490	48000	144.972	ok	
27	ENCSR486KKY	ENCFF749YXO	1	0.9675889388	48000	254.992	ok	
28	ENCSR630XDN	ENCFF956GKK	1	0.9673022080	48000	217.561	ok	
29	ENCSR376DAE	ENCFF753JMD	1	0.9672653186	48000	178.473	ok	
30	ENCSR217PZP	ENCFF950WGH	1	0.9670154396	48000	118.522	ok	
31	ENCSR627QIA	ENCFF344QUF	1	0.9666851327	48000	273.506	ok	
32	ENCSR744UQK	ENCFF465USN	1	0.9666147473	48000	154.086	ok	
33	ENCSR167VIP	ENCFF211IRR	1	0.9664738132	48000	202.986	ok	
34	ENCSR582QEW	ENCFF240ZBU	1	0.9664368295	48000	239.369	ok	
35	ENCSR635URJ	ENCFF914OKV	1	0.9661074758	48000	244.041	ok	
36	ENCSR198UKY	ENCFF156UHI	1	0.9657489023	48000	345.971	ok	
37	ENCSR662IRS	ENCFF218MVU	1	0.9657431860	48000	144.754	ok	
38	ENCSR322BYN	ENCFF180JWH	1	0.9657393739	48000	243.299	ok	
39	ENCSR653OVF	ENCFF233JIA	1	0.9655791035	48000	302.072	ok	
40	ENCSR769OIG	ENCFF121ZZH	1	0.9655154733	48000	82.976	ok	
41	ENCSR235OZX	ENCFF991DNH	1	0.9654032782	48000	172.033	ok	
42	ENCSR784RMA	ENCFF726ANV	1	0.9653448268	48000	240.581	ok	
43	ENCSR787ERP	ENCFF613RDW	1	0.9649689309	48000	151.713	ok	
44	ENCSR036ELY	ENCFF761XCG	1	0.9648622695	48000	120.022	ok	
45	ENCSR283MZJ	ENCFF635ZUA	1	0.9647951224	48000	123.249	ok	
46	ENCSR703VGI	ENCFF934ESI	1	0.9647349481	48000	317.031	ok	
47	ENCSR419CKG	ENCFF369LDM	1	0.9646677903	48000	102.394	ok	
48	ENCSR581RSO	ENCFF501FTF	1	0.9643900160	48000	346.694	ok	
49	ENCSR531AYV	ENCFF275AAG	1	0.9640689913	48000	156.154	ok	
50	ENCSR671ZRV	ENCFF131POA	1	0.9639718498	48000	207.623	ok	
51	ENCSR502GWQ	ENCFF052TCE	1	0.9638632050	48000	128.798	ok	
52	ENCSR387EYA	ENCFF399QIW	1	0.9637679362	48000	182.676	ok	
53	ENCSR688DKY	ENCFF125BPF	1	0.9637550425	48000	301.814	ok	
54	ENCSR270JQK	ENCFF370PCW	1	0.9637429907	48000	344.135	ok	
55	ENCSR140KPO	ENCFF268DVI	1	0.9636056986	48000	177.252	ok	
56	ENCSR930USX	ENCFF627YJN	1	0.9636047167	48000	198.264	ok	
57	ENCSR385XHV	ENCFF091ALI	1	0.9635273898	48000	132.205	ok	
58	ENCSR389BWT	ENCFF565PUW	1	0.9633757945	48000	322.153	ok	
59	ENCSR546FUC	ENCFF201MRV	1	0.9629488729	48000	285.443	ok	
60	ENCSR155NBS	ENCFF132HLR	1	0.9629384381	48000	192.904	ok	
61	ENCSR299BQG	ENCFF527XWY	1	0.9628968888	48000	192.549	ok	
62	ENCSR442GKD	ENCFF561DSL	1	0.9628326469	48000	316.713	ok	
63	ENCSR837ZSS	ENCFF639VUL	1	0.9626860471	48000	344.996	ok	
64	ENCSR785RIM	ENCFF409IUG	1	0.9625619872	48000	95.457	ok	
65	ENCSR332HAD	ENCFF201XEO	1	0.9625185981	48000	361.521	ok	
66	ENCSR635QIZ	ENCFF141RPA	1	0.9619040096	48000	452.661	ok	
67	ENCSR705GCU	ENCFF098QPB	1	0.9618592111	48000	170.782	ok	
68	ENCSR042WQA	ENCFF042RAY	1	0.9618289971	48000	198.199	ok	
69	ENCSR363BTB	ENCFF641UWX	1	0.9617703401	48000	206.123	ok	
70	ENCSR654WXX	ENCFF008UII	1	0.9615674441	48000	219.977	ok	
71	ENCSR101RCL	ENCFF444OHY	1	0.9615324286	48000	170.462	ok	
72	ENCSR943KMD	ENCFF334DIH	1	0.9614931074	48000	104.595	ok	
73	ENCSR335EYA	ENCFF199TWN	1	0.9614612834	48000	187.172	ok	
74	ENCSR025BWH	ENCFF887FZH	1	0.9614189078	48000	378.361	ok	
75	ENCSR254BCA	ENCFF759BZH	1	0.9612952092	48000	218.681	ok	
76	ENCSR396EWH	ENCFF229FLG	1	0.9612926481	48000	356.360	ok	
77	ENCSR173HPQ	ENCFF159JDQ	1	0.9611800223	48000	383.105	ok	
78	ENCSR676GAW	ENCFF109KJR	1	0.9609332452	48000	134.320	ok	
79	ENCSR173BJC	ENCFF380MCL	1	0.9608623378	48000	127.340	ok	
80	ENCSR206KJN	ENCFF116GZE	1	0.9607750790	48000	161.177	ok	
81	ENCSR419OAR	ENCFF878FQR	1	0.9606871410	48000	160.370	ok	
82	ENCSR445QDZ	ENCFF811VKO	1	0.9604626039	48000	165.695	ok	
83	ENCSR041PCL	ENCFF412ONC	1	0.9604405254	48000	238.062	ok	
84	ENCSR944GPH	ENCFF616EZX	1	0.9603628436	48000	146.206	ok	
85	ENCSR874DUP	ENCFF232OTE	1	0.9602398884	48000	234.780	ok	
86	ENCSR732IFV	ENCFF526ZOQ	1	0.9601506900	48000	212.450	ok	
87	ENCSR436JRE	ENCFF663KDS	1	0.9600842355	48000	141.002	ok	
88	ENCSR904GDU	ENCFF361NLP	1	0.9599149218	48000	277.692	ok	
89	ENCSR542GKI	ENCFF983OAW	1	0.9598702012	48000	184.164	ok	
90	ENCSR697FME	ENCFF029XBE	1	0.9595357199	48000	216.273	ok	
91	ENCSR617NTY	ENCFF806SGH	1	0.9593960328	48000	345.003	ok	
92	ENCSR824YLD	ENCFF756UIO	1	0.9593223893	48000	314.841	ok	
93	ENCSR287GYT	ENCFF860DNN	1	0.9592057984	48000	147.174	ok	
94	ENCSR346GIP	ENCFF802GFK	1	0.9591397831	48000	134.749	ok	
95	ENCSR534OJE	ENCFF243CAS	1	0.9590383519	48000	321.546	ok	
