rank	experiment	total_reads	pearson	rmse	status	error
1	ENCSR597URK	0			error	RuntimeError: pipeline failed rc=137: bash: line 1:    18 Broken pipe             samtools view -q 30 -h 'https://encode-public.s3.amazonaws.com/2020/09/24/c03fb079-e5dd-426d-8f96-e3178e3f8030/ENCFF051GHB.bam'
        19                       | samtools view -b -
        20                       | bedtools bamtobed -i stdin
        21 Killed                  | bedtools coverage -a 'query.bins.bed' -b stdin -counts

2	ENCSR396ZIN	0			error	RuntimeError: pipeline failed rc=137: bash: line 1:    25 Broken pipe             samtools view -q 30 -h 'https://encode-public.s3.amazonaws.com/2020/09/24/521cac46-30b9-4ec8-84c8-34acde200a82/ENCFF288WLP.bam'
        26                       | samtools view -b -
        27                       | bedtools bamtobed -i stdin
        28 Killed                  | bedtools coverage -a 'query.bins.bed' -b stdin -counts

3	ENCSR631XIF	0			error	RuntimeError: pipeline failed rc=1: [E::hts_open_format] Failed to open file "https://encode-public.s3.amazonaws.com/2020/09/24/93603715-8f9c-4b0a-a3a0-42df93eb6f5d/ENCFF845VIU.bam" : No such file or directory
samtools view: failed to open "https://encode-public.s3.amazonaws.com/2020/09/24/93603715-8f9c-4b0a-a3a0-42df93eb6f5d/ENCFF845VIU.bam" for reading: No such file or directory
[main_samview] fail to read the header from "-".

4	ENCSR251INE	0			error	RuntimeError: pipeline failed rc=137: bash: line 1:    39 Broken pipe             samtools view -q 30 -h 'https://encode-public.s3.amazonaws.com/2020/09/28/21403bba-c9b0-4a77-9a07-bb2764975bab/ENCFF377VKY.bam'
        40                       | samtools view -b -
        41                       | bedtools bamtobed -i stdin
        42 Killed                  | bedtools coverage -a 'query.bins.bed' -b stdin -counts

5	ENCSR111LTT	0			error	RuntimeError: pipeline failed rc=137: bash: line 1:    46 Broken pipe             samtools view -q 30 -h 'https://encode-public.s3.amazonaws.com/2020/09/28/dd714331-7d2f-4b51-b947-f0561ca11c53/ENCFF108ELD.bam'
        47                       | samtools view -b -
        48                       | bedtools bamtobed -i stdin
        49 Killed                  | bedtools coverage -a 'query.bins.bed' -b stdin -counts

